"Study","parent","DataType","Contrast","name","LogFC","size","PValue","AdjPValue"
"","null","","","WB","","5","",""
"","WB","","","Frontal lobe","","5","",""
"","WB","","","Temporal lobe","","5","",""
"","WB","","","Limbic","","5","",""
"","WB","","","Parietal lobe","","5","",""
"","WB","","","Striatum","","5","",""
"","WB","","","Cingulum","","5","",""
"","WB","","","Occipital lobe","","5","",""
"","Frontal lobe","","","Dorsolateral Prefrontal Cortex","","5","",""
"","Frontal lobe","","","Inferior Frontal Gyrus","","5","",""
"","Temporal lobe","","","Superior Temporal Gyrus","","5","",""
"","Frontal lobe","","","Frontal Pole","","5","",""
"","Limbic","","","Parahippocampal Gyrus","","5","",""
"","Limbic","","","Hippocampus","","5","",""
"","Parietal lobe","","","Superior Parietal Lobule","","5","",""
"","Temporal lobe","","","Mid Temp Gyrus","","5","",""
"","Striatum","","","Caudate Nucleus","","5","",""
"","Temporal lobe","","","Temporal Pole","","5","",""
"","Temporal lobe","","","Inferior Temporal Gyrus","","5","",""
"","Striatum","","","Putamen","","5","",""
"","Limbic","","","Amygdala","","5","",""
"","Frontal lobe","","","Prefrontal Cortex","","5","",""
"","Cingulum","","","Ant Cingulate","","5","",""
"","Occipital lobe","","","OVC","","5","",""
"","Cingulum","","","Posterior Cingulate Cortex","","5","",""
"","Frontal lobe","","","Precentral Gyrus","","5","",""
"","Limbic","","","Nucleus Accumbens","","5","",""
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","ADRA1B","-0.507230838106305","3.0620280421243","1.20566693919884e-05","0.000866905898376917"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","ADRA1B","-0.341656330923948","3.0620280421243","3.46762359350767e-05","0.000866905898376917"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","ADRA1D","-0.735714964784785","7.43661325143304","7.31841013272906e-10","3.65920506636453e-08"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","ADRA1D","-0.771951705908534","5.73102411047671","4.95387018478474e-08","1.85770131929428e-06"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","ADRA1D","-0.562378594770135","4.16424116339588","4.11064608617594e-06","6.85107681029323e-05"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","ADRA1D","-0.472640246962927","2.68288001851604","0.000166038946237881","0.00207548682797351"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","ADRA1D","-0.399088205062681","1.45478785503486","0.00350923251725392","0.0350923251725392"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","ADRA1D","-0.0214918742992669","1.40968826102642","0.00721790221762404","0.0389324503995068"
"MSBB","Hippocampus","Microarray","AD-NCI","ADRA1D","0.16499448095238","1.40968826102642","0.0109010861118619","0.0389324503995068"
"MSBB","Superior Parietal Lobule","Microarray","AD-NCI","ADRA1D","-0.183127340659341","1.3602253717851","0.0139612597273119","0.0436289366478497"
"MSBB","Parahippocampal Gyrus","Microarray","AD-NCI","ADRA1D","-0.199239829230769","1.11915574492037","0.0273619317855227","0.0760053660708964"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","CALML3","-0.649207498527846","6.33049582496809","6.22935256705154e-09","4.67201442528865e-07"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","CALML3","-0.740861603809315","2.93997071886194","4.592924141113e-05","0.00114823103527825"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","CCK","-1.02434765248901","6.9705583833069","2.1402850225471e-09","1.07014251127355e-07"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","CCK","-0.744672100015281","4.58448469230305","1.04129863484197e-06","2.60324658710493e-05"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","CCK","-0.463315798025986","2.58142444596897","0.000104866203488552","0.0026216550872138"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","CCK","-0.516635177938807","2.17621936633025","0.000539713043019358","0.00666470043733981"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","CCK","-0.647925630506743","2.17621936633025","0.000666470043733981","0.00666470043733981"
"MSBB","Frontal Pole","Microarray","AD-NCI","CCK","-1.19701490625","1.98704661641362","0.0024726612636596","0.0103027552652483"
"MSBB","Mid Temp Gyrus","Microarray","AD-NCI","CCK","-1.41808030178571","1.91160956701605","0.0034320093656236","0.0122571763057986"
"MSBB","Caudate Nucleus","Microarray","AD-NCI","CCK","-1.16222385692307","1.80742268489734","0.00498571321207485","0.0155803537877339"
"MSBB","Temporal Pole","Microarray","AD-NCI","CCK","-0.928302398351647","1.432923838047","0.0132855232181815","0.0369042311616153"
"MSBB","Inferior Temporal Gyrus","Microarray","AD-NCI","CCK","-1.34625171393939","1.36632391106425","0.0172082251737403","0.0430205629343507"
"MSBB","Superior Temporal Gyrus","Microarray","AD-NCI","CCK","-1.13213890961538","1.23960237775656","0.0253425492247029","0.0575967027834157"
"MSBB","Parahippocampal Gyrus","Microarray","AD-NCI","CCK","-1.23924796205128","1.22644589271986","0.0284967508058033","0.0593682308454235"
"MSBB","Putamen","Microarray","AD-NCI","CCK","-1.38048969930556","1.08304230822037","0.04294978907973","0.08259574823025"
"MSBB","Amygdala","Microarray","AD-NCI","CCK","-0.75321538457143","1.0004974582143","0.0559358920902439","0.0998855215897212"
"MSBB","Prefrontal Cortex","Microarray","AD-NCI","CCK","-0.689715595454546","0.719826669106527","0.114373281390854","0.190622135651423"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","CCKBR","-0.652688405466328","6.98792526139872","2.37834708510182e-09","1.02819322671967e-07"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","CCKBR","-0.707705809419502","6.98792526139872","4.1127729068787e-09","1.02819322671967e-07"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","CCKBR","-0.595719500162957","2.86577894103176","8.17282706311291e-05","0.00136213784385215"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","CCKBR","-0.179223423984716","2.40797456396893","0.0004169213733088","0.00390863787477"
"MSBB","Parahippocampal Gyrus","Microarray","AD-NCI","CCKBR","-0.494509335897434","2.3092570508922","0.000981234805616219","0.00490617402808109"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","CCKBR","-0.350161984713198","1.27703790163027","0.00634078962548162","0.0528399135456802"
"MSBB","Frontal Pole","Microarray","AD-NCI","CCKBR","-0.315004456250001","0.899466893617865","0.025209434406433","0.126047172032165"
"MSBB","Superior Temporal Gyrus","Microarray","AD-NCI","CCKBR","0.108827186057693","0.942816643105948","0.0319404763100772","0.114073129678847"
