match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1,Gm2,SetW,Set1,Set2,RevTB,TBrev,rallyCount
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,1,0,0,0,0,0-0,1,1,0,,1,2,RF,4n,6b19f3b2b1n@,,4n,6b19f3b2b1n@,0,0,4n,6b19f3b2b1n@,0,1,0,1,4n,6,b19f3b2b1n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b19f3b2b1n,b19f3b2b1,bfbb,4,2,0,0-15,0,0,0,0,0,0,,,4
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,2,0,0,0,0,0-15,1,1,0,,1,2,RF,5f29f1f2f3b3b3b3b2f3s3b3b1*,,,5f29f1f2f3b3b3b3b2f3s3b3b1*,,0,,5f29f1f2f3b3b3b3b2f3s3b3b1*,,1,,1,0,5,,f29f1f2f3b3b3b3b2f3s3b3b1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f29f1f2f3b3b3b3b2f3s3b3b1,f29f1f2f3b3b3b3b2f3s3b3b1,ffffbbbbfsbb,12,1,1,15-15,0,0,0,0,0,0,,,13
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,3,0,0,0,0,15-15,1,1,0,,1,2,RF,4f28f+3*,,,4f28f+3*,,0,,4f28f+3*,,1,,1,0,4,,f28f+3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f28f3,f28f3,ff,2,1,1,30-15,0,0,0,0,0,0,,,3
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,4,0,0,0,0,30-15,1,1,0,,1,2,RF,c4b38b1f1f1f2f3n@,,,4b38b1f1f1f2f3n@,,0,,4b38b1f1f1f2f3n@,,1,,1,0,4,,b38b1f1f1f2f3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b38b1f1f1f2f3n,b38b1f1f1f2f3,bbffff,6,2,0,30-30,0,0,0,0,0,0,,,6
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,5,0,0,0,0,30-30,1,1,0,,1,2,RF,6b29f2f2b1f2f2b2b3b1f3b2s2n@,,,6b29f2f2b1f2f2b2b3b1f3b2s2n@,,0,,6b29f2f2b1f2f2b2b3b1f3b2s2n@,,1,,1,0,6,,b29f2f2b1f2f2b2b3b1f3b2s2n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b29f2f2b1f2f2b2b3b1f3b2s2n,b29f2f2b1f2f2b2b3b1f3b2s2,bffbffbbbfbs,12,2,0,30-40,0,0,0,0,0,0,,,12
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,6,0,0,0,0,30-40,1,1,0,,1,2,RF,4n,6f#,,4n,6f#,0,0,4n,6f#,0,1,0,1,4n,6,f#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f,f,f,1,1,1,40-40,0,0,0,0,0,0,,,1
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,7,0,0,0,0,40-40,1,1,0,,1,2,RF,6s29f1f1f1f1f1f1f;2b3b3b3b2f1f1f1n@,,,6s29f1f1f1f1f1f1f;2b3b3b3b2f1f1f1n@,,0,,6s29f1f1f1f1f1f1f;2b3b3b3b2f1f1f1n@,,1,,1,0,6,,s29f1f1f1f1f1f1f;2b3b3b3b2f1f1f1n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s29f1f1f1f1f1f1f2b3b3b3b2f1f1f1n,s29f1f1f1f1f1f1f2b3b3b3b2f1f1f1,sfffffffbbbbfff,15,1,1,AD-40,0,0,0,0,0,0,,,15
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,8,0,0,0,0,AD-40,1,1,0,,1,2,RF,6f29f2b2f2f3b3b3n@,,,6f29f2b2f2f3b3b3n@,,0,,6f29f2b2f2f3b3b3n@,,1,,1,0,6,,f29f2b2f2f3b3b3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f29f2b2f2f3b3b3n,f29f2b2f2f3b3b3,ffbffbb,7,1,1,GM,1,1,0,0,0,0,,,7
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,9,0,0,1,0,0-0,2,1,0,,2,1,ND,6#,,,6#,,0,,6#,,1,,0,0,6#,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,15-0,0,1,0,0,0,0,,,1
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,10,0,0,1,0,15-0,2,1,0,,2,1,ND,4s38b1f2f2f1f1f1d@,,,4s38b1f2f2f1f1f1d@,,0,,4s38b1f2f2f1f1f1d@,,1,,1,0,4,,s38b1f2f2f1f1f1d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s38b1f2f2f1f1f1d,s38b1f2f2f1f1f1,sbfffff,7,2,1,30-0,0,1,0,0,0,0,,,7
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,11,0,0,1,0,30-0,2,1,0,,2,1,ND,4f39b2f1f#,,,4f39b2f1f#,,0,,4f39b2f1f#,,1,,1,0,4,,f39b2f1f#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f39b2f1f,f39b2f1f,fbff,4,1,0,30-15,0,1,0,0,0,0,,,4
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,12,0,0,1,0,30-15,2,1,0,,2,1,ND,4b39b3s2f1w@,,,4b39b3s2f1w@,,0,,4b39b3s2f1w@,,1,,1,0,4,,b39b3s2f1w@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b39b3s2f1w,b39b3s2f1,bbsf,4,1,0,30-30,0,1,0,0,0,0,,,4
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,13,0,0,1,0,30-30,2,1,0,,2,1,ND,4f29f#,,,4f29f#,,0,,4f29f#,,1,,1,0,4,,f29f#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f29f,f29f,ff,2,1,0,30-40,0,1,0,0,0,0,,,2
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,14,0,0,1,0,30-40,2,1,0,,2,1,ND,6f29f1f2b3b2b3f3b3f1n@,,,6f29f1f2b3b2b3f3b3f1n@,,0,,6f29f1f2b3b2b3f3b3f1n@,,1,,1,0,6,,f29f1f2b3b2b3f3b3f1n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f29f1f2b3b2b3f3b3f1n,f29f1f2b3b2b3f3b3f1,fffbbbfbf,9,2,1,40-40,0,1,0,0,0,0,,,9
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,15,0,0,1,0,40-40,2,1,0,,2,1,ND,5d,5b28f1f1f1f3b3b1w@,,5d,5b28f1f1f1f3b3b1w@,0,0,5d,5b28f1f1f1f3b3b1w@,0,1,0,1,5d,5,b28f1f1f1f3b3b1w@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b28f1f1f1f3b3b1w,b28f1f1f1f3b3b1,bffffbb,7,2,1,AD-40,0,1,0,0,0,0,,,7
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,16,0,0,1,0,AD-40,2,1,0,,2,1,ND,5b#,,,5b#,,0,,5b#,,1,,1,0,5,,b#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b,b,b,1,2,1,GM,2,1,1,0,0,0,,,1
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,17,0,0,1,1,0-0,3,1,0,,1,2,RF,4w,5b28b3b2f1f1f3w@,,4w,5b28b3b2f1f1f3w@,0,0,4w,5b28b3b2f1f1f3w@,0,1,0,1,4w,5,b28b3b2f1f1f3w@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b28b3b2f1f1f3w,b28b3b2f1f1f3,bbbfff,6,2,0,0-15,0,1,1,0,0,0,,,6
