"Entity.1","Entity.2","value","networkGroup","network","source","target"
"AATF","FKBP4",0.018415289,"Co-expression","Wang-Maris-2006",1,12
"AATF","G3BP1",0.017585505,"Co-expression","Ramaswamy-Golub-2001",1,18
"CAMK2A","MAP2",0.0075232964,"Co-expression","Bild-Nevins-2006 B",2,14
"PSEN1","CALM1",0.011321075,"Co-expression","Salaverria-Siebert-2011",3,10
"CAMK2A","CAMK2G",0.0068202717,"Co-expression","Burington-Shaughnessy-2008",2,16
"PSEN1","CALM1",0.025765577,"Co-expression","Burington-Shaughnessy-2008",3,10
"HSPA8","G3BP1",0.008670453,"Co-expression","Burington-Shaughnessy-2008",4,18
"MAPK12","CAMK2A",0.010395305,"Co-expression","Burington-Shaughnessy-2008",5,2
"AATF","MAP4",0.010421933,"Co-expression","Bahr-Bowler-2013",1,20
"CAMK2A","MAPT",0.008727227,"Co-expression","Mallon-McKay-2013",2,21
"CAMK2A","ELAVL4",0.010517399,"Co-expression","Mallon-McKay-2013",2,13
"CDK5","STUB1",0.008379401,"Co-expression","Mallon-McKay-2013",6,11
"CAMK2B","MAPT",0.018785758,"Co-expression","Mallon-McKay-2013",7,21
"CAMK2B","CAMK2A",0.008600694,"Co-expression","Mallon-McKay-2013",7,2
"BAG1","CDK5",0.012298165,"Co-expression","Alizadeh-Staudt-2000",8,6
"GSK3B","CDK5",0.012423215,"Co-expression","Alizadeh-Staudt-2000",9,6
"CDK5","STUB1",0.006105653,"Co-expression","Smirnov-Cheung-2009",6,11
"HSPA8","G3BP1",0.018855987,"Co-expression","Smirnov-Cheung-2009",4,18
"CDK5","STUB1",0.003499164,"Co-expression","Roth-Zlotnik-2006",6,11
"CALM1","MAPT",0.010671539,"Co-expression","Roth-Zlotnik-2006",10,21
"CALM1","MAP2",0.016727094,"Co-expression","Roth-Zlotnik-2006",10,14
"CAMK2B","CDK5",0.0044154846,"Co-expression","Roth-Zlotnik-2006",7,6
"AATF","G3BP1",0.014949137,"Co-expression","Innocenti-Brown-2011",1,18
"HSPA8","FKBP4",0.018123992,"Co-expression","Innocenti-Brown-2011",4,12
"STUB1","MAP4",0.007596474,"Co-expression","Kang-Willman-2010",11,20
"CALM1","DCLK1",0.025498223,"Co-expression","Boldrick-Relman-2002",10,22
"FKBP4","MAPT",0.014478079,"Co-expression","Perou-Botstein-1999",12,21
"CAMK2B","CAMK2D",0.014014759,"Co-localization","Schadt-Shoemaker-2004",7,15
"ELAVL4","DCLK1",0.00598371,"Co-localization","Johnson-Shoemaker-2003",13,22
"ELAVL4","MAPT",0.008447442,"Co-localization","Johnson-Shoemaker-2003",13,21
"MAP2","ELAVL4",0.005954019,"Co-localization","Johnson-Shoemaker-2003",14,13
"CAMK2A","DCLK1",0.0077712242,"Co-localization","Johnson-Shoemaker-2003",2,22
"CAMK2A","ELAVL4",0.002665016,"Co-localization","Johnson-Shoemaker-2003",2,13
"CAMK2D","CALM1",0.012391536,"Co-localization","Johnson-Shoemaker-2003",15,10
"CAMK2B","MAPT",0.006975907,"Co-localization","Johnson-Shoemaker-2003",7,21
"CAMK2B","ELAVL4",0.0015198084,"Co-localization","Johnson-Shoemaker-2003",7,13
"CAMK2B","MAP2",0.0044953017,"Co-localization","Johnson-Shoemaker-2003",7,14
"CAMK2B","CAMK2A",0.0019386348,"Co-localization","Johnson-Shoemaker-2003",7,2
"CAMK2B","CALM1",0.0031419045,"Co-localization","Johnson-Shoemaker-2003",7,10
"CAMK2B","CAMK2D",0.004769308,"Co-localization","Johnson-Shoemaker-2003",7,15
"CAMK2G","MAPT",0.1213878,"Pathway","Wu-Stein-2010",16,21
"CAMK2A","MAPT",0.06618219,"Pathway","Wu-Stein-2010",2,21
"CAMK2A","CAMK2G",0.051607523,"Pathway","Wu-Stein-2010",2,16
"CDK5","MAPT",0.077317595,"Pathway","Wu-Stein-2010",6,21
"CAMK2D","MAPT",0.071555644,"Pathway","Wu-Stein-2010",15,21
