Gene 1	Gene 2	Weight	Network group	Network
CR2	CR1	0.01949832	Co-expression	Alizadeh-Staudt-2000
PTK2B	HLA-DQB1	0.017590193	Co-expression	Alizadeh-Staudt-2000
PTK2B	CR2	0.017929332	Co-expression	Alizadeh-Staudt-2000
HLA-DRB1	HLA-DQB1	0.034619298	Co-expression	Alizadeh-Staudt-2000
HLA-DRA	HLA-DQB1	0.033577107	Co-expression	Alizadeh-Staudt-2000
HLA-DRA	PTK2B	0.01688091	Co-expression	Alizadeh-Staudt-2000
HLA-DRA	HLA-DRB1	0.030719247	Co-expression	Alizadeh-Staudt-2000
IL10RA	HLA-DQB1	0.011714196	Co-expression	Alizadeh-Staudt-2000
IL10RA	HLA-DRA	0.011947477	Co-expression	Alizadeh-Staudt-2000
PTEN	CR2	0.021608764	Co-expression	Alizadeh-Staudt-2000
PTPN1	IL10RA	0.012311542	Co-expression	Alizadeh-Staudt-2000
HLA-DMB	HLA-DQB1	0.021896536	Co-expression	Alizadeh-Staudt-2000
HLA-DMB	HLA-DRB1	0.020009346	Co-expression	Alizadeh-Staudt-2000
HLA-DMB	SPI1	0.011646457	Co-expression	Alizadeh-Staudt-2000
HLA-DMB	HLA-DRA	0.021792876	Co-expression	Alizadeh-Staudt-2000
CD74	HLA-DQB1	0.023721227	Co-expression	Alizadeh-Staudt-2000
CD74	HLA-DRB1	0.021439824	Co-expression	Alizadeh-Staudt-2000
CD74	HLA-DRA	0.022704063	Co-expression	Alizadeh-Staudt-2000
CD74	IL10RA	0.009663918	Co-expression	Alizadeh-Staudt-2000
CD74	HLA-DMB	0.017406628	Co-expression	Alizadeh-Staudt-2000
HLA-DPB1	HLA-DQB1	0.030222584	Co-expression	Alizadeh-Staudt-2000
HLA-DPB1	PTK2B	0.014948501	Co-expression	Alizadeh-Staudt-2000
HLA-DPB1	HLA-DRB1	0.027715366	Co-expression	Alizadeh-Staudt-2000
HLA-DPB1	HLA-DRA	0.028945042	Co-expression	Alizadeh-Staudt-2000
HLA-DPB1	IL10RA	0.011339738	Co-expression	Alizadeh-Staudt-2000
HLA-DPB1	HLA-DMB	0.019899314	Co-expression	Alizadeh-Staudt-2000
HLA-DPB1	CD74	0.021775633	Co-expression	Alizadeh-Staudt-2000
HLA-DMA	HLA-DQB1	0.022090523	Co-expression	Alizadeh-Staudt-2000
HLA-DMA	HLA-DRB1	0.019633878	Co-expression	Alizadeh-Staudt-2000
HLA-DMA	HLA-DRA	0.02084225	Co-expression	Alizadeh-Staudt-2000
HLA-DMA	IL10RA	0.010436936	Co-expression	Alizadeh-Staudt-2000
HLA-DMA	HLA-DMB	0.017414061	Co-expression	Alizadeh-Staudt-2000
HLA-DMA	CD74	0.017491957	Co-expression	Alizadeh-Staudt-2000
HLA-DMA	HLA-DPB1	0.019213537	Co-expression	Alizadeh-Staudt-2000
CSF1R	CR1	0.0086315125	Co-expression	Alizadeh-Staudt-2000
HLA-DQB1	HLA-DRB5	0.015732711	Co-expression	Mallon-McKay-2013
IL10	CR1	0.018380629	Co-expression	Mallon-McKay-2013
CR2	IL34	0.01993824	Co-expression	Mallon-McKay-2013
CR2	CR1	0.019852327	Co-expression	Mallon-McKay-2013
CR2	IL10	0.015523262	Co-expression	Mallon-McKay-2013
HLA-DRB1	HLA-DRB5	0.011436873	Co-expression	Mallon-McKay-2013
HLA-DRB1	MS4A2	0.012866388	Co-expression	Mallon-McKay-2013
HLA-DRB1	HLA-DQB1	0.014938705	Co-expression	Mallon-McKay-2013
HLA-DRA	HLA-DRB5	0.009913236	Co-expression	Mallon-McKay-2013
HLA-DRA	HLA-DQB1	0.013551147	Co-expression	Mallon-McKay-2013
