Gene 1	Gene 2	Weight	Network group	Network
CCL17	CCL22	0.044847842	Co-expression	Ramaswamy-Golub-2001
CCL3	CCL4L2	0.01958565	Co-expression	Ramaswamy-Golub-2001
CXCL10	CCL4L2	0.020907555	Co-expression	Ramaswamy-Golub-2001
CXCL10	CXCL11	0.02490836	Co-expression	Ramaswamy-Golub-2001
CXCL10	CCL3	0.01524845	Co-expression	Ramaswamy-Golub-2001
PF4	PPBP	0.027523883	Co-expression	Ramaswamy-Golub-2001
CXCL2	CXCL3	0.016081069	Co-expression	Ramaswamy-Golub-2001
CXCL2	CCL3	0.011397455	Co-expression	Ramaswamy-Golub-2001
CCL18	CXCL11	0.02260891	Co-expression	Ramaswamy-Golub-2001
CXCL9	CXCL11	0.021499349	Co-expression	Ramaswamy-Golub-2001
CXCL9	CXCL10	0.01680774	Co-expression	Ramaswamy-Golub-2001
CXCL9	CCL21	0.014748684	Co-expression	Ramaswamy-Golub-2001
CXCL9	CCL18	0.016156143	Co-expression	Ramaswamy-Golub-2001
CCL19	CCL17	0.029448785	Co-expression	Ramaswamy-Golub-2001
CCL19	CCL21	0.024985919	Co-expression	Ramaswamy-Golub-2001
CCL19	CXCL9	0.017413665	Co-expression	Ramaswamy-Golub-2001
ADCY8	CCL1	0.012873625	Co-expression	Ramaswamy-Golub-2001
CCL2	CXCL5	0.011152039	Co-expression	Ramaswamy-Golub-2001
CCL4	CCL4L2	0.021477735	Co-expression	Ramaswamy-Golub-2001
CCL4	CXCL3	0.015293793	Co-expression	Ramaswamy-Golub-2001
CCL4	CCL3	0.018966625	Co-expression	Ramaswamy-Golub-2001
CCL4	CXCL10	0.017642885	Co-expression	Ramaswamy-Golub-2001
CCL4	CXCL2	0.013553551	Co-expression	Ramaswamy-Golub-2001
GNG4	CCL2	0.009309536	Co-expression	Ramaswamy-Golub-2001
IL8	CXCL3	0.011956834	Co-expression	Ramaswamy-Golub-2001
IL8	CCL3	0.0099021755	Co-expression	Ramaswamy-Golub-2001
IL8	PPBP	0.011456945	Co-expression	Ramaswamy-Golub-2001
IL8	PF4	0.010128671	Co-expression	Ramaswamy-Golub-2001
IL8	CXCL2	0.010658631	Co-expression	Ramaswamy-Golub-2001
IL8	CCL4	0.0098398365	Co-expression	Ramaswamy-Golub-2001
CCL5	CCL23	0.017318584	Co-expression	Ramaswamy-Golub-2001
CCR8	XCL1	0.012555864	Co-expression	Ramaswamy-Golub-2001
CXCR6	CCL18	0.016725982	Co-expression	Ramaswamy-Golub-2001
CXCR6	CXCL9	0.018263493	Co-expression	Ramaswamy-Golub-2001
CXCR2	CCL2	0.010820359	Co-expression	Ramaswamy-Golub-2001
CXCR5	CCL1	0.012428162	Co-expression	Ramaswamy-Golub-2001
CXCR5	CCL21	0.016911406	Co-expression	Ramaswamy-Golub-2001
CXCR5	CCL19	0.01848377	Co-expression	Ramaswamy-Golub-2001
CCR7	CCL22	0.02326548	Co-expression	Ramaswamy-Golub-2001
CCR7	CCL17	0.018880313	Co-expression	Ramaswamy-Golub-2001
CCR1	CCL14	0.019250184	Co-expression	Ramaswamy-Golub-2001
CCR9	CCL8	0.0044398056	Co-expression	Ramaswamy-Golub-2001
CCR9	CXCL5	0.004864935	Co-expression	Ramaswamy-Golub-2001
CCR9	CCL11	0.004700589	Co-expression	Ramaswamy-Golub-2001
CCR9	CCR3	0.0053487527	Co-expression	Ramaswamy-Golub-2001
CCR9	CCR7	0.003447755	Co-expression	Ramaswamy-Golub-2001
CX3CR1	CXCR1	0.019553302	Co-expression	Ramaswamy-Golub-2001
