Gene 1	Gene 2	Weight	Network group	Network
C3AR1	C1QC	0.011880519	Co-expression	Innocenti-Brown-2011
CR1	C1QC	0.009763534	Co-expression	Innocenti-Brown-2011
VTN	C4B	0.017436631	Co-expression	Innocenti-Brown-2011
VTN	MASP2	0.023617765	Co-expression	Innocenti-Brown-2011
FGG	FGA	0.020004675	Co-expression	Innocenti-Brown-2011
FGG	FGB	0.024302067	Co-expression	Innocenti-Brown-2011
CFD	C1QC	0.009107179	Co-expression	Innocenti-Brown-2011
C2	C4B	0.016125726	Co-expression	Innocenti-Brown-2011
C2	MASP2	0.016578596	Co-expression	Innocenti-Brown-2011
C2	MASP1	0.018082982	Co-expression	Innocenti-Brown-2011
C2	FGA	0.0143522555	Co-expression	Innocenti-Brown-2011
C2	VTN	0.017853629	Co-expression	Innocenti-Brown-2011
C1R	F5	0.019359028	Co-expression	Innocenti-Brown-2011
C8G	C4B	0.011293721	Co-expression	Innocenti-Brown-2011
C8G	MASP2	0.014469133	Co-expression	Innocenti-Brown-2011
C8G	VTN	0.01584545	Co-expression	Innocenti-Brown-2011
C8G	C2	0.012219216	Co-expression	Innocenti-Brown-2011
F13B	F5	0.010849076	Co-expression	Innocenti-Brown-2011
F13B	MBL2	0.013839941	Co-expression	Innocenti-Brown-2011
C1S	C2	0.016864194	Co-expression	Innocenti-Brown-2011
C1S	C1R	0.023144687	Co-expression	Innocenti-Brown-2011
CFB	C4B	0.011223295	Co-expression	Innocenti-Brown-2011
CFB	FGA	0.013820411	Co-expression	Innocenti-Brown-2011
CFB	FGG	0.01729045	Co-expression	Innocenti-Brown-2011
CFB	C2	0.013299103	Co-expression	Innocenti-Brown-2011
CFB	C1R	0.013441289	Co-expression	Innocenti-Brown-2011
CFB	C1S	0.014391974	Co-expression	Innocenti-Brown-2011
C6	MASP2	0.0062175593	Co-expression	Innocenti-Brown-2011
C6	PROS1	0.009128606	Co-expression	Innocenti-Brown-2011
C6	C2	0.005961888	Co-expression	Innocenti-Brown-2011
C6	F5	0.008247988	Co-expression	Innocenti-Brown-2011
C6	C1R	0.0063852267	Co-expression	Innocenti-Brown-2011
C6	F13B	0.0040751514	Co-expression	Innocenti-Brown-2011
C6	C1S	0.0072642257	Co-expression	Innocenti-Brown-2011
C4BPB	FGA	0.0101960115	Co-expression	Innocenti-Brown-2011
C4BPB	FGG	0.011560416	Co-expression	Innocenti-Brown-2011
C4BPB	CFB	0.007425129	Co-expression	Innocenti-Brown-2011
C8B	C4B	0.009801172	Co-expression	Innocenti-Brown-2011
C8B	MASP2	0.010253269	Co-expression	Innocenti-Brown-2011
C8B	FGA	0.0103205405	Co-expression	Innocenti-Brown-2011
C8B	VTN	0.011925514	Co-expression	Innocenti-Brown-2011
C8B	C2	0.011063943	Co-expression	Innocenti-Brown-2011
SERPINA5	F13B	0.011177566	Co-expression	Innocenti-Brown-2011
C1QA	C1QC	0.00609186	Co-expression	Innocenti-Brown-2011
C1QA	C3AR1	0.00924487	Co-expression	Innocenti-Brown-2011
C1QA	CR1	0.010048702	Co-expression	Innocenti-Brown-2011
C1QA	CFD	0.009086422	Co-expression	Innocenti-Brown-2011
C4BPA	C4B	0.010017081	Co-expression	Innocenti-Brown-2011
C4BPA	MASP2	0.010709016	Co-expression	Innocenti-Brown-2011
C4BPA	MASP1	0.011195312	Co-expression	Innocenti-Brown-2011
C4BPA	FGA	0.011864043	Co-expression	Innocenti-Brown-2011
C4BPA	PROS1	0.012820631	Co-expression	Innocenti-Brown-2011
C4BPA	VTN	0.011395232	Co-expression	Innocenti-Brown-2011
C4BPA	FGG	0.013971731	Co-expression	Innocenti-Brown-2011
C4BPA	C2	0.011547501	Co-expression	Innocenti-Brown-2011
C4BPA	C1R	0.012101272	Co-expression	Innocenti-Brown-2011
C4BPA	C1S	0.012386354	Co-expression	Innocenti-Brown-2011
C4BPA	CFB	0.010942003	Co-expression	Innocenti-Brown-2011
C4BPA	C4BPB	0.0067436174	Co-expression	Innocenti-Brown-2011
C4BPA	C8B	0.006749091	Co-expression	Innocenti-Brown-2011
BDKRB2	BDKRB1	0.0077523254	Co-expression	Innocenti-Brown-2011
F10	C6	0.006508423	Co-expression	Innocenti-Brown-2011
F12	C6	0.006942249	Co-expression	Innocenti-Brown-2011
C9	MASP2	0.007862733	Co-expression	Innocenti-Brown-2011
C9	FGB	0.00806434	Co-expression	Innocenti-Brown-2011
C9	PROS1	0.011259027	Co-expression	Innocenti-Brown-2011
C9	FGG	0.009087569	Co-expression	Innocenti-Brown-2011
C9	C2	0.007925418	Co-expression	Innocenti-Brown-2011
C9	F5	0.010163014	Co-expression	Innocenti-Brown-2011
C9	C1R	0.009230941	Co-expression	Innocenti-Brown-2011
C9	C1S	0.008918343	Co-expression	Innocenti-Brown-2011
C9	CFB	0.0069569657	Co-expression	Innocenti-Brown-2011
C9	C6	0.0039544185	Co-expression	Innocenti-Brown-2011
C9	C4BPA	0.0061680665	Co-expression	Innocenti-Brown-2011
CFH	PROS1	0.02482638	Co-expression	Innocenti-Brown-2011
CFH	C1R	0.021330627	Co-expression	Innocenti-Brown-2011
CFH	C1S	0.021366442	Co-expression	Innocenti-Brown-2011
CFH	CFB	0.013951181	Co-expression	Innocenti-Brown-2011
CFH	C6	0.0077183307	Co-expression	Innocenti-Brown-2011
CFH	C4BPA	0.0127977785	Co-expression	Innocenti-Brown-2011
CFH	C9	0.0101278545	Co-expression	Innocenti-Brown-2011
C3	C4B	0.010624793	Co-expression	Innocenti-Brown-2011
C3	MASP2	0.010154497	Co-expression	Innocenti-Brown-2011
C3	MASP1	0.010600176	Co-expression	Innocenti-Brown-2011
C3	FGA	0.010941436	Co-expression	Innocenti-Brown-2011
C3	PROS1	0.011792119	Co-expression	Innocenti-Brown-2011
C3	VTN	0.0107394885	Co-expression	Innocenti-Brown-2011
C3	FGG	0.013098868	Co-expression	Innocenti-Brown-2011
C3	C2	0.011555249	Co-expression	Innocenti-Brown-2011
C3	C1R	0.010019076	Co-expression	Innocenti-Brown-2011
C3	C8G	0.0075459895	Co-expression	Innocenti-Brown-2011
C3	C1S	0.012131477	Co-expression	Innocenti-Brown-2011
C3	CFB	0.01024761	Co-expression	Innocenti-Brown-2011
C3	C6	0.0039941203	Co-expression	Innocenti-Brown-2011
C3	C4BPB	0.005539835	Co-expression	Innocenti-Brown-2011
C3	C8B	0.006678793	Co-expression	Innocenti-Brown-2011
C3	C4BPA	0.008650392	Co-expression	Innocenti-Brown-2011
C3	C9	0.0055540614	Co-expression	Innocenti-Brown-2011
C3	CFH	0.011896922	Co-expression	Innocenti-Brown-2011
C8A	C4B	0.0087082265	Co-expression	Innocenti-Brown-2011
C8A	MASP2	0.0103346305	Co-expression	Innocenti-Brown-2011
C8A	FGA	0.008710169	Co-expression	Innocenti-Brown-2011
C8A	FGB	0.008541646	Co-expression	Innocenti-Brown-2011
C8A	PROS1	0.010920209	Co-expression	Innocenti-Brown-2011
C8A	VTN	0.012019602	Co-expression	Innocenti-Brown-2011
C8A	FGG	0.011014943	Co-expression	Innocenti-Brown-2011
C8A	C2	0.009833724	Co-expression	Innocenti-Brown-2011
C8A	C1R	0.009207377	Co-expression	Innocenti-Brown-2011
C8A	C8G	0.007586878	Co-expression	Innocenti-Brown-2011
C8A	CFB	0.008547619	Co-expression	Innocenti-Brown-2011
C8A	C6	0.0037485526	Co-expression	Innocenti-Brown-2011
C8A	C8B	0.005937536	Co-expression	Innocenti-Brown-2011
C8A	C4BPA	0.007761633	Co-expression	Innocenti-Brown-2011
C8A	F12	0.009585374	Co-expression	Innocenti-Brown-2011
C8A	C9	0.0057566348	Co-expression	Innocenti-Brown-2011
C8A	CFH	0.01094544	Co-expression	Innocenti-Brown-2011
C8A	C3	0.0073197936	Co-expression	Innocenti-Brown-2011
SERPIND1	F5	0.009996972	Co-expression	Innocenti-Brown-2011
SERPIND1	MBL2	0.012272442	Co-expression	Innocenti-Brown-2011
SERPIND1	F13B	0.0059381416	Co-expression	Innocenti-Brown-2011
SERPIND1	SERPINA5	0.010607466	Co-expression	Innocenti-Brown-2011
SERPIND1	F10	0.008553642	Co-expression	Innocenti-Brown-2011
SERPIND1	CFH	0.009176611	Co-expression	Innocenti-Brown-2011
SERPING1	C4B	0.009472817	Co-expression	Innocenti-Brown-2011
SERPING1	MASP1	0.013263683	Co-expression	Innocenti-Brown-2011
SERPING1	FGA	0.00882829	Co-expression	Innocenti-Brown-2011
SERPING1	PROS1	0.012315247	Co-expression	Innocenti-Brown-2011
SERPING1	C2	0.010860619	Co-expression	Innocenti-Brown-2011
SERPING1	CFB	0.008024701	Co-expression	Innocenti-Brown-2011
SERPING1	C6	0.0038664641	Co-expression	Innocenti-Brown-2011
SERPING1	C4BPA	0.0063651213	Co-expression	Innocenti-Brown-2011
SERPING1	C3	0.0070921173	Co-expression	Innocenti-Brown-2011
C5	C4B	0.007728524	Co-expression	Innocenti-Brown-2011
C5	MASP2	0.0075326315	Co-expression	Innocenti-Brown-2011
C5	MASP1	0.009090662	Co-expression	Innocenti-Brown-2011
C5	PROS1	0.01045405	Co-expression	Innocenti-Brown-2011
C5	VTN	0.0087473085	Co-expression	Innocenti-Brown-2011
C5	FGG	0.0073166555	Co-expression	Innocenti-Brown-2011
C5	C2	0.008715644	Co-expression	Innocenti-Brown-2011
C5	F5	0.009351869	Co-expression	Innocenti-Brown-2011
C5	C1R	0.008035958	Co-expression	Innocenti-Brown-2011
C5	MBL2	0.010361436	Co-expression	Innocenti-Brown-2011
C5	C8G	0.0060254713	Co-expression	Innocenti-Brown-2011
C5	C1S	0.009468642	Co-expression	Innocenti-Brown-2011
C5	CFB	0.0063658934	Co-expression	Innocenti-Brown-2011
C5	C6	0.0037407938	Co-expression	Innocenti-Brown-2011
C5	C4BPA	0.005726863	Co-expression	Innocenti-Brown-2011
C5	F12	0.008000421	Co-expression	Innocenti-Brown-2011
C5	C9	0.0048392382	Co-expression	Innocenti-Brown-2011
C5	CFH	0.010218823	Co-expression	Innocenti-Brown-2011
C5	C3	0.006169476	Co-expression	Innocenti-Brown-2011
C5	C8A	0.0053191073	Co-expression	Innocenti-Brown-2011
C5	SERPING1	0.005445563	Co-expression	Innocenti-Brown-2011
CFI	PROS1	0.014676462	Co-expression	Innocenti-Brown-2011
CFI	C2	0.009039306	Co-expression	Innocenti-Brown-2011
CFI	F5	0.011140115	Co-expression	Innocenti-Brown-2011
CFI	C1R	0.011557444	Co-expression	Innocenti-Brown-2011
CFI	C1S	0.012453581	Co-expression	Innocenti-Brown-2011
CFI	CFB	0.0075028054	Co-expression	Innocenti-Brown-2011
