Gene 1	Gene 2	Weight	Network group	Network
CACNA1D	ADCY1	0.01684471	Co-expression	Ramaswamy-Golub-2001
CACNA1S	PDE1C	0.0066581187	Co-expression	Ramaswamy-Golub-2001
CCKBR	ADCY1	0.016446127	Co-expression	Ramaswamy-Golub-2001
ATP2A3	ATP2B4	0.014859627	Co-expression	Ramaswamy-Golub-2001
SLC8A1	P2RX7	0.009456636	Co-expression	Ramaswamy-Golub-2001
CHRM5	PTGER3	0.008403228	Co-expression	Ramaswamy-Golub-2001
CHRM1	CHRM5	0.008487385	Co-expression	Ramaswamy-Golub-2001
CACNA1C	TACR1	0.016287997	Co-expression	Ramaswamy-Golub-2001
ITPR3	PHKA1	0.014975043	Co-expression	Ramaswamy-Golub-2001
BDKRB2	CACNA1S	0.0071820654	Co-expression	Ramaswamy-Golub-2001
ADRB3	CHRM5	0.012316815	Co-expression	Ramaswamy-Golub-2001
PLCD1	AVPR1B	0.01953376	Co-expression	Ramaswamy-Golub-2001
PLCD1	PLCB2	0.010546964	Co-expression	Ramaswamy-Golub-2001
PTAFR	BST1	0.01838983	Co-expression	Ramaswamy-Golub-2001
ATP2B1	PLCB2	0.010842152	Co-expression	Ramaswamy-Golub-2001
BDKRB1	CHRM5	0.008203947	Co-expression	Ramaswamy-Golub-2001
GRIN2C	PTGER3	0.009506896	Co-expression	Ramaswamy-Golub-2001
GRIN2C	AVPR1B	0.006846762	Co-expression	Ramaswamy-Golub-2001
GRIN2C	CHRM5	0.0044399747	Co-expression	Ramaswamy-Golub-2001
AGTR1	PHKB	0.017700866	Co-expression	Ramaswamy-Golub-2001
NTSR1	PLCB2	0.010870883	Co-expression	Ramaswamy-Golub-2001
AVPR1A	CHRM5	0.009207779	Co-expression	Ramaswamy-Golub-2001
HRH1	CHRM5	0.0078074443	Co-expression	Ramaswamy-Golub-2001
CHRM2	SLC8A3	0.01172114	Co-expression	Ramaswamy-Golub-2001
CHRM2	TACR1	0.0087926835	Co-expression	Ramaswamy-Golub-2001
GRPR	P2RX7	0.0081959935	Co-expression	Ramaswamy-Golub-2001
CHRM3	P2RX7	0.013271355	Co-expression	Ramaswamy-Golub-2001
CHRM3	PHKA1	0.020008298	Co-expression	Ramaswamy-Golub-2001
VDAC2	AVPR1B	0.0086069405	Co-expression	Ramaswamy-Golub-2001
VDAC2	VDAC1	0.008012459	Co-expression	Ramaswamy-Golub-2001
PPP3CC	CD38	0.013918348	Co-expression	Ramaswamy-Golub-2001
PPID	PHKB	0.016248144	Co-expression	Ramaswamy-Golub-2001
PDE1B	ADCY2	0.013809386	Co-expression	Ramaswamy-Golub-2001
PDE1B	PDE1C	0.016676623	Co-expression	Ramaswamy-Golub-2001
PDE1B	CACNA1S	0.006068151	Co-expression	Ramaswamy-Golub-2001
