# Organism: H. sapiens
# Application version: 3.5.0
# Database version: 16 October 2014 00:00:00
# Network generated on: 1 May 2017
# Author: GeneMANIA (genemania.org)
# Notes: Network weight reflects the data source relevance for predicting the function of interest
Entity 1	Entity 2	Weight	Network group	Network
HBEGF	PICALM	0.014346324	Co-expression	Ramaswamy-Golub-2001
APOE	APOC1	0.035035618	Co-expression	Ramaswamy-Golub-2001
BIN1	DMWD	0.02015458	Co-expression	Ramaswamy-Golub-2001
BCL3	PICALM	0.006757684	Co-expression	Ramaswamy-Golub-2001
CD33	APOC2	0.019047093	Co-expression	Ramaswamy-Golub-2001
CD2AP	DSG2	0.016171984	Co-expression	Ramaswamy-Golub-2001
HLA-DRB1	HLA-DQA1	0.016333297	Co-expression	Ramaswamy-Golub-2001
HMHA1	PTK2B	0.0071105063	Co-expression	Ramaswamy-Golub-2001
RELB	BCL3	0.005964663	Co-expression	Ramaswamy-Golub-2001
CLUL1	PTK2B	0.012553023	Co-expression	Ramaswamy-Golub-2001
HLA-DPB1	HLA-DQA1	0.020436402	Co-expression	Ramaswamy-Golub-2001
HLA-DPB1	HLA-DRB1	0.025741268	Co-expression	Ramaswamy-Golub-2001
C1QB	APOC1	0.034578603	Co-expression	Ramaswamy-Golub-2001
C1QB	APOE	0.026910435	Co-expression	Ramaswamy-Golub-2001
C1QB	HLA-DQA1	0.018356074	Co-expression	Ramaswamy-Golub-2001
HLA-DRA	APOC1	0.013175962	Co-expression	Ramaswamy-Golub-2001
HLA-DRA	HLA-DQA1	0.015027913	Co-expression	Ramaswamy-Golub-2001
HLA-DRA	PTK2B	0.01018562	Co-expression	Ramaswamy-Golub-2001
HLA-DRA	HLA-DRB1	0.023500515	Co-expression	Ramaswamy-Golub-2001
HLA-DRA	HLA-DPB1	0.023399968	Co-expression	Ramaswamy-Golub-2001
HLA-DMA	HLA-DQA1	0.016111286	Co-expression	Ramaswamy-Golub-2001
HLA-DMA	HLA-DRB1	0.023456527	Co-expression	Ramaswamy-Golub-2001
HLA-DMA	HLA-DPB1	0.024474679	Co-expression	Ramaswamy-Golub-2001
HLA-DMA	HLA-DRA	0.02197408	Co-expression	Ramaswamy-Golub-2001
HLA-DMB	HLA-DQA1	0.015524467	Co-expression	Ramaswamy-Golub-2001
HLA-DMB	HLA-DRB1	0.020489072	Co-expression	Ramaswamy-Golub-2001
HLA-DMB	HLA-DPB1	0.023342459	Co-expression	Ramaswamy-Golub-2001
HLA-DMB	HLA-DRA	0.019248622	Co-expression	Ramaswamy-Golub-2001
HLA-DMB	HLA-DMA	0.021420427	Co-expression	Ramaswamy-Golub-2001
HLA-DQB1	HLA-DRB1	0.026724983	Co-expression	Ramaswamy-Golub-2001
HLA-DQB1	HLA-DPB1	0.03091837	Co-expression	Ramaswamy-Golub-2001
HLA-DQB1	HLA-DRA	0.023316875	Co-expression	Ramaswamy-Golub-2001
HLA-DQB1	HLA-DMA	0.023352943	Co-expression	Ramaswamy-Golub-2001
HLA-DQB1	HLA-DMB	0.021649847	Co-expression	Ramaswamy-Golub-2001
MS4A6A	MS4A4A	0.018880242	Co-expression	Salaverria-Siebert-2011
CLU	SCARA3	0.017853566	Co-expression	Salaverria-Siebert-2011
FBXO46	MARK4	0.01656073	Co-expression	Salaverria-Siebert-2011
FBXO46	YLPM1	0.023586778	Co-expression	Salaverria-Siebert-2011
APOC2	APOC1	0.019232757	Co-expression	Salaverria-Siebert-2011
APOE	APOC1	0.023471447	Co-expression	Salaverria-Siebert-2011
HLA-DRB1	HLA-DQA1	0.023950875	Co-expression	Salaverria-Siebert-2011
RELB	MARK4	0.013856427	Co-expression	Salaverria-Siebert-2011
RELB	BCL3	0.012191189	Co-expression	Salaverria-Siebert-2011
RELB	CLPTM1	0.013763298	Co-expression	Salaverria-Siebert-2011
SFSWAP	CLASRP	0.020110544	Co-expression	Salaverria-Siebert-2011
HLA-DPB1	HLA-DQA1	0.025361722	Co-expression	Salaverria-Siebert-2011
HLA-DPB1	HLA-DRB1	0.035118014	Co-expression	Salaverria-Siebert-2011
APOA4	APOA1	0.010644433	Co-expression	Salaverria-Siebert-2011
CRTAM	CD96	0.012784891	Co-expression	Salaverria-Siebert-2011
C1QB	MS4A4A	0.010920656	Co-expression	Salaverria-Siebert-2011
C1QB	MS4A6A	0.010905483	Co-expression	Salaverria-Siebert-2011
C1QB	CD33	0.007776514	Co-expression	Salaverria-Siebert-2011
HLA-DRA	HLA-DQA1	0.020937579	Co-expression	Salaverria-Siebert-2011
HLA-DRA	HLA-DRB1	0.03424216	Co-expression	Salaverria-Siebert-2011
HLA-DRA	HLA-DPB1	0.03112618	Co-expression	Salaverria-Siebert-2011
HLA-DMA	HLA-DQA1	0.016490875	Co-expression	Salaverria-Siebert-2011
HLA-DMA	HLA-DRB1	0.030572217	Co-expression	Salaverria-Siebert-2011
HLA-DMA	HLA-DPB1	0.02846979	Co-expression	Salaverria-Siebert-2011
HLA-DMA	HLA-DRA	0.028986637	Co-expression	Salaverria-Siebert-2011
HLA-DMB	APOC1	0.011500984	Co-expression	Salaverria-Siebert-2011
HLA-DMB	HLA-DQA1	0.017652225	Co-expression	Salaverria-Siebert-2011
HLA-DMB	HLA-DRB1	0.026875585	Co-expression	Salaverria-Siebert-2011
HLA-DMB	HLA-DPB1	0.026075438	Co-expression	Salaverria-Siebert-2011
HLA-DMB	HLA-DRA	0.026743276	Co-expression	Salaverria-Siebert-2011
HLA-DMB	HLA-DMA	0.026284456	Co-expression	Salaverria-Siebert-2011
HLA-DQB1	HLA-DQA1	0.04501132	Co-expression	Salaverria-Siebert-2011
HLA-DQB1	HLA-DRB1	0.03060355	Co-expression	Salaverria-Siebert-2011
HLA-DQB1	HLA-DPB1	0.027633378	Co-expression	Salaverria-Siebert-2011
