"id","group","fc","log10_exp","log10_IGAP"
"LPL","2",-1.02771565856828,0.203036551794228,0
"APOC3","1",1.47065988192496,4.12813074823268,0
"APOE","1",-1.13631005416186,1.36541368816816,6
"SDC2","2",1.06817317321048,0.591015798483302,2.39967412971804
"APOA4","2",1.00327610901125,0.0550107958662751,0
"SDC4","1",1.17710944177444,1.84631218437969,0
"GPC1","1",-1.236297934329,5.39435620323708,0
"HSPG2","2",1.04053679282175,0.307306155041873,0
"SDC3","2",1.0057895302207,0.0628523065504865,0
"GPC4","1",1.16391586104215,1.95718947155269,0
"GPC6","1",-1.3450734832241,4.86555396888936,0
"LIPC","1",-1.18294963636931,2.13803248708371,0
"LRP10","2",1.08119178405914,0.797091757869772,0
"AGRN","1",-1.15089974559596,2.78237246898798,0
"GPC3","1",1.18829104644371,2.1262232124954,0
"GPC5","2",-1.05281333384284,0.374954223703705,0
"DEK","1",1.09573663774281,2.44386770373978,0
"MSR1","1",1.3856196428257,3.18735896792622,0
"GPC2","2",1.08231454129414,0.961237317672745,2.72222351713513
"SDC1","2",-1.1017198019724,1.20607656449589,0
"LDLRAP1","1",1.26181183657683,8.25235470463488,0
"HSP90B1","1",-1.20807268698572,6.10099760587932,0
"RBP1","1",-1.14394037565469,2.62925206831272,0
"TFAP2A","1",1.3742293309581,6.60838073799708,0
"LRP12","1",-1.09769278802548,1.5202596495987,0
"APOA5","2",-1.01578288044413,0.205891010206435,0
