"id","group","fc","log10_exp","log10_IGAP","log10_eQTL"
"CALML6",2,-1.02384217216907,1.24205377692081e-13,3.71152719940022,0
"ADCY3",2,-1.01000218222699,1.24205377692081e-13,3.47508485246013,5.51272018355693
"PDE1A",2,-1.22059466012849,1.60909732202499,4.31238187042823,4.79669508386152
"RYR3",2,-1.09467901693043,0.237595205555001,3.57332611197863,2.02470608464379
"CACNA1D",2,-1.11724697142282,1.67326801464479,4.03673174847377,0
"CACNA1S",2,-1.15182380281945,1.59657840953051,4.50403960511829,0
"RYR2",1,-1.28701545854304,2.33996611815661,3.80799040734633,2.07556563645677
"PHKA1",2,1.08729360093921,0.66963099423016,0,0
"ITPR2",2,-1.00783954902162,1.24205377692081e-13,2.65306053730101,1.63638802010786
"PLCZ1",2,1.01732861638222,0.0986554807001738,3.84193920606339,0
"GNA14",2,-1.14064724127087,1.32779539758627,3.31211447515129,1.0291419430035
"CACNA1G",1,-1.27017067757756,2.90198637996797,2.8353497840657,1.35017853677543
"ATP2A3",2,1.11620098080681,0.812178536538538,5.54196680750349,0
"CALML5",2,-1.03174968430136,0.272517788044946,3.34447740374658,0
"PTGFR",2,-1.00640337008871,1.24205377692081e-13,3.25204469309327,0
"TACR1",2,-1.29879128124963,1.74962035043742,2.85573722623801,0
"OXTR",2,-1.15873767462594,0.678160366932066,3.2500319164906,5.16583371605738
"AVPR1B",2,-1.05254330270663,0.555503317110114,4.98927613460823,0
"ADRA1A",2,1.01951494927591,1.24205377692081e-13,16.6060739934142,9.2444300193712
"CHRM5",2,1.09799651993471,0.0708588844774918,4.11238269966426,0
"CHRM1",1,-1.36133220943836,2.83448218672819,4.17502853887631,1.51215487988856
"PHKB",2,-1.10502521206617,1.12976709267205,3.17153345264732,0.760450279159527
"CACNA1H",2,-1.14177103982353,1.0538560556152,4.05423607688883,1.10419084983087
"CACNA1C",1,-1.16912816333747,2.10420547776259,4.15397232463562,1.99610883376309
"MYLK3",1,-1.52889698813445,4.74451789560507,3.17153345264732,0
"PLCD4",2,1.07048214207242,0.422182327015679,2.98005331832116,2.39222339625831
"CACNA1A",2,-1.12601818721272,1.42726499429628,2.84013215290743,2.15745316350498
"ITPR3",2,1.03391702306025,0.0218076174973477,6.07878187880505,1.2868455981627
"RYR1",2,-1.04719961589845,0.257086992741868,3.85139734519391,2.41521662100349
