"id","group","n","a","fc","log10_exp","log10_IGAP"
"CALML6","2",0,0,-1.02384217216907,1.24205377692081e-13,0
"ADCY3","2",0.242130750605327,0.2590799031477,-1.07289198052317,1.24205377692081e-13,0
"PDE1A","1",0.423519736842105,0.0230263157894737,-1.13544827035125,1.60909736550465,0
"RYR3","2",0.145867098865478,0.815235008103728,-1.49118862974115,0.237595221024518,0
"CACNA1D","1",0.542082738944365,0.0313837375178317,-1.01928826303508,1.67326806031883,0
"CACNA1S","1",0.2,0.2,-1.20375875953156,1.59657773888788,0
"RYR2","1",0.877598152424942,0.0115473441108545,-1.09146778486324,2.33996621373951,0
"PHKA1","2",0.148011100832562,0.72895467160037,-1.20841359603269,0.669631011303842,0
"ITPR2","2",0.0343712090578245,0.263243024666397,-1.11637024649537,1.24205377692081e-13,0
"PLCZ1","2",0.2,0.2,-1.02728784705022,0.0986554591073763,0
"GNA14","1",0.0175438596491228,0.870175438596491,-1.62943880269439,1.3277954456027,0
"CACNA1G","1",0.531914893617021,0.106382978723404,-1.197676615824,2.90198649169408,0
"ATP2A3","2",0.158730158730159,0.158730158730159,1.07780769451187,0.812178331795309,0
"CALML5","2",0,0,-1.03174968430136,0.272517804917032,0
"PTGFR","2",0.75,0.0625,1.11927614700168,1.24205377692081e-13,0
"TACR1","1",0.910891089108911,0.0198019801980198,-1.09813526730246,1.74962040943413,0
"OXTR","2",0.228310502283105,0.561643835616438,-1.39876683755939,0.678160395344714,0
"AVPR1B","2",0.2,0.2,-1.10000176877574,0.555503346618792,0
"ADRA1A","2",0.567375886524823,0.312056737588652,-1.00014935368417,1.24205377692081e-13,0
"CHRM5","2",0.208333333333333,0.104166666666667,1.09488085224522,0.070858886621062,0
"CHRM1","1",0.48780487804878,0.121951219512195,-1.30298888726282,2.83448230414559,0
"PHKB","2",0.263424518743668,0.2806484295846,-1.17949060465385,1.12976693634859,0
"CACNA1H","2",0.2,0.2,-1.19325272424716,1.05385609590415,0
"CACNA1C","1",0.642458100558659,0.0949720670391062,-1.07402025390164,2.10420556029118,0
