"id","group","fc","log10_exp","log10_IGAP"
"CCR2","1",1.21465587443402,2.39294669842714,0
"CCR3","2",-1.03496076370085,0.142234859356002,0
"CXCR3","2",1.00260687673567,1.24205377692081e-13,0
"CCL5","2",1,0,0
"CCR4","2",1.03183012123726,0.596259247427302,0
"CCR8","2",1.02015272522025,0.381916002312999,0
"CXCR1","1",1.22125530009267,1.57728755044852,0
"CXCR2","1",1.27570225622995,2.49170401333616,0
"CXCR5","2",-1.00006145116297,1.24205377692081e-13,0
"CCR6","1",-1.42722225454754,5.49250400844045,0
"CCR7","2",1.00212467124551,1.24205377692081e-13,0
"CCR1","2",1.13090099695625,0.272517804917032,0
"CCR9","2",-1.11925032319813,1.03763521401173,0
"CX3CR1","2",-1.05998579317601,0.00358578407016082,0
"CCR5","2",1.17846590635545,0.657625586001963,0
"CXCR4","1",1.75262855060922,6.62263748770504,0
"GNB3","2",1.00222044934785,1.24205377692081e-13,0
"GNGT1","2",1.01007979889638,0.0742925292133985,0
"ELMO1","1",-1.2360569776601,2.2392171067117,0
"GNB2","1",-1.11148644085973,2.22616941539159,0
"PRKCB","1",-1.17691369106449,1.81098090217002,0
"RAC2","2",-1.11576096873996,0.248791222115166,0
"NFKBIB","2",1.01197612966774,1.24205377692081e-13,0
"GNAI2","2",1.01134796349379,1.24205377692081e-13,0
"CHUK","2",1.0829505638917,0.538193857488187,0
"NRAS","2",-1.03843267520719,0.152867098023043,0
"MAP2K1","1",-1.29909474418506,1.8196576458776,0
"RAF1","2",1.01346700695354,0.00619984127191881,0
"PIK3R1","1",-1.19008402304267,1.87468227050371,0
"RAP1A","1",1.21655505882406,2.98969967904056,0
"GRB2","2",-1.14615764210399,1.27205856420446,0
"NFKBIA","1",1.30734325582886,6.08087881095802,0
"IKBKG","2",1,0,0
"RELA","1",1.09275385134609,1.50359200392424,0
"HRAS","1",-1.14644631485119,2.2471329607357,0
"AKT1","2",-1.00732819535448,1.24205377692081e-13,0
"MAPK1","2",-1.08810962633333,0.590495541338858,0
"RAC1","2",-1.04524236750468,0.355680489795309,0
"CDC42","2",-1.12910210844521,1.16595709568521,0
"GNB1","1",-1.11918318825944,1.53758068973219,0
"NFKB1","2",1.08139990064563,0.992360164483323,0
"ARRB2","1",-1.10449199555176,1.40710553971917,0
"PIK3R6","2",1,0,0
"ACKR4","1",1.22885776288425,2.15728627091598,0
"ACKR1","2",1.00383411126796,1.24205377692081e-13,0
