"id","group","fc","log10_exp","log10_IGAP"
"GABRA2","2",-1.10088261884123,0.867548993403288,0
"NSF","1",-1.39947071988799,2.39587067893565,0
"PCDH8","1",-1.80584636111666,3.69975716068433,0
"CTTN","2",-1.09321572214588,0.952039852227642,0
"ABI1","2",-1.07788013544415,0.517657206408356,0
"GABRA1","1",-1.26876622945172,1.78434851634129,0
"APC","2",-1.03166310179005,0.0471622279960987,0
"GRIN2A","1",-1.45711295702609,3.31276897610199,0
"GRIA2","1",-1.19719113964504,1.83142298253439,0
"FUS","1",-1.11563356803219,1.69890653784398,0
"X","2",1,0,0
"CTNNB1","2",-1.07293230882018,0.516377699883236,0
"APP","1",-1.24475266107664,2.06787792916607,0
"SYT1","1",-1.16453884138495,1.63053840064871,0
"CAMK2A","1",-1.22648617893951,2.00593888178826,0
"SNAP25","1",-1.43686315794111,2.42978036022592,0
"STXBP1","1",-1.42272111525435,3.19960168402265,0
"GRIN2B","2",1,0,0
"SNCB","1",-1.36738261058494,3.27446805284598,0
"CAMK2B","2",-1.14414010841374,1.25769205537499,0
"DNM1","1",-1.35368063215817,3.04095949976139,0
"SNCA","1",-1.3024058811213,2.65942279193836,0
"OPCML","1",-1.2860355596319,1.92047563727173,0
"SLC1A2","2",-1.0454981996786,0.0165243044738847,0
"HNRNPK","2",-1.05899151938655,0.277933449988728,0
"SH3GL2","1",-1.33397653995728,1.83222871273661,0
"NLGN1","2",-1.07098168606938,0.66170468539622,0
"AMPH","1",-1.31672385001858,2.10653386467495,0
"PJA2","1",-1.2198638821583,1.6863266240941,0
"HTR2A","1",-1.33741863644365,2.20286012264626,0
"CYFIP2","1",-1.13306213258321,2.3432384626867,0
"NRXN1","1",-1.1907883789636,1.87605880964009,2.5162045197858
"NRXN3","1",-1.35535558342866,4.2180041744513,0
"DLGAP1","1",-1.32998032101293,2.62839749910082,0
"ANK2","2",-1.08088359451316,0.51119559027637,0
"KCNA1","2",1.09745678015035,0.396580840651356,0
"WDR7","2",-1.17459071659006,1.10647733649646,0
"CYFIP1","2",1,0,0
"PRKCG","1",-1.58345441543204,5.32561633449342,0
"DLG1","2",1.00212091612948,1.24205377692081e-13,0
"NRCAM","2",-1.15731772280243,1.20159027081227,0
"FXR1","2",-1.02407281830312,0.0492931988930928,0
"GRIA3","1",-1.25683630037254,2.37204790589274,0
"RTN4","2",-1.15532979551441,1.18991646776134,0
"MARCKS","2",1,0,0
"MAGI2","1",-1.10589410327567,1.54566801489274,0
"GLRB","1",-1.29225013721988,1.49429343860153,0
"DLG2","2",-1.0986078332612,1.08042000936415,2.18255759879673
"ADAM10","2",1.04479885291768,0.2170197327049,0
"PPP3CA","1",-1.13758559846989,1.73533825674984,0
"CPE","2",-1.01083225630646,1.24205377692081e-13,0
"KIF5A","1",1.16731352268755,2.05478183224803,0
"SPTBN1","2",-1.03187367393609,0.325825318480817,0
"MYH10","1",-1.2495891903039,4.46053191742707,0
"MPDZ","2",-1.03270271029054,0.0814083004275051,0
