"id","group","fc","log10_exp","log10_IGAP"
"DSCAM","1",-1.11482579471283,2.39602669265662,0
"ROBO1","2",-1.12033286527224,0.892847575492024,0
"NCOA2","2",-1.05841420640018,0.313891803009431,0
"NEFL","2",1,0,0
"HSP90AA1","2",-1.10157085022705,0.765024759166259,0
"GNB1","1",-1.11918318825944,1.53758068973219,0
"CDC42","2",-1.12910210844521,1.16595709568521,0
"PAK1","1",-1.51038394682099,3.58336556208688,0
"SH3GL2","1",-1.33397653995728,1.83222871273661,0
"DCC","1",-1.22428074711267,1.62292041999357,0
"LRP6","2",1.06515560640083,0.564387519616282,0
"NDN","1",-1.27017650673335,2.64585097656334,0
"ABI1","2",-1.07788013544415,0.517657206408356,0
"SGK1","1",1.32402835256961,6.26624644391578,0
"MAP1B","1",-1.26503772197735,1.53538072552874,0
"APC","2",-1.03166310179005,0.0471622279960987,0
"CTNNB1","2",-1.07293230882018,0.516377699883236,0
"GRIN2B","2",1,0,0
"PCDH8","1",-1.80584636111666,3.69975716068433,0
"CACNA1B","1",-1.31994720261543,2.48474862219331,0
"NSF","1",-1.39947071988799,2.39587067893565,0
"SMARCA4","1",-1.16538196872748,2.66898299722679,0
"PRKCG","1",-1.58345441543204,5.32561633449342,0
"BMPR2","2",-1.09397849079659,0.689384955360958,0
"MAPK1","2",-1.08810962633333,0.590495541338858,0
"GRIN2A","1",-1.45711295702609,3.31276897610199,0
"HNRNPK","2",-1.05899151938655,0.277933449988728,0
"X","2",1,0,0
"FUS","1",-1.11563356803219,1.69890653784398,0
"CPE","2",-1.01083225630646,1.24205377692081e-13,0
"SNCA","1",-1.3024058811213,2.65942279193836,0
"APP","1",-1.24475266107664,2.06787792916607,0
"SNAP25","1",-1.43686315794111,2.42978036022592,0
"SYT1","1",-1.16453884138495,1.63053840064871,0
"GRIA2","1",-1.19719113964504,1.83142298253439,0
"CAMK2A","1",-1.22648617893951,2.00593888178826,0
"STXBP1","1",-1.42272111525435,3.19960168402265,0
"SNCB","1",-1.36738261058494,3.27446805284598,0
"STX1A","1",-1.34332645129555,3.48654380016413,0
"GNG3","1",-1.38070308766316,3.60950281739487,0
"APBA2","1",-1.22802752142182,2.39602669265662,0
"SPTBN1","2",-1.03187367393609,0.325825318480817,0
"KIF5A","1",1.16731352268755,2.05478183224803,0
"KIF5B","1",1.24267383947756,5.79216267449989,0
"CAPRIN1","2",-1.08908212877598,0.542348153776014,0
"RGS7","1",-1.3706748796664,2.48993082663586,0
"KLC1","1",-1.22129600140809,2.65848866895379,0
"ATP6V0D1","1",-1.23820664515662,2.50252200381491,0
"PLS3","2",-1.09347288710549,0.482809949186527,0
"HNRNPR","2",-1.05733962322452,0.397657858439039,0
"VDAC2","1",-1.17884291975862,1.81769162365642,0
"RDX","2",1.06553497356348,0.88258644730543,0
"TAGLN3","1",-1.28027501412017,2.26829699519088,0
"PAFAH1B1","1",-1.21163845808976,2.02251611937006,0
"MYO5A","2",-1.15588672606239,1.15250319037349,0
"CYFIP2","1",-1.13306213258321,2.3432384626867,0
"NRXN1","1",-1.1907883789636,1.87605880964009,2.5162045197858
"NRXN3","1",-1.35535558342866,4.2180041744513,0
"KCNA1","2",1.09745678015035,0.396580840651356,0
"ANK2","2",-1.08088359451316,0.51119559027637,0
"NLGN1","2",-1.07098168606938,0.66170468539622,0
"WDR7","2",-1.17459071659006,1.10647733649646,0
"DLGAP1","1",-1.32998032101293,2.62839749910082,0
"BECN1","2",-1.09245688472229,0.580742088450615,0
"CLSTN1","1",-1.19699460862576,2.99245103236085,0
"GNAQ","2",-1.02552678156373,0.12316554783211,0
"LRP1","2",-1.04073719649963,0.2652887804723,0
"KCNQ3","1",-1.40466884977624,3.86929363037415,0
"CTTN","2",-1.09321572214588,0.952039852227642,0
"CYFIP1","2",1,0,0
"MTOR","2",-1.08427696176541,0.693606880137893,0
"DLG1","2",1.00212091612948,1.24205377692081e-13,0
"NRCAM","2",-1.15731772280243,1.20159027081227,0
"GRIA3","1",-1.25683630037254,2.37204790589274,0
"MAPK8IP2","1",-1.17648565666739,2.29697312953063,0
"RTN4","2",-1.15532979551441,1.18991646776134,0
"TRIM9","1",-1.32271937538625,3.25127094700557,0
"FXR1","2",-1.02407281830312,0.0492931988930928,0
"ADNP","2",-1.01347792319222,1.24205377692081e-13,0
"GLRB","1",-1.29225013721988,1.49429343860153,0
"MARCKS","2",1,0,0
"DLG2","2",-1.0986078332612,1.08042000936415,2.18255759879673
"MAGI2","1",-1.10589410327567,1.54566801489274,0
"AMPH","1",-1.31672385001858,2.10653386467495,0
"SNAP91","1",-1.25696934956564,1.85032507640247,0
"SCG5","1",-1.3392405767047,2.56757525127461,0
"RTN1","1",-1.39105565988634,2.34225853101817,0
"BASP1","1",-1.36244775598757,3.70559505490371,0
"MYH10","1",-1.2495891903039,4.46053191742707,0
"MPDZ","2",-1.03270271029054,0.0814083004275051,0
"CLU","2",-1.03078441429821,0.0353632157908975,6
"ATF4","2",1.03527645631318,0.162179056819881,0
"UBXN1","2",-1.05739229079346,0.669892061838919,0
"USP9X","2",-1.09410563650087,0.557822603001572,0
"NPTN","1",-1.29782257304784,2.16420634615807,0
"CAP2","1",-1.48250172238621,3.38519497576519,0
"BSN","1",-1.24664017184837,2.11910317033461,0
"GABRB1","1",-1.45602932229717,2.34930838495917,0
"CHL1","1",-1.22797138091271,1.69347201402413,0
"GABRG2","1",-1.49571915600472,2.43001287138289,0
"ATP2B2","1",-1.28815575457971,2.79470644555116,0
"NCOA1","2",-1.00387632243262,1.24205377692081e-13,0
"RASGRF1","1",-1.4175606608617,3.07386602412953,0
"UNC5C","2",-1.00089768127166,1.24205377692081e-13,0
"ATP6AP2","1",-1.21586602611417,1.65379633027956,0
"SORT1","2",1.00807252395816,1.24205377692081e-13,0
"EXOC4","2",-1.05288208187129,0.449110334006141,0
"CDH8","1",-1.30627372101097,3.33323372001385,0
"GABRA2","2",-1.10088261884123,0.867548993403288,0
"BRAF","1",-1.15788844294199,1.49292479695292,0
"TGFB2","1",1.2114128679422,2.22997073586268,0
"SDC2","2",1.06817317321048,0.192091687036681,2.39967412971804
"CDK5R1","1",-1.21596738146306,1.82726814354251,0
"PCSK2","1",-1.36461270990387,2.83012894168332,0
"STX1B","1",-1.33233620433764,3.30345117927807,0
"GRM5","1",-1.1955851461011,1.33708916232892,0
"GRM7","1",-1.22725309181046,2.41345346970975,0
"PACSIN1","1",-1.35070788963979,3.89507386971803,0
"RAPGEF2","2",-1.12080737682487,0.601106004776996,0
"MTPN","1",-1.14098997590458,1.51559151587869,0
"DST","2",1.06834258488445,0.670598235900503,0
"OPA1","1",-1.19757567262953,1.8759953187071,0
"AAK1","2",-1.28293579854246,0.69228687523896,0
"VPS35","1",-1.22612583884208,2.94955266095664,0
"OLFM1","1",-1.27805096544105,3.60319617523685,0
"ANKS1B","1",-1.17927468297952,2.7369919448637,0
"CPLX2","1",-1.23235294801106,2.68178902640701,0
"SRR","2",-1.05256041518877,0.22826154143059,0
