"id","group","fc","log10_exp","log10_IGAP"
"MASP2","1",1.24356899801998,1.30165923432718,0
"MASP1","2",-1.07517373106664,0.216100202280775,0
"C1QC","2",1.1282024498697,0.184079987795153,0
"FGB","1",1.208714154605,2.63481031809568,0
"FGG","1",1.21048895840568,3.04294371550654,0
"C2","2",-1.15270948333051,1.21557022566119,0
"F5","2",1.20139009207984,0.666181018282678,0
"C1R","2",1.03926632222479,1.24205377692081e-13,0
"MBL2","2",1.00322384338254,0.158935562728644,0
"F13B","2",1.02793020526198,0.870710827843051,0
"C1S","2",-1.0869089001167,0.274018386163367,0
"F7","1",-1.40452302726477,3.31276897610199,0
"CFB","2",1.06677144664571,0.157808322638188,0
"C6","2",1.04585838991861,0.1187758866921,0
"C7","2",1.18877416990671,0.721006415737455,0
"C4BPB","2",1.01925715703481,1.24205377692081e-13,0
"C8B","2",-1.00189657735478,1.24205377692081e-13,0
"SERPINA5","1",1.92302161080637,6.81162160169825,0
"C1QA","2",1.13011289847168,0.254088197919156,0
"C4BPA","2",1.01572995987498,0.257618937917021,0
"A2M","2",1.04496290743973,0.0736939249645508,0
"F8","2",-1.13106522501795,1.01160661159195,0
"F10","1",1.38074704395586,5.90265213969577,0
"C9","2",-1.04757709675728,0.33030852772682,0
"CFH","2",1.20175905800122,1.03503178337176,0
"C3","2",1.19203846654291,0.755413251089766,0
"C8A","2",1.00006985113679,1.24205377692081e-13,0
"SERPING1","2",-1.00956503564013,1.24205377692081e-13,0
"C5","2",-1.00096988922824,1.24205377692081e-13,0
"CFI","2",1.11019788259958,0.300285893620719,0
"F2","2",-1.04001095451764,0.00963511735012358,0
"PLAU","2",1.08716000954594,0.361046474798782,0
"CD59","2",1.09766631219612,0.795148344008256,0
"SERPINC1","2",1.12723827633875,0.462186143357213,0
"F11","2",1.07204821090218,0.103041762186261,0
"KLKB1","1",1.19175344890603,1.60794946736387,0
"CPB2","2",1.01380957320599,0.00460533582281746,0
"F9","2",1.01290676187919,0.318332817171484,0
"F13A1","2",-1.04561620950028,1.24205377692081e-13,0
"THBD","2",-1.02520812185871,1.24205377692081e-13,0
"SERPINE1","2",1.12384098483588,0.182120905723553,0
"C1QB","2",1.11286527348019,0.158536747613978,0
"PLG","2",1.20170664475612,0.873040968364564,0
"PROC","2",-1.02536206397598,1.24205377692081e-13,0
"KNG1","2",-1.2280157977759,0.873955037751403,0
"F3","2",-1.16935350462368,0.559380079793836,0
"PLAT","2",1.02357922064678,1.24205377692081e-13,0
"F2R","2",-1.07836452455298,0.361380098318607,0
"VWF","2",1.04876852191272,0.0396973590617017,0
"PLAUR","2",1.19743184749174,1.23623186828292,0
"HRG","1",-1.13869032295907,1.43258773899643,0
"CFP","2",-1.05890844879233,0.17197777465824,0
"SERPINB2","1",-1.20098838938326,1.40501225151219,0
"GGCX","1",-1.15952282940635,1.89823942272524,0
"ZFHX3","2",1.06491451074532,0.472240310449282,0
"GP1BB","2",-1.47018539207501,0.686300685518129,0
"PF4V1","2",-1.01209632895953,1.24205377692081e-13,0
"C3AR1","1",1.34693646393858,1.76510431754223,0
"CR1","2",1.12254338010809,0.684000488313635,6
"CD46","2",1.02988260031985,1.24205377692081e-13,0
"CR2","1",-1.1320721334766,1.31417153160975,3.3721755084739
"CD55","2",1.05152336618365,0.15446538694755,0
"CLU","2",-1.03078441429821,0.0353632157908975,6
"SERPINF2","1",1.18433654718124,1.64413158389471,0
"APOH","1",1.1982714509841,3.55190712778217,0
"CFHR3","2",1.07076094787927,0.288235436595765,0
"AMBP","2",1.10627922171354,0.272517804917032,0
"CP","2",1.05750637539773,1.24205377692081e-13,0
"CFHR5","2",-1.051151257895,0.698824428879297,0
"CFHR4","2",-1.02682251290849,0.00935595758134883,0
"CFHR1","2",-1.05585154642185,0.00989637899611518,0
"C4A","1",1.34799831091574,2.11830051820126,0
"FGA","1",1.1931485380439,3.36864887357937,0
"PROS1","2",-1.02704858525863,1.24205377692081e-13,0
"TFPI","1",1.25303085899485,1.99755015774982,0
"CFD","2",-1.29873687313921,1.14318499866224,0
"C8G","2",1.00828463268159,1.24205377692081e-13,0
"F12","1",-1.27982941726841,1.63706546308908,0
"C5AR1","2",1.20113108939309,0.9982663415762,0
"SERPINA1","2",1.18793715919042,0.333538279994697,0
"BDKRB1","2",1.03032027540968,1.24205377692081e-13,0
"BDKRB2","2",-1.13566140971077,0.645984089206585,0
"C4B","1",1.42372655597794,3.01385104350011,0
"VTN","2",-1.00667062746811,1.24205377692081e-13,0
"SERPIND1","2",1.08908110009201,0.329978079699146,0
