"id","group","fc","log10_exp","log10_IGAP"
"CR1","1",1.12254338010809,1.34879277446518,6
"IL10","2",1.00876350501606,0.0370955842950332,6
"CR2","1",-1.1320721334766,2.196571679095,3.3721755084739
"CLU","2",-1.03078441429821,0.309436217723421,6
"IL10RA","1",1.15809511539434,1.47545189615605,0
"HLA-DMB","1",1.23566846296432,1.87299517900735,0
"PLD2","2",-1.06033810564374,0.831610476004654,2.66978109405547
"CLPTM1","1",-1.22023523180687,5.43260078249471,6
"HLA-DRA","1",1.23735758093564,1.54704719454592,4.82973828460504
"SOX18","2",-1.15159889116233,0.935137839709272,0
"PTEN","2",-1.02010627992898,0.266664659365282,0
"SYNGR2","1",1.1379618770043,3.08461982231174,0
"ARPC5","2",1.01963926325517,0.214102739456578,0
"CD74","2",1.12006921928758,0.815732949090272,0
"HLA-DPB1","2",1.11839318103408,1.02217951558608,0
"CD226","2",1.09882425562297,1.01537406963949,0
"HLA-DRB1","2",1.12712776990088,0.395742265218069,6
"SPI1","2",1.03157290038053,0.165700326028484,3.38296189578339
"AP2B1","1",-1.12043225973412,2.83781709792899,0
"PTPN1","2",-1.02862667641598,0.604380757426697,0
"NECTIN3","1",-1.14278512140743,2.78320209495143,0
"HLA-DMA","2",1.11410262647504,1.06452399166095,0
"CSF1R","1",1.24191666479612,2.56903968482527,0
"FLNB","2",-1.01423942769716,0.178999336662364,0
"HLA-DQB1","2",-1.01924667001433,0.034047932463733,6
"CLUAP1","1",-1.17461599039091,5.23310805735683,0
"HNRNPA0","1",-1.13584403840713,2.44113376936951,0
"GTF2B","2",-1.07723267281921,0.675909952508812,0
"RALBP1","2",-1.00529267472945,0.0412254559228723,0
"CAV1","1",1.22222974656075,3.23540782954235,2.64787153078728
"HLA-DRB5","2",1.05993864301667,0.0842914338345637,6
"PVRL2","2",1,0,6
"NR1H3","2",-1.03446593307651,0.659858959442744,3.94819170568291
"MAPKAPK2","1",1.24598771809636,7.20080528440397,6
"CLPTM1L","1",-1.06740507397148,1.34792167382099,0
"SCARA3","2",1.06025746240195,0.572254478826063,5.69897000433602
"CARTPT","1",-1.59617173483294,3.85083091570982,3.61259771457206
"DAPK2","2",-1.03658163269546,0.510497456835193,2.49380625586075
"MS4A2","2",-1.01028440503442,0.399980451276123,6
"HLA-DQA1","2",-1.08737665661446,0.238317875308056,6
"CD33","2",1.09473422463098,0.627147522548514,5.69897000433602
"AP2A2","1",-1.1897859044033,4.86691935400031,2.63447644934494
"PVR","1",-1.14450125501657,3.52124467138453,6
"PTK2B","1",-1.26160329128652,4.26182613193952,6
"MEF2C","1",-1.17153314228234,2.69785904223256,2.55630215333184
"PSMC3","1",-1.10613819057512,2.93245062293832,4.48811663902113
"IL34","1",-1.11573301400666,1.33113966794465,2.57170804573639
"RORA","2",1.04026301721325,0.584570388222484,2.08188732291301
