"Entity.1","Entity.2","source","target"
"LPL","APOE",0,2
"APOC3","APOA5",1,25
"APOE","APOC3",2,1
"LPL","APOC3",0,1
"SDC2","GPC1",3,6
"APOA4","APOC3",4,1
"SDC4","GPC1",5,6
"GPC1","SDC1",6,19
"HSPG2","GPC1",7,6
"SDC3","GPC1",8,6
"APOE","APOA5",2,25
"SDC2","GPC2",3,18
"GPC4","SDC2",9,3
"HSPG2","APOE",7,2
"HSPG2","SDC1",7,19
"APOA4","LPL",4,0
"GPC6","SDC2",10,3
"LIPC","APOE",11,2
"HSPG2","SDC2",7,3
"LRP10","APOE",12,2
"HSPG2","SDC4",7,5
"SDC2","SDC1",3,19
"SDC3","SDC2",8,3
"AGRN","GPC1",13,6
"HSPG2","SDC3",7,8
"GPC3","SDC2",14,3
"SDC4","SDC3",5,8
"SDC3","SDC1",8,19
"GPC3","GPC1",14,6
"GPC3","GPC4",14,9
"GPC5","SDC2",15,3
"GPC3","GPC2",14,18
"SDC4","SDC2",5,3
"GPC5","GPC2",15,18
"GPC5","GPC1",15,6
"SDC3","GPC2",8,18
"GPC3","GPC6",14,10
"SDC4","GPC4",5,9
"GPC5","GPC6",15,10
"GPC5","GPC4",15,9
"AGRN","SDC2",13,3
"SDC4","GPC2",5,18
"AGRN","SDC1",13,19
"AGRN","SDC4",13,5
"GPC3","SDC4",14,5
"DEK","TFAP2A",16,23
"AGRN","SDC3",13,8
"MSR1","APOE",17,2
"GPC6","SDC4",10,5
"GPC3","HSPG2",14,7
"GPC4","SDC3",9,8
"GPC3","SDC3",14,8
"AGRN","HSPG2",13,7
"GPC3","SDC1",14,19
"GPC5","SDC3",15,8
"HSPG2","GPC4",7,9
"GPC5","SDC4",15,5
"APOA4","APOE",4,2
"HSPG2","GPC2",7,18
"GPC4","SDC1",9,19
"GPC2","SDC1",18,19
"SDC4","SDC1",5,19
"GPC6","SDC3",10,8
"SDC1","APOE",19,2
"GPC3","AGRN",14,13
"GPC6","HSPG2",10,7
"LDLRAP1","APOE",20,2
"HSP90B1","APOE",21,2
"APOA4","APOA5",4,25
"GPC5","HSPG2",15,7
"GPC5","APOE",15,2
"AGRN","GPC4",13,9
"SDC3","APOE",8,2
"AGRN","GPC2",13,18
"GPC5","SDC1",15,19
"SDC4","APOE",5,2
"HSPG2","APOA4",7,4
"AGRN","GPC5",13,15
"SDC2","APOE",3,2
"AGRN","GPC6",13,10
"GPC6","SDC1",10,19
"AGRN","APOE",13,2
"APOE","RBP1",2,22
"GPC1","APOE",6,2
"GPC3","APOC3",14,1
"APOA4","RBP1",4,22
"GPC3","APOE",14,2
"RBP1","APOC3",22,1
"TFAP2A","APOE",23,2
"LRP12","APOE",24,2
"GPC2","GPC1",18,6
"LPL","LIPC",0,11
"GPC4","GPC1",9,6
"LIPC","RBP1",11,22
"GPC4","GPC2",9,18
"GPC6","GPC1",10,6
"DEK","APOE",16,2
"SDC1","APOC3",19,1
"GPC3","GPC5",14,15
"GPC6","GPC2",10,18
"APOA4","LRP12",4,24
"GPC4","RBP1",9,22
"GPC6","GPC4",10,9
"HSP90B1","MSR1",21,17
"GPC2","RBP1",18,22
"AGRN","APOA4",13,4
"HSPG2","APOC3",7,1
"SDC1","RBP1",19,22
"LRP12","APOC3",24,1
"GPC4","APOE",9,2
"GPC3","RBP1",14,22
"SDC2","APOC3",3,1
"SDC4","LRP12",5,24
"GPC1","APOC3",6,1
"AGRN","LRP12",13,24
"LRP10","SDC2",12,3
"GPC6","RBP1",10,22
"GPC5","LRP12",15,24
"HSPG2","LRP10",7,12
"LRP10","SDC3",12,8
"GPC3","APOA4",14,4
"HSPG2","LRP12",7,24
"GPC2","APOE",18,2
"SDC3","LRP12",8,24
"GPC6","APOA4",10,4
"LRP10","APOA4",12,4
"GPC1","RBP1",6,22
"LRP10","GPC1",12,6
"AGRN","APOC3",13,1
"SDC4","APOC3",5,1
"GPC2","APOC3",18,1
"APOA4","SDC1",4,19
"SDC2","LRP12",3,24
"GPC6","LRP10",10,12
"HSPG2","RBP1",7,22
"SDC2","RBP1",3,22
"AGRN","LRP10",13,12
"SDC4","RBP1",5,22
"GPC4","APOC3",9,1
"LRP12","GPC1",24,6
"LRP10","APOC3",12,1
"SDC4","LRP10",5,12
"GPC3","LRP10",14,12
"GPC6","APOC3",10,1
"GPC5","APOA4",15,4
"APOA4","GPC2",4,18
"LRP10","SDC1",12,19
"GPC6","APOE",10,2
"APOA4","GPC1",4,6
"AGRN","RBP1",13,22
"GPC4","APOA4",9,4
"GPC5","APOC3",15,1
"APOA4","SDC3",4,8
"GPC4","LRP12",9,24
"LRP12","SDC1",24,19
"APOA4","SDC2",4,3
"GPC5","RBP1",15,22
"GPC3","LRP12",14,24
"SDC3","RBP1",8,22
"GPC4","LRP10",9,12
"GPC6","LRP12",10,24
"GPC5","LRP10",15,12
"SDC4","APOA4",5,4
"SDC3","APOC3",8,1
"LRP10","GPC2",12,18
"GPC2","LRP12",18,24
"LPL","APOA5",0,25
"LIPC","APOC3",11,1
"LIPC","APOA5",11,25
"APOA4","LIPC",4,11
