"Entity.1","Entity.2","source","target"
"CALML6","PPP3R2",0,150
"CALML6","ADCY8",0,151
"CALML6","PDE1C",0,152
"ADCY3","CALML6",1,0
"PDE1A","CALML6",2,0
"RYR3","P2RX2",3,153
"RYR3","P2RX6",3,154
"RYR3","P2RX1",3,131
"RYR3","BST1",3,155
"RYR3","P2RX4",3,156
"RYR3","P2RX7",3,157
"RYR3","P2RX5",3,158
"RYR3","CD38",3,159
"RYR3","CACNA1I",3,160
"CACNA1D","RYR3",4,3
"CACNA1S","RYR3",5,3
"RYR2","P2RX2",6,153
"RYR2","P2RX6",6,154
"RYR2","P2RX1",6,131
"RYR2","BST1",6,155
"RYR2","P2RX4",6,156
"RYR2","P2RX7",6,157
"RYR2","P2RX5",6,158
"RYR2","CD38",6,159
"RYR2","CACNA1I",6,160
"RYR2","CACNA1D",6,4
"RYR2","CACNA1S",6,5
"PHKA1","CALML6",7,0
"ITPR2","CALML6",8,0
"ITPR2","PLCD3",8,161
"PLCZ1","ITPR2",9,8
"GNA14","CYSLTR2",10,162
"GNA14","CYSLTR1",10,139
"GNA14","PTGER3",10,163
"GNA14","LTB4R2",10,164
"GNA14","CCKBR",10,165
"CACNA1G","RYR3",11,3
"CACNA1G","RYR2",11,6
"ATP2A3","PLN",12,166
"CALML5","PPP3R2",13,150
"CALML5","ADCY8",13,151
"CALML5","PDE1C",13,152
"CALML5","ADCY3",13,1
"CALML5","PDE1A",13,2
"CALML5","PHKA1",13,7
"CALML5","ITPR2",13,8
"PTGFR","GNA14",14,10
"TACR1","GNA14",15,10
"OXTR","GNA14",16,10
"AVPR1B","GNA14",17,10
"ADRA1A","GNA14",18,10
"CHRM5","GNA14",19,10
"CHRM1","GNA14",20,10
"PHKB","CALML6",21,0
"PHKB","PHKA1",21,7
"PHKB","CALML5",21,13
"CACNA1H","RYR3",22,3
"CACNA1H","RYR2",22,6
"CACNA1C","CALML6",23,0
"CACNA1C","RYR3",23,3
"CACNA1C","RYR2",23,6
"CACNA1C","CALML5",23,13
"MYLK3","CALML6",24,0
"MYLK3","CALML5",24,13
"PLCD4","ITPR2",25,8
"CACNA1A","RYR3",26,3
"CACNA1A","RYR2",26,6
"ITPR3","CALML6",27,0
"ITPR3","PLCD3",27,161
"ITPR3","ITPR2",27,8
"ITPR3","PLCZ1",27,9
"ITPR3","CALML5",27,13
"ITPR3","PLCD4",27,25
"RYR1","P2RX2",28,153
"RYR1","P2RX6",28,154
"RYR1","P2RX1",28,131
"RYR1","BST1",28,155
"RYR1","P2RX4",28,156
"RYR1","P2RX7",28,157
"RYR1","P2RX5",28,158
"RYR1","CD38",28,159
"RYR1","CACNA1I",28,160
"RYR1","CACNA1D",28,4
"RYR1","CACNA1S",28,5
"RYR1","CACNA1G",28,11
"RYR1","CACNA1H",28,22
"RYR1","CACNA1C",28,23
"RYR1","CACNA1A",28,26
"BDKRB2","GNA14",29,10
"CACNA1E","RYR3",30,3
"CACNA1E","RYR2",30,6
"CACNA1E","RYR1",30,28
"PLCB2","GNA14",31,10
"PTGER1","GNA14",32,10
"GRM1","GNA14",33,10
"TRHR","GNA14",34,10
"ATP2A2","PLN",35,166
"PTAFR","GNA14",36,10
"PHKA2","CALML6",37,0
"PHKA2","CALML5",37,13
