"Entity.1","Entity.2","source","target"
"CCR2","CCL8",0,114
"CCR2","CCL13",0,115
"CCR2","CCL16",0,116
"CCR2","CCL7",0,117
"CCR2","CCL2",0,51
"CCR3","CCL15",1,118
"CCR3","CCL26",1,119
"CCR3","CCL24",1,120
"CCR3","CXCL11",1,121
"CCR3","CCL3",1,122
"CCR3","CCL13",1,115
"CCR3","CXCL10",1,123
"CCR3","CCL7",1,117
"CCR3","CXCL9",1,124
"CCR3","CCL11",1,125
"CCR3","CCL4",1,53
"CXCR3","CXCL11",2,121
"CXCR3","CCL13",2,115
"CXCR3","CXCL10",2,123
"CXCR3","CCL7",2,117
"CXCR3","CXCL9",2,124
"CXCR3","CCL11",2,125
"CCL5","CCR3",3,1
"CCL5","CXCR3",3,2
"CCR4","CCL22",4,126
"CCR4","CCL17",4,127
"CCR4","CXCL12",4,52
"CCR8","CCL17",5,127
"CCR8","CCL1",5,128
"CCR8","CCL16",5,116
"CXCR1","CXCL5",6,129
"CXCR1","PPBP",6,130
"CXCR1","CXCL1",6,131
"CXCR1","IL8",6,54
"CXCR2","CXCL3",7,132
"CXCR2","CXCL5",7,129
"CXCR2","PPBP",7,130
"CXCR2","CXCL2",7,133
"CXCR2","CXCL1",7,131
"CXCR2","IL8",7,54
"CXCR5","CCL3",8,122
"CXCR5","CXCL13",8,134
"CXCR5","CCL16",8,116
"CXCR5","CCL4",8,53
"CXCR5","CCL5",8,3
"CCR6","CCL20",9,135
"CCR7","CCL21",10,46
"CCR7","CCL19",10,48
"CCR1","CCL15",11,118
"CCR1","CCL14",11,136
"CCR1","CCL8",11,114
"CCR1","CCL3",11,122
"CCR1","CCL1",11,128
"CCR1","CCL16",11,116
"CCR1","CCL7",11,117
"CCR1","CCL2",11,51
"CCR1","CCL4",11,53
"CCR1","CCL5",11,3
"CCR9","CCL25",12,137
"CX3CR1","CX3CL1",13,138
"CCR5","CCL8",14,114
"CCR5","CCL3",14,122
"CCR5","CCL13",14,115
"CCR5","CCL7",14,117
"CCR5","CCL11",14,125
"CCR5","CCL2",14,51
"CCR5","CCL4",14,53
"CCR5","CCL5",14,3
"CXCR4","CCR5",15,14
"GNB3","GNG3",16,139
"GNB3","GNG7",16,140
"GNB3","GNG2",16,141
"GNB3","GNG4",16,142
"GNB3","GNG5",16,143
"GNGT1","GNB4",17,57
"GNGT1","GNB3",17,16
"GNGT1","GNB5",17,59
"ELMO1","DOCK2",18,144
"GNB2","GNG3",19,139
"GNB2","GNG7",19,140
"GNB2","GNG2",19,141
"GNB2","GNG4",19,142
"GNB2","GNG5",19,143
"GNB2","GNGT1",19,17
"PRKCB","PIK3CG",20,72
"RAC2","DOCK2",21,144
"NFKBIB","IKBKB",22,70
"GNAI2","ADCY2",23,45
"GNAI2","GNG2",23,141
"CHUK","GRK5",24,111
"CHUK","IKBKB",24,70
"CHUK","NFKBIB",24,22
"NRAS","BRAF",25,145
"NRAS","JAK2",25,88
"MAP2K1","BRAF",26,145
"RAF1","BRAF",27,145
"RAF1","KRAS",27,73
"RAF1","GNB2",27,19
"RAF1","JAK2",27,88
"RAF1","NRAS",27,25
"RAF1","MAP2K1",27,26
"PIK3R1","PIK3CD",28,60
"PIK3R1","PIK3CB",28,68
"RAP1A","RAF1",29,27
"GRB2","SOS1",30,71
"GRB2","SHC1",30,96
"NFKBIA","GRK5",31,111
"NFKBIA","IKBKB",31,70
"NFKBIA","ADRBK1",31,76
"NFKBIA","NFKBIB",31,22
"NFKBIA","CHUK",31,24
"IKBKG","IKBKB",32,70
"IKBKG","NFKBIB",32,22
"IKBKG","CHUK",32,24
"IKBKG","NFKBIA",32,31
"RELA","NFKBIB",33,22
"RELA","CHUK",33,24
"RELA","NFKBIA",33,31
"HRAS","BRAF",34,145
"HRAS","SOS1",34,71
"HRAS","PIK3CA",34,91
"HRAS","RAF1",34,27
"AKT1","GSK3B",35,99
"MAPK1","SHC1",36,96
"RAC1","PLCB2",37,146
"RAC1","TIAM1",37,147
"RAC1","VAV1",37,90
"RAC1","PAK1",37,93
"CDC42","WAS",38,83
"CDC42","PAK1",38,93
"GNB1","GNG3",39,139
"GNB1","GNG7",39,140
"GNB1","GNG2",39,141
"GNB1","GNG4",39,142
"GNB1","GNG5",39,143
"GNB1","GNGT1",39,17
"GNB1","GNAI2",39,23
"NFKB1","NFKBIB",40,22
"NFKB1","CHUK",40,24
"NFKB1","NFKBIA",40,31
"NFKB1","IKBKG",40,32
"NFKB1","RELA",40,33
"ARRB2","CCR7",41,10
"ARRB2","AKT2",41,62
"ARRB2","AKT1",41,35
"PIK3R6","PIK3CG",42,72
"ACKR4","CCL8",43,114
"ACKR4","CCL13",43,115
"ACKR4","CXCL13",43,134
"ACKR4","CCL7",43,117
"ACKR4","CCL21",43,46
"ACKR4","CCL25",43,137
"ACKR4","CCL19",43,48
"ACKR4","CCL2",43,51
"ACKR1","CXCL1",44,131
"ACKR1","IL8",44,54
"IKBKG","GRK4",32,148
"IKBKG","JAK3",32,63
"IKBKG","GNGT1",32,17
"IKBKG","ITK",32,149
"IKBKG","PRKCB",32,20
"IKBKG","JAK2",32,88
"AKT1","IKBKG",35,32
"ADCY2","ADCY5",45,150
"CCL21","CXCL13",46,134
"ADCY1","ADCY2",47,45
"CCL19","CCL22",48,126
"CCL19","CXCL13",48,134
"CCR10","CCL28",49,151
"CCR10","CCL27",49,152
"CCR10","CXCL13",49,134
"CCR10","CCL7",49,117
"CCR10","CCL21",49,46
"CCR10","CCL25",49,137
"CCR10","CCL19",49,48
"XCR1","XCL2",50,153
"XCR1","XCL1",50,154
"CCL2","CCR10",51,49
"CXCL12","PF4",52,155
"CCL4","CCL3",53,122
"CCR2","CCL8",0,114
"CCR2","CCL13",0,115
"CCR2","CCL16",0,116
"CCR2","CCL7",0,117
"CCR2","CCL11",0,125
"CCR2","CCL2",0,51
"IL8","PF4",54,155
"IL8","CCL4",54,53
"CCR3","CCL3L1",1,156
"CCR3","CCL15",1,118
"CCR3","CCL26",1,119
"CCR3","CCL28",1,151
"CCR3","CCL14",1,136
"CCR3","CCL24",1,120
"CCR3","CXCL11",1,121
"CCR3","CCL8",1,114
"CCR3","CCL3",1,122
"CCR3","CCL13",1,115
"CCR3","CXCL10",1,123
"CCR3","CCL7",1,117
"CCR3","CXCL9",1,124
"CCR3","CCL11",1,125
"CCR3","CCL2",1,51
"CCR3","CCL4",1,53
"CXCR3","CXCL11",2,121
"CXCR3","CCL13",2,115
"CXCR3","CXCL10",2,123
"CXCR3","CXCL13",2,134
"CXCR3","PF4",2,155
"CXCR3","CCL7",2,117
"CXCR3","CXCL9",2,124
"CXCR3","CCL11",2,125
"CCL5","PF4",3,155
"CCL5","IL8",3,54
"CCL5","CCR3",3,1
"CCL5","CXCR3",3,2
"CCR4","CCL22",4,126
"CCR4","CCL17",4,127
"CCR4","CCL3",4,122
"CCR4","CXCL12",4,52
"CCR4","CCL5",4,3
"CCR8","CCL17",5,127
"CCR8","CCL1",5,128
"CCR8","CCL16",5,116
"CCR8","CCL4",5,53
"CXCR6","CXCL16",55,157
"CXCR1","CXCL3",6,132
"CXCR1","CXCL5",6,129
"CXCR1","PPBP",6,130
"CXCR1","CXCL2",6,133
"CXCR1","CXCL6",6,158
"CXCR1","CXCL1",6,131
"CXCR1","IL8",6,54
"CXCR2","CXCL3",7,132
"CXCR2","CXCL5",7,129
"CXCR2","PPBP",7,130
"CXCR2","CXCL2",7,133
"CXCR2","CXCL6",7,158
"CXCR2","CXCL1",7,131
"CXCR2","IL8",7,54
"CXCR2","CXCR1",7,6
"CXCR5","CCL3",8,122
"CXCR5","GNG8",8,159
"CXCR5","CXCL13",8,134
"CXCR5","CCL16",8,116
"CXCR5","CCL4",8,53
"CXCR5","CCL5",8,3
"CCR6","CCL20",9,135
"CCR7","CCL21",10,46
"CCR7","CCL19",10,48
"CCR7","CCR10",10,49
"CCR1","CCL3L1",11,156
"CCR1","CCL15",11,118
"CCR1","CCL26",11,119
"CCR1","CCL14",11,136
