"Entity.1","Entity.2","source","target"
"DSCAM","DCC",0,9
"ROBO1","DCC",1,9
"NCOA2","NCOA1",2,101
"NEFL","RASGRF1",3,102
"HSP90AA1","PAFAH1B1",4,53
"GNB1","GNAQ",5,65
"CDC42","DCC",6,9
"CDC42","ROBO1",6,1
"PAK1","DSCAM",7,0
"SH3GL2","MAPK1",8,24
"DCC","UNC5C",9,103
"LRP6","ATP6AP2",10,104
"NDN","SORT1",11,105
"ABI1","CYFIP2",12,55
"SGK1","SMARCA4",13,21
"SGK1","MTOR",13,70
"HSP90AA1","MTOR",4,70
"HSP90AA1","SGK1",4,13
"MAP1B","DCC",14,9
"MAP1B","PAFAH1B1",14,53
"CDC42","RASGRF1",6,102
"CDC42","MTOR",6,70
"CDC42","PAFAH1B1",6,53
"APC","LRP6",15,10
"APC","DLG1",15,71
"APC","CDC42",15,6
"PAK1","DCC",7,9
"CTNNB1","EXOC4",16,106
"CTNNB1","LRP6",16,10
"CTNNB1","ROBO1",16,1
"CTNNB1","CTTN",16,68
"CTNNB1","NCOA2",16,2
"CTNNB1","DLG1",16,71
"CTNNB1","CDC42",16,6
"SH3GL2","AMPH",8,83
"GRIN2B","GRIN2A",17,25
"DCC","UNC5C",9,103
"PCDH8","CDH8",18,107
"CACNA1B","RASGRF1",19,102
"NSF","GABRA2",20,108
"NDN","SORT1",11,105
"NCOA2","NCOA1",2,101
"SMARCA4","NCOA1",21,101
"ABI1","CYFIP2",12,55
"PRKCG","BRAF",22,109
"BMPR2","TGFB2",23,110
"MAPK1","SDC2",24,111
"GRIN2A","PRKCG",25,22
"HSP90AA1","MTOR",4,70
"HSP90AA1","MAPK1",4,24
"HSP90AA1","SGK1",4,13
"HSP90AA1","PAFAH1B1",4,53
"GNB1","LRP6",5,10
"GNB1","GNAQ",5,65
"MAP1B","PAFAH1B1",14,53
"CDC42","RASGRF1",6,102
"CDC42","PAFAH1B1",6,53
"APC","LRP6",15,10
"PAK1","CDK5R1",7,112
"PAK1","CTTN",7,68
"PAK1","CDC42",7,6
"HNRNPK","HNRNPR",26,49
"X","APC",27,15
"FUS","HNRNPR",28,49
"FUS","HNRNPK",28,26
"CTNNB1","CDH8",16,107
"CTNNB1","NCOA1",16,101
"CTNNB1","PCDH8",16,18
"CTNNB1","LRP6",16,10
"CTNNB1","CTTN",16,68
"CTNNB1","SMARCA4",16,21
"CTNNB1","APC",16,15
"CTNNB1","X",16,27
"CPE","PCSK2",29,113
"SNCA","MAPK1",30,24
"APP","KLC1",31,46
"APP","MAPK1",31,24
"SNAP25","MYO5A",32,54
"SNAP25","STX1B",32,114
"SYT1","STX1B",33,114
"SYT1","SNAP25",33,32
"GRIA2","GRIN2A",34,25
"CAMK2A","GRM5",35,115
"CAMK2A","MAPK1",35,24
"CAMK2A","GRIA2",35,34
"STXBP1","STX1B",36,114
"STXBP1","SNAP25",36,32
