"Entity.1","Entity.2","source","target"
"GABRA2","GABRA4",0,68
"NSF","GABRA4",1,68
"NSF","GABRA2",1,0
"PCDH8","CDH8",2,69
"CTTN","AGRN",3,70
"ABI1","CYFIP2",4,30
"GABRA1","GABRA4",5,68
"GABRA1","GABRA2",5,0
"GABRA1","NSF",5,1
"APC","LRP6",6,71
"GRIN2A","PRKCG",7,38
"GRIA2","GRIN2A",8,7
"FUS","HNRNPK",9,24
"X","APC",10,6
"CTNNB1","CDH8",11,69
"CTNNB1","PCDH8",11,2
"CTNNB1","LRP6",11,71
"CTNNB1","CTTN",11,3
"CTNNB1","APC",11,6
"CTNNB1","X",11,10
"APP","ADAM10",12,48
"SYT1","STX1B",13,72
"CAMK2A","GRM5",14,73
"CAMK2A","GRIA2",14,8
"SNAP25","STX1B",15,72
"SNAP25","SYT1",15,13
"STXBP1","STX1B",16,72
"STXBP1","SYT1",16,13
"STXBP1","SNAP25",16,15
"GRIN2B","PRKCG",17,38
"GRIN2B","GRIN2A",17,7
"GRIN2B","GRIA2",17,8
"SNCB","SNCA",18,21
"CAMK2B","GRM5",19,73
"CAMK2B","MARCKS",19,44
"CAMK2B","GRIA2",19,8
"CAMK2B","CAMK2A",19,14
"DNM1","GABRA4",20,68
"DNM1","GABRA2",20,0
"DNM1","GABRA1",20,5
"DNM1","SH3GL2",20,25
"SNCA","SPTBN1",21,52
"SNCA","MYH10",21,53
"SNCA","ANK2",21,34
"SNCA","ATP6V0D1",21,55
"SNCA","MAP1B",21,58
"SNCA","VDAC2",21,56
"SNCA","CTNNB1",21,11
"CAMK2A","SNCA",14,21
"STXBP1","SNCA",16,21
"OPCML","SNCA",22,21
"SLC1A2","SNCA",23,21
"CAMK2B","SNCA",19,21
"HNRNPK","ABI1",24,4
"APP","GABRA4",12,68
"APP","AAK1",12,74
"APP","OLFM1",12,75
"APP","SPG20",12,76
"APP","VPS35",12,77
"APP","CDK5R1",12,78
"APP","ANKS1B",12,79
"APP","CPLX2",12,80
"APP","DCLK1",12,81
"APP","AKAP1",12,82
"APP","PRKCG",12,38
"APP","VDAC2",12,56
"APP","CTNNB1",12,11
"APP","SNCA",12,21
"SH3GL2","APP",25,12
"SNAP25","APP",15,12
"STXBP1","APP",16,12
"NLGN1","NRXN1",26,31
"AMPH","PACSIN1",27,83
"GRIA2","GRIA3",8,42
"PJA2","CDK5R1",28,78
"CTNNB1","LRP6",11,71
"CTNNB1","APC",11,6
"SH3GL2","PACSIN1",25,83
"HTR2A","ANKS1B",29,79
"DNM1","PACSIN1",20,83
"X","USP14",10,66
"CYFIP2","PACSIN1",30,83
"NRXN1","SYT7",31,84
"NRXN1","NLGN3",31,85
"NRXN3","NLGN3",32,85
"NLGN1","NRXN1",26,31
"NLGN1","NRXN3",26,32
"DLGAP1","TANC1",33,86
"ANK2","SPTBN1",34,52
"KCNA1","KCNA2",35,87
"WDR7","DMXL2",36,88
"CTTN","KCNA2",3,87
"CYFIP1","CYFIP2",37,30
"PRKCG","GABRA4",38,68
"PRKCG","GRM5",38,73
"PRKCG","SDC2",38,89
"DLG1","TANC1",39,86
"DLG1","KCNA2",39,87
"DLG1","LIN7C",39,90
"DLG1","ATP2B2",39,67
"DLG1","DLGAP1",39,33
"DLG1","KCNA1",39,35
"NRCAM","ANK2",40,34
"FXR1","CYFIP2",41,30
"FXR1","CYFIP1",41,37
"ABI1","CYFIP2",4,30
"ABI1","ENAH",4,91
"ABI1","CYFIP1",4,37
"GABRA1","PRKCG",5,38
"GRIA3","NSF",42,1
"RTN4","KCNA2",43,87
"RTN4","KCNA1",43,35
"APC","DLGAP1",6,33
"MARCKS","PRKCG",44,38
"GRIN2A","DLGAP1",7,33
"GRIN2A","DLG1",7,39
"MAGI2","RAPGEF2",45,92
"GLRB","PRKCG",46,38
"AMPH","PACSIN1",27,83
"AMPH","CDK5R1",27,78
"AMPH","DNM3",27,93
"DLG2","NLGN3",47,85
"DLG2","NLGN1",47,26
"DLG2","ATP2B2",47,67
"DLG2","DLGAP1",47,33
"DLG2","DLG1",47,39
"DLG2","GRIN2A",47,7
"GRIA2","SPTBN1",8,52
"GRIA2","NSF",8,1
"GRIA2","GRIA3",8,42
"ADAM10","DLG1",48,39
"PJA2","CDK5R1",28,78
"PPP3CA","USP14",49,66
"PPP3CA","GABRA1",49,5
"PPP3CA","GABRG2",49,63
"CTNNB1","CDK5R1",11,78
"CTNNB1","CDH8",11,69
"CTNNB1","DLGAP1",11,33
"CTNNB1","RAPGEF2",11,92
"CTNNB1","LRP6",11,71
"CTNNB1","PKP4",11,94
"CTNNB1","NCOA2",11,95
"CTNNB1","APC",11,6
"CTNNB1","MAGI2",11,45
"CTNNB1","HNRNPK",11,24
"CTNNB1","FUS",11,9
"CPE","CCK",50,96
"SNCA","SPTBN1",21,52
"SNCA","MAP1B",21,58
"APP","AGRN",12,70
"APP","CLSTN1",12,62
"APP","MAPK8IP2",12,97
"APP","SNCA",12,21
"SH3GL2","PACSIN1",25,83
"SH3GL2","DNM3",25,93
"SH3GL2","AMPH",25,27
"SYT1","NRXN1",13,31
"SYT1","SV2B",13,98
"CAMK2A","TANC1",14,86
"CAMK2A","CDK5R1",14,78
"CAMK2A","DLG1",14,39
"CAMK2A","ATP2A2",14,99
"CAMK2A","MPDZ",14,54
"CAMK2A","GRIN2A",14,7
"SNAP25","KCNB1",15,100
"SNAP25","SCAMP1",15,101
"SNAP25","TRIM9",15,57
"SNAP25","SYT1",15,13
"STXBP1","CDK5R1",16,78
"STXBP1","STX1B",16,72
