"Entity.1","Entity.2","source","target"
"MASP2","C4A",0,71
"MASP1","C4A",1,71
"MASP1","MASP2",1,0
"C1QC","C4A",2,71
"FGB","FGA",3,72
"FGG","FGA",4,72
"FGG","FGB",4,3
"C2","C4A",5,71
"C2","MASP2",5,0
"C2","MASP1",5,1
"C2","C1QC",5,2
"F5","PROS1",6,73
"F5","TFPI",6,74
"C1R","C4A",7,71
"C1R","C1QC",7,2
"C1R","C2",7,5
"MBL2","C4A",8,71
"MBL2","MASP2",8,0
"MBL2","MASP1",8,1
"MBL2","C2",8,5
"F13B","FGA",9,72
"F13B","FGB",9,3
"F13B","FGG",9,4
"C1S","C4A",10,71
"C1S","C1QC",10,2
"C1S","C2",10,5
"C1S","C1R",10,7
"F7","TFPI",11,74
"CFB","CFD",12,75
"C6","C8G",13,76
"C7","C8G",14,76
"C7","C6",14,13
"C4BPB","C4A",15,71
"C8B","C8G",16,76
"C8B","C6",16,13
"C8B","C7",16,14
"SERPINA5","PROS1",17,73
"C1QA","C4A",18,71
"C1QA","C1QC",18,2
"C1QA","C2",18,5
"C1QA","C1R",18,7
"C1QA","C1S",18,10
"C4BPA","C4A",19,71
"A2M","PROS1",20,73
"F8","PROS1",21,73
"F10","TFPI",22,74
"F10","F5",22,6
"F10","F7",22,11
"F10","F8",22,21
"C9","C8G",23,76
"C9","C6",23,13
"C9","C7",23,14
"C9","C8B",23,16
"CFH","CFB",24,12
"C3","C4A",25,71
"C3","C3AR1",25,57
"C3","CD46",25,59
"C3","CFD",25,75
"C3","C2",25,5
"C3","CFB",25,12
"C3","CD55",25,61
"C3","CFH",25,24
"C8A","C8G",26,76
"C8A","C6",26,13
"C8A","C7",26,14
"C8A","C8B",26,16
"C8A","C9",26,23
"SERPING1","C1R",27,7
"SERPING1","F12",27,77
"C5","C4A",28,71
"C5","C5AR1",28,78
"C5","C2",28,5
"C5","C8G",28,76
"C5","CFB",28,12
"C5","C6",28,13
"C5","C7",28,14
"C5","C8B",28,16
"C5","C9",28,23
"C5","C3",28,25
"C5","C8A",28,26
"CFI","C3",29,25
"F2","FGA",30,72
"F2","FGB",30,3
"F2","PROS1",30,73
"F2","FGG",30,4
"F2","F5",30,6
"F2","F13B",30,9
"F2","SERPINA5",30,17
"F2","A2M",30,20
"F2","F8",30,21
"F2","F10",30,22
"PLAU","F2",31,30
"CD59","C8G",32,76
"CD59","C9",32,23
"CD59","C8A",32,26
"SERPINC1","F2",33,30
"F11","F12",34,77
"F11","F2",34,30
"KLKB1","A2M",35,20
"KLKB1","F12",35,77
"KLKB1","SERPING1",35,27
"CPB2","FGA",36,72
"CPB2","FGB",36,3
"CPB2","FGG",36,4
"CPB2","F2",36,30
"F9","F7",37,11
"F9","F8",37,21
"F9","F10",37,22
"F9","F2",37,30
"F9","F11",37,34
"F13A1","FGA",38,72
"F13A1","FGB",38,3
"F13A1","FGG",38,4
"F13A1","F13B",38,9
"F13A1","F2",38,30
"THBD","F2",39,30
"SERPINE1","PLAU",40,31
"C1QB","C4A",41,71
"C1QB","C1QC",41,2
"C1QB","C2",41,5
"C1QB","C1R",41,7
"C1QB","C1S",41,10
"C1QB","C1QA",41,18
"PLG","FGA",42,72
"PLG","FGB",42,3
"PLG","FGG",42,4
"PLG","A2M",42,20
"PLG","C3",42,25
"PLG","SERPINA1",42,79
"PLG","PLAU",42,31
"PLG","SERPINF2",42,63
"PROC","PROS1",43,73
"PROC","F5",43,6
"PROC","SERPINA5",43,17
"PROC","A2M",43,20
"PROC","F8",43,21
"PROC","F2",43,30
"PROC","THBD",43,39
"PROC","SERPINE1",43,40
"KNG1","BDKRB1",44,80
"KNG1","BDKRB2",44,81
"KNG1","F12",44,77
"KNG1","KLKB1",44,35
"F3","PROS1",45,73
"F3","TFPI",45,74
"F3","F5",45,6
"F3","F7",45,11
"F3","F10",45,22
"F3","F9",45,37
"F3","PROC",45,43
"PLAT","F2",46,30
"PLAT","SERPINE1",46,40
"PLAT","PLG",46,42
"F2R","PROS1",47,73
"F2R","F2",47,30
"F2R","CPB2",47,36
"F2R","PLG",47,42
"F2R","PROC",47,43
"VWF","FGA",48,72
"VWF","FGB",48,3
"VWF","FGG",48,4
"VWF","F8",48,21
"VWF","F2",48,30
"PLAUR","PLAU",49,31
"PLAUR","SERPINE1",49,40
"PLAUR","PLG",49,42
"HRG","PLAU",50,31
"HRG","PLG",50,42
"HRG","PLAUR",50,49
"CFP","C6",51,13
"CFP","C7",51,14
"CFP","C5",51,28
"SERPINB2","PLAU",52,31
