"Entity.1","Entity.2","Weight","Network.group","Network","source","target"
"CR1","HLA-DRB5",0.01253039,"Co-localization","Schadt-Shoemaker-2004",0,30
"IL10","HLA-DRB5",0.01563074,"Co-localization","Schadt-Shoemaker-2004",1,30
"CR2","IL10",0.011734713,"Co-localization","Schadt-Shoemaker-2004",2,1
"CLU","CLPTM1",0.008984957,"Co-localization","Schadt-Shoemaker-2004",3,7
"IL10RA","HLA-DRB5",0.012982834,"Co-localization","Schadt-Shoemaker-2004",4,30
"IL10RA","CR1",0.015578486,"Co-localization","Schadt-Shoemaker-2004",4,0
"IL10RA","IL10",0.015130285,"Co-localization","Schadt-Shoemaker-2004",4,1
"HLA-DMB","HLA-DRB5",0.022996383,"Co-localization","Schadt-Shoemaker-2004",5,30
"HLA-DMB","IL10",0.017243471,"Co-localization","Schadt-Shoemaker-2004",5,1
"HLA-DMB","IL10RA",0.014384854,"Co-localization","Schadt-Shoemaker-2004",5,4
"PLD2","SCARA3",0.031133002,"Co-localization","Johnson-Shoemaker-2003",6,35
"CLPTM1","CARTPT",0.014262962,"Co-localization","Johnson-Shoemaker-2003",7,36
"CLU","CLPTM1",0.01178701,"Co-localization","Johnson-Shoemaker-2003",3,7
"HLA-DRA","CR2",0.008013457,"Co-localization","Johnson-Shoemaker-2003",8,2
"SOX18","DAPK2",0.0069295485,"Co-localization","Johnson-Shoemaker-2003",9,37
"SOX18","MS4A2",0.0061573954,"Co-localization","Johnson-Shoemaker-2003",9,38
"SOX18","CAV1",0.004933599,"Co-localization","Johnson-Shoemaker-2003",9,29
"IL10RA","CR1",0.006407834,"Co-localization","Johnson-Shoemaker-2003",4,0
"IL10RA","HLA-DRA",0.0046591307,"Co-localization","Johnson-Shoemaker-2003",4,8
"PTEN","HLA-DRA",0.007837182,"Co-localization","Johnson-Shoemaker-2003",10,8
"HLA-DMB","HLA-DRA",0.009518714,"Co-localization","Johnson-Shoemaker-2003",5,8
"SYNGR2","HLA-DRA",0.007824749,"Co-localization","Johnson-Shoemaker-2003",11,8
