"Entity.1","Entity.2","Weight","Network.group","Network","source","target"
"CALML6","PPP3R2",0.039421655,"Pathway","Wu-Stein-2010",0,144
"CALML6","ADCY8",0.03408771,"Pathway","Wu-Stein-2010",0,145
"CALML6","PDE1C",0.12456635,"Pathway","Wu-Stein-2010",0,146
"ADCY3","CALML6",0.02325032,"Pathway","Wu-Stein-2010",1,0
"PDE1A","CALML6",0.10523168,"Pathway","Wu-Stein-2010",2,0
"RYR3","P2RX2",0.15724476,"Pathway","Wu-Stein-2010",3,147
"RYR3","P2RX6",0.15724476,"Pathway","Wu-Stein-2010",3,148
"RYR3","P2RX1",0.13908422,"Pathway","Wu-Stein-2010",3,131
"RYR3","BST1",0.15724476,"Pathway","Wu-Stein-2010",3,149
"RYR3","P2RX4",0.13908422,"Pathway","Wu-Stein-2010",3,150
"RYR3","P2RX7",0.15724476,"Pathway","Wu-Stein-2010",3,151
"RYR3","P2RX5",0.15724476,"Pathway","Wu-Stein-2010",3,152
"RYR3","CD38",0.15724476,"Pathway","Wu-Stein-2010",3,153
"RYR3","CACNA1I",0.08237967,"Pathway","Wu-Stein-2010",3,154
"CACNA1D","RYR3",0.061060775,"Pathway","Wu-Stein-2010",4,3
"CACNA1S","RYR3",0.08237967,"Pathway","Wu-Stein-2010",5,3
"RYR2","P2RX2",0.15724476,"Pathway","Wu-Stein-2010",6,147
"RYR2","P2RX6",0.15724476,"Pathway","Wu-Stein-2010",6,148
"RYR2","P2RX1",0.13908422,"Pathway","Wu-Stein-2010",6,131
"RYR2","BST1",0.15724476,"Pathway","Wu-Stein-2010",6,149
"RYR2","P2RX4",0.13908422,"Pathway","Wu-Stein-2010",6,150
"RYR2","P2RX7",0.15724476,"Pathway","Wu-Stein-2010",6,151
"RYR2","P2RX5",0.15724476,"Pathway","Wu-Stein-2010",6,152
"RYR2","CD38",0.15724476,"Pathway","Wu-Stein-2010",6,153
"RYR2","CACNA1I",0.08237967,"Pathway","Wu-Stein-2010",6,154
"RYR2","CACNA1D",0.061060775,"Pathway","Wu-Stein-2010",6,4
"RYR2","CACNA1S",0.08237967,"Pathway","Wu-Stein-2010",6,5
"PHKA1","CALML6",0.028747214,"Pathway","Wu-Stein-2010",7,0
"ITPR2","CALML6",0.030888783,"Pathway","Wu-Stein-2010",8,0
"ITPR2","PLCD3",0.03500334,"Pathway","Wu-Stein-2010",8,155
"PLCZ1","ITPR2",0.03500334,"Pathway","Wu-Stein-2010",9,8
"GNA14","CYSLTR2",0.10352002,"Pathway","Wu-Stein-2010",10,156
"GNA14","CYSLTR1",0.10352002,"Pathway","Wu-Stein-2010",10,139
"GNA14","PTGER3",0.10352002,"Pathway","Wu-Stein-2010",10,157
"GNA14","LTB4R2",0.02678076,"Pathway","Wu-Stein-2010",10,158
"GNA14","CCKBR",0.04453954,"Pathway","Wu-Stein-2010",10,159
"CACNA1G","RYR3",0.06770815,"Pathway","Wu-Stein-2010",11,3
"CACNA1G","RYR2",0.06770815,"Pathway","Wu-Stein-2010",11,6
"ATP2A3","PLN",0.39853904,"Pathway","Wu-Stein-2010",12,160
"CALML5","PPP3R2",0.039421655,"Pathway","Wu-Stein-2010",13,144
"CALML5","ADCY8",0.03408771,"Pathway","Wu-Stein-2010",13,145
"CALML5","PDE1C",0.12456635,"Pathway","Wu-Stein-2010",13,146
"CALML5","ADCY3",0.02325032,"Pathway","Wu-Stein-2010",13,1
"CALML5","PDE1A",0.10523168,"Pathway","Wu-Stein-2010",13,2
"CALML5","PHKA1",0.028747214,"Pathway","Wu-Stein-2010",13,7
"CALML5","ITPR2",0.030888783,"Pathway","Wu-Stein-2010",13,8
"PTGFR","GNA14",0.083758496,"Pathway","Wu-Stein-2010",14,10
"TACR1","GNA14",0.045470223,"Pathway","Wu-Stein-2010",15,10
"OXTR","GNA14",0.059980422,"Pathway","Wu-Stein-2010",16,10
"AVPR1B","GNA14",0.024432322,"Pathway","Wu-Stein-2010",17,10
"ADRA1A","GNA14",0.014903858,"Pathway","Wu-Stein-2010",18,10
"CHRM5","GNA14",0.010791764,"Pathway","Wu-Stein-2010",19,10
"CHRM1","GNA14",0.0069707553,"Pathway","Wu-Stein-2010",20,10
"PHKB","CALML6",0.025984129,"Pathway","Wu-Stein-2010",21,0
"PHKB","PHKA1",0.06765615,"Pathway","Wu-Stein-2010",21,7
"PHKB","CALML5",0.025984129,"Pathway","Wu-Stein-2010",21,13
"CACNA1H","RYR3",0.08237967,"Pathway","Wu-Stein-2010",22,3
"CACNA1H","RYR2",0.08237967,"Pathway","Wu-Stein-2010",22,6
"CACNA1C","CALML6",0.03319364,"Pathway","Wu-Stein-2010",23,0
"CACNA1C","RYR3",0.052895516,"Pathway","Wu-Stein-2010",23,3
"CACNA1C","RYR2",0.052895516,"Pathway","Wu-Stein-2010",23,6
"CACNA1C","CALML5",0.03319364,"Pathway","Wu-Stein-2010",23,13
"MYLK3","CALML6",0.028403424,"Pathway","Wu-Stein-2010",24,0
"MYLK3","CALML5",0.028403424,"Pathway","Wu-Stein-2010",24,13
"PLCD4","ITPR2",0.03500334,"Pathway","Wu-Stein-2010",25,8
"CACNA1A","RYR3",0.033720296,"Pathway","Wu-Stein-2010",26,3
"CACNA1A","RYR2",0.033720296,"Pathway","Wu-Stein-2010",26,6
"ITPR3","CALML6",0.026045779,"Pathway","Wu-Stein-2010",27,0
"ITPR3","PLCD3",0.029515225,"Pathway","Wu-Stein-2010",27,155
"ITPR3","ITPR2",0.07286877,"Pathway","Wu-Stein-2010",27,8
"ITPR3","PLCZ1",0.029515225,"Pathway","Wu-Stein-2010",27,9
"ITPR3","CALML5",0.026045779,"Pathway","Wu-Stein-2010",27,13
"ITPR3","PLCD4",0.029515225,"Pathway","Wu-Stein-2010",27,25
"RYR1","P2RX2",0.15724476,"Pathway","Wu-Stein-2010",28,147
