"Entity.1","Entity.2","Weight","Network.group","Network","source","target"
"LTBR","NFAM1",0.0059921513,"Co-expression","Bahr-Bowler-2013",0,33
"S100A4","LTBR",0.0070728175,"Co-expression","Bahr-Bowler-2013",1,0
"FGR","LTBR",0.004897671,"Co-expression","Bahr-Bowler-2013",2,0
"FGR","S100A4",0.011959095,"Co-expression","Bahr-Bowler-2013",2,1
"CLIC1","S100A4",0.015343118,"Co-expression","Bahr-Bowler-2013",3,1
"CORO7","GPSM3",0.016312772,"Co-expression","Bahr-Bowler-2013",4,26
"LSP1","GPSM3",0.02580257,"Co-expression","Bahr-Bowler-2013",5,26
"DNM2","GPSM3",0.0068642637,"Co-expression","Bahr-Bowler-2013",6,26
"DNM2","CORO7",0.0047533587,"Co-expression","Bahr-Bowler-2013",6,4
"DNM2","LSP1",0.008169176,"Co-expression","Bahr-Bowler-2013",6,5
"FXYD5","UBA52",0.01578437,"Co-expression","Bahr-Bowler-2013",7,34
"FXYD5","GPSM3",0.014186417,"Co-expression","Bahr-Bowler-2013",7,26
"FXYD5","DNM2",0.004903411,"Co-expression","Bahr-Bowler-2013",7,6
"EMP3","S100A4",0.018988615,"Co-expression","Bahr-Bowler-2013",8,1
"FCER1G","LTBR",0.005579266,"Co-expression","Bahr-Bowler-2013",9,0
"FCER1G","S100A4",0.014098477,"Co-expression","Bahr-Bowler-2013",9,1
"FCER1G","FGR",0.009548066,"Co-expression","Bahr-Bowler-2013",9,2
"ALOX5","SLC15A3",0.008449152,"Co-expression","Bahr-Bowler-2013",10,23
"TNFRSF1B","SLC15A3",0.0050702775,"Co-expression","Bahr-Bowler-2013",11,23
"TNFRSF1B","FCER1G",0.00886722,"Co-expression","Bahr-Bowler-2013",11,9
"PRKD3","SKAP2",0.013008219,"Co-expression","Ramaswamy-Golub-2001",12,19
"FGR","S100A4",0.016205609,"Co-expression","Ramaswamy-Golub-2001",2,1
"CLIC1","S100A4",0.006120049,"Co-expression","Ramaswamy-Golub-2001",3,1
"SLC15A4","SKAP2",0.01207495,"Co-expression","Ramaswamy-Golub-2001",13,19
"FXYD5","S100A4",0.015712863,"Co-expression","Ramaswamy-Golub-2001",7,1
"SPI1","FXYD5",0.013429887,"Co-expression","Ramaswamy-Golub-2001",14,7
"EMP3","S100A4",0.011136567,"Co-expression","Ramaswamy-Golub-2001",8,1
"EMP3","FGR",0.012138531,"Co-expression","Ramaswamy-Golub-2001",8,2
"EMP3","CLIC1",0.0046341172,"Co-expression","Ramaswamy-Golub-2001",8,3
"FCER1G","S100A4",0.011235396,"Co-expression","Ramaswamy-Golub-2001",9,1
"FCER1G","PRKCD",0.011245846,"Co-expression","Ramaswamy-Golub-2001",9,25
"FCER1G","NFKBIA",0.0067435526,"Co-expression","Ramaswamy-Golub-2001",9,17
