"Entity.1","Entity.2","Weight","Network.group","Network","source","target"
"APOC1","APOC4",0.01591804,"Co-localization","Schadt-Shoemaker-2004",42,66
"APOC2","APOC4",0.011980125,"Co-localization","Schadt-Shoemaker-2004",19,66
"APOC2","APOC1",0.01053097,"Co-localization","Schadt-Shoemaker-2004",19,42
"APOE","APOC4",0.012294967,"Co-localization","Schadt-Shoemaker-2004",1,66
"APOE","APOC1",0.013432075,"Co-localization","Schadt-Shoemaker-2004",1,42
"APOE","APOC2",0.008267086,"Co-localization","Schadt-Shoemaker-2004",1,19
"HLA-DQA1","CR1",0.010506966,"Co-localization","Schadt-Shoemaker-2004",39,51
"CLPTM1","CLU",0.009044575,"Co-localization","Schadt-Shoemaker-2004",25,17
"APOA1","APOC4",0.010712204,"Co-localization","Schadt-Shoemaker-2004",31,66
"APOA1","APOC1",0.008620644,"Co-localization","Schadt-Shoemaker-2004",31,42
"APOA1","APOC2",0.008862144,"Co-localization","Schadt-Shoemaker-2004",31,19
"APOA4","APOC2",0.009353647,"Co-localization","Schadt-Shoemaker-2004",21,19
"APOA4","APOA1",0.013449277,"Co-localization","Schadt-Shoemaker-2004",21,31
"C1QB","HLA-DQA1",0.013255877,"Co-localization","Schadt-Shoemaker-2004",11,39
"HLA-DMB","HLA-DQA1",0.018381573,"Co-localization","Schadt-Shoemaker-2004",14,39
"HLA-DMB","C1QB",0.01584065,"Co-localization","Schadt-Shoemaker-2004",14,11
"APOC3","APOC4",0.013746837,"Co-localization","Schadt-Shoemaker-2004",23,66
"APOC3","APOC1",0.010359601,"Co-localization","Schadt-Shoemaker-2004",23,42
"APOC3","APOC2",0.010139202,"Co-localization","Schadt-Shoemaker-2004",23,19
"APOC3","APOE",0.00802198,"Co-localization","Schadt-Shoemaker-2004",23,1
"APOC3","APOA1",0.010035997,"Co-localization","Schadt-Shoemaker-2004",23,31
"APOC3","APOA4",0.0118000135,"Co-localization","Schadt-Shoemaker-2004",23,21
"APOE","APOC2",0.111800574,"Pathway","PATHWAYCOMMONS-REACTOME",1,19
"APOA1","ABCA7",0.32642645,"Pathway","PATHWAYCOMMONS-REACTOME",31,59
"APOA1","APOC2",0.06620439,"Pathway","PATHWAYCOMMONS-REACTOME",31,19
"APOA1","APOE",0.041281085,"Pathway","PATHWAYCOMMONS-REACTOME",31,1
"APOA5","APOC2",0.17929976,"Pathway","PATHWAYCOMMONS-REACTOME",33,19
"APOA5","APOE",0.111800574,"Pathway","PATHWAYCOMMONS-REACTOME",33,1
"APOA5","APOA1",0.06620439,"Pathway","PATHWAYCOMMONS-REACTOME",33,31
"APOA4","APOC2",0.1223047,"Pathway","PATHWAYCOMMONS-REACTOME",21,19
"APOA4","APOE",0.07626187,"Pathway","PATHWAYCOMMONS-REACTOME",21,1
"APOA4","APOA1",0.04515961,"Pathway","PATHWAYCOMMONS-REACTOME",21,31
"APOA4","APOA5",0.1223047,"Pathway","PATHWAYCOMMONS-REACTOME",21,33
"APOC3","APOC2",0.16668959,"Pathway","PATHWAYCOMMONS-REACTOME",23,19
"APOC3","APOE",0.10393763,"Pathway","PATHWAYCOMMONS-REACTOME",23,1
"APOC3","APOA1",0.06154823,"Pathway","PATHWAYCOMMONS-REACTOME",23,31
"APOC3","APOA5",0.16668959,"Pathway","PATHWAYCOMMONS-REACTOME",23,33
"APOC3","APOA4",0.113703,"Pathway","PATHWAYCOMMONS-REACTOME",23,21
"APOE","APOC2",0.083300665,"Pathway","Wu-Stein-2010",1,19
"BIN1","PICALM",0.14146353,"Pathway","Wu-Stein-2010",2,48
"HLA-DRB1","HLA-DQA1",0.03268823,"Pathway","Wu-Stein-2010",6,39
"APOA1","ABCA7",0.3158669,"Pathway","Wu-Stein-2010",31,59
"APOA1","APOC2",0.04912864,"Pathway","Wu-Stein-2010",31,19
"APOA1","APOE",0.030383728,"Pathway","Wu-Stein-2010",31,1
"APOA5","APOC2",0.1175852,"Pathway","Wu-Stein-2010",33,19
"APOA5","APOE",0.072720855,"Pathway","Wu-Stein-2010",33,1
"APOA5","APOA1",0.04288894,"Pathway","Wu-Stein-2010",33,31
"HLA-DPB1","HLA-DQA1",0.056891963,"Pathway","Wu-Stein-2010",10,39
"HLA-DPB1","HLA-DRB1",0.03268823,"Pathway","Wu-Stein-2010",10,6
"APOA4","APOC2",0.102860555,"Pathway","Wu-Stein-2010",21,19
"APOA4","APOE",0.06361436,"Pathway","Wu-Stein-2010",21,1
"APOA4","APOA1",0.037518155,"Pathway","Wu-Stein-2010",21,31
"APOA4","APOA5",0.0897965,"Pathway","Wu-Stein-2010",21,33
"CD96","PVR",0.63209265,"Pathway","Wu-Stein-2010",27,37
"CD226","PVR",0.3252161,"Pathway","Wu-Stein-2010",40,37
"CD226","PVRL2",0.31534117,"Pathway","Wu-Stein-2010",40,49
"CRTAM","PVRL2",0.63121533,"Pathway","Wu-Stein-2010",22,49
"HLA-DRA","HLA-DQA1",0.031443037,"Pathway","Wu-Stein-2010",12,39
"HLA-DRA","HLA-DRB1",0.018066125,"Pathway","Wu-Stein-2010",12,6
"HLA-DRA","HLA-DPB1",0.031443037,"Pathway","Wu-Stein-2010",12,10
"HLA-DMA","HLA-DQA1",0.056891963,"Pathway","Wu-Stein-2010",13,39
"HLA-DMA","HLA-DRB1",0.03268823,"Pathway","Wu-Stein-2010",13,6
"HLA-DMA","HLA-DPB1",0.056891963,"Pathway","Wu-Stein-2010",13,10
"HLA-DMA","HLA-DRA",0.031443037,"Pathway","Wu-Stein-2010",13,12
"HLA-DMB","HLA-DQA1",0.056891963,"Pathway","Wu-Stein-2010",14,39
"HLA-DMB","HLA-DRB1",0.03268823,"Pathway","Wu-Stein-2010",14,6
"HLA-DMB","HLA-DPB1",0.056891963,"Pathway","Wu-Stein-2010",14,10
"HLA-DMB","HLA-DRA",0.031443037,"Pathway","Wu-Stein-2010",14,12
"HLA-DMB","HLA-DMA",0.056891963,"Pathway","Wu-Stein-2010",14,13
"APOC3","APOC2",0.099473484,"Pathway","Wu-Stein-2010",23,19
"APOC3","APOE",0.061519615,"Pathway","Wu-Stein-2010",23,1
"APOC3","APOA1",0.036282726,"Pathway","Wu-Stein-2010",23,31
"APOC3","APOA5",0.086839594,"Pathway","Wu-Stein-2010",23,33
"APOC3","APOA4",0.07596508,"Pathway","Wu-Stein-2010",23,21
"CD2AP","CBLC",0.054163687,"Physical interactions","BIOGRID-SMALL-SCALE-STUDIES",5,64
"PTK2B","CD2AP",0.016125325,"Physical interactions","BIOGRID-SMALL-SCALE-STUDIES",44,5
"RELB","BCL3",0.029759467,"Physical interactions","BIOGRID-SMALL-SCALE-STUDIES",8,3
"APOA1","APOC1",0.20213515,"Physical interactions","BIOGRID-SMALL-SCALE-STUDIES",31,42
"CD226","PVR",0.25004995,"Physical interactions","BIOGRID-SMALL-SCALE-STUDIES",40,37
"CD226","PVRL2",0.2726927,"Physical interactions","BIOGRID-SMALL-SCALE-STUDIES",40,49
"HLA-DMA","HLA-DRB1",0.34004068,"Physical interactions","BIOGRID-SMALL-SCALE-STUDIES",13,6
"HLA-DMB","HLA-DRA",0.25662813,"Physical interactions","BIOGRID-SMALL-SCALE-STUDIES",14,12
"MS4A6E","MS4A4E",0.045454547,"Shared protein domains","PFAM",50,67
"CEACAM19","CEACAM16",0.014668504,"Shared protein domains","PFAM",36,68
"MS4A4A","MS4A4E",0.045454547,"Shared protein domains","PFAM",29,67
"MS4A4A","MS4A6E",0.045454547,"Shared protein domains","PFAM",29,50
"CR1","CR1L",0.024301304,"Shared protein domains","PFAM",51,62
"MS4A6A","MS4A4E",0.045454547,"Shared protein domains","PFAM",16,67
"MS4A6A","MS4A6E",0.045454547,"Shared protein domains","PFAM",16,50
