"Entity.1","Entity.2","Weight","Network.group","Network","source","target"
"HBEGF","PICALM",0.014346324,"Co-expression","Ramaswamy-Golub-2001",1,49
"APOE","APOC1",0.035035618,"Co-expression","Ramaswamy-Golub-2001",2,43
"BIN1","DMWD",0.02015458,"Co-expression","Ramaswamy-Golub-2001",3,42
"BCL3","PICALM",0.006757684,"Co-expression","Ramaswamy-Golub-2001",4,49
"CD33","APOC2",0.019047093,"Co-expression","Ramaswamy-Golub-2001",5,20
"CD2AP","DSG2",0.016171984,"Co-expression","Ramaswamy-Golub-2001",6,48
"HLA-DRB1","HLA-DQA1",0.016333297,"Co-expression","Ramaswamy-Golub-2001",7,40
"HMHA1","PTK2B",0.0071105063,"Co-expression","Ramaswamy-Golub-2001",8,45
"RELB","BCL3",0.005964663,"Co-expression","Ramaswamy-Golub-2001",9,4
"CLUL1","PTK2B",0.012553023,"Co-expression","Ramaswamy-Golub-2001",10,45
"HLA-DPB1","HLA-DQA1",0.020436402,"Co-expression","Ramaswamy-Golub-2001",11,40
"HLA-DPB1","HLA-DRB1",0.025741268,"Co-expression","Ramaswamy-Golub-2001",11,7
"C1QB","APOC1",0.034578603,"Co-expression","Ramaswamy-Golub-2001",12,43
"C1QB","APOE",0.026910435,"Co-expression","Ramaswamy-Golub-2001",12,2
"C1QB","HLA-DQA1",0.018356074,"Co-expression","Ramaswamy-Golub-2001",12,40
"HLA-DRA","APOC1",0.013175962,"Co-expression","Ramaswamy-Golub-2001",13,43
"HLA-DRA","HLA-DQA1",0.015027913,"Co-expression","Ramaswamy-Golub-2001",13,40
"HLA-DRA","PTK2B",0.01018562,"Co-expression","Ramaswamy-Golub-2001",13,45
"HLA-DRA","HLA-DRB1",0.023500515,"Co-expression","Ramaswamy-Golub-2001",13,7
"HLA-DRA","HLA-DPB1",0.023399968,"Co-expression","Ramaswamy-Golub-2001",13,11
"HLA-DMA","HLA-DQA1",0.016111286,"Co-expression","Ramaswamy-Golub-2001",14,40
"HLA-DMA","HLA-DRB1",0.023456527,"Co-expression","Ramaswamy-Golub-2001",14,7
"HLA-DMA","HLA-DPB1",0.024474679,"Co-expression","Ramaswamy-Golub-2001",14,11
"HLA-DMA","HLA-DRA",0.02197408,"Co-expression","Ramaswamy-Golub-2001",14,13
"HLA-DMB","HLA-DQA1",0.015524467,"Co-expression","Ramaswamy-Golub-2001",15,40
"HLA-DMB","HLA-DRB1",0.020489072,"Co-expression","Ramaswamy-Golub-2001",15,7
"HLA-DMB","HLA-DPB1",0.023342459,"Co-expression","Ramaswamy-Golub-2001",15,11
"HLA-DMB","HLA-DRA",0.019248622,"Co-expression","Ramaswamy-Golub-2001",15,13
"HLA-DMB","HLA-DMA",0.021420427,"Co-expression","Ramaswamy-Golub-2001",15,14
"HLA-DQB1","HLA-DRB1",0.026724983,"Co-expression","Ramaswamy-Golub-2001",16,7
"HLA-DQB1","HLA-DPB1",0.03091837,"Co-expression","Ramaswamy-Golub-2001",16,11
"HLA-DQB1","HLA-DRA",0.023316875,"Co-expression","Ramaswamy-Golub-2001",16,13
"HLA-DQB1","HLA-DMA",0.023352943,"Co-expression","Ramaswamy-Golub-2001",16,14
"HLA-DQB1","HLA-DMB",0.021649847,"Co-expression","Ramaswamy-Golub-2001",16,15
"MS4A6A","MS4A4A",0.018880242,"Co-expression","Salaverria-Siebert-2011",17,30
"CLU","SCARA3",0.017853566,"Co-expression","Salaverria-Siebert-2011",18,56
"FBXO46","MARK4",0.01656073,"Co-expression","Salaverria-Siebert-2011",19,46
"FBXO46","YLPM1",0.023586778,"Co-expression","Salaverria-Siebert-2011",19,57
"APOC2","APOC1",0.019232757,"Co-expression","Salaverria-Siebert-2011",20,43
"APOE","APOC1",0.023471447,"Co-expression","Salaverria-Siebert-2011",2,43
