ProbeID,GeneSymbol,EntrezID,logFC,AveExpr,t,PValue,adjPVal,B,ProbeID1,logFC1,AveExpr1,t1,PValue1,adjPVal1
218251_at,MID1IP1,58526,0.905484501,7.914372716,4.636302868,2.04e-05,0.293473831,2.183178023,218251_at,0.572131427,7.914372716,2.448630185,0.017424676,0.999925658
230846_at,AKAP5,9495,-0.772500811,4.69978462,-4.546551758,2.79e-05,0.293473831,1.934030042,230846_at,-0.284208945,4.69978462,-1.339868477,0.185580625,0.999925658
233084_s_at,SYCE1,93426,-0.312003462,2.610100238,-4.496372589,3.33e-05,0.293473831,1.795533814,233084_s_at,-0.00823318,2.610100238,-0.092885412,0.926318783,0.999925658
219825_at,CYP26B1,56603,-0.842557827,3.230860064,-4.447327903,3.95e-05,0.293473831,1.660748215,219825_at,-0.348577807,3.230860064,-1.474777106,0.145749153,0.999925658
213307_at,SHANK2,22941,-0.76540866,3.866021338,-4.416277774,4.4e-05,0.293473831,1.575720493,213307_at,-0.175680077,3.866021338,-0.809585609,0.421529512,0.999925658
214130_s_at,PDE4DIP,9659,0.512361636,2.530140611,4.403363272,4.6e-05,0.293473831,1.540426439,214130_s_at,0.28840461,2.530140611,2.032727877,0.046725559,0.999925658
229510_at,MS4A14,84689,0.277236264,2.759932725,4.36369838,5.27e-05,0.293473831,1.432291953,229510_at,0.121116579,2.759932725,1.543135215,0.128306246,0.999925658
205157_s_at,KRT17,3872,-0.272283448,3.366258347,-4.340652898,5.71e-05,0.293473831,1.369652468,205157_s_at,-0.127490598,3.366258347,-1.641548193,0.106164756,0.999925658
219855_at,NUDT11,55190,-0.822364449,5.045008044,-4.308571765,6.37e-05,0.293473831,1.282687005,219855_at,-0.200018187,5.045008044,-0.837562718,0.405758261,0.999925658
212120_at,RHOQ,23433,0.49591666,7.618833891,4.275457557,7.14e-05,0.293473831,1.193211615,212120_at,0.421902525,7.618833891,3.157234203,0.002540886,0.999925658
206115_at,EGR3,1960,-1.110642256,4.689819009,-4.18573607,9.68e-05,0.293473831,0.952312982,206115_at,-0.148323799,4.689819009,-0.44154254,0.660483007,0.999925658
