GeneSymbol,logFC,color,Pval
A2ML1,0.764603233362819,Not Significant,3.93144310492764
AARS2,-0.348733767958973,Not Significant,2.86838133565087
ABCA17P,-0.226852946964891,Not Significant,2.81644546638114
ABCB8,-0.295694895250933,Not Significant,3.09739886933347
ABCC11,-0.340097303902479,Not Significant,3.81079051041769
ABCC12,-0.567193107382321,Not Significant,3.81079051041769
ABCF3,-0.200461222083845,Not Significant,2.65091683122041
ABCG8,-0.390228587239308,Not Significant,4.09242742120145
ABHD11,-0.218730295305866,Not Significant,2.84314809892999
ABHD14A-ACY1,-0.37122462006476,Not Significant,2.80465394165158
ABHD15,0.229880876564134,Not Significant,2.96697855531709
ABI2,-0.200577547135735,Not Significant,3.02218497391681
ABL1,0.108755291729596,Not Significant,2.82246350007014
ABRACL,-0.310539503717052,Not Significant,3.48545224733971
ACAD9,-0.304879861774909,Not Significant,5.55783391421528
ACADSB,-0.284329982263477,Not Significant,3.0841782123796
ACAN,0.295674102284711,Not Significant,3.48267211770563
ACBD4,-0.198704491471649,Not Significant,4.46079840070587
ACHE,-0.361174280755408,Not Significant,5.53061986415007
ACKR4,0.297317937145055,Not Significant,2.84466396253494
ACO2,-0.234113011627617,Not Significant,4.37171326891049
ACOT4,-0.382442206606816,Not Significant,3.03399914237122
ACOT7,-0.49458398814634,Not Significant,2.76447155309245
ACOT8,-0.270122332399657,Not Significant,4.24328783983523
ACOX1,-0.206298373993109,Not Significant,4.00696076819309
ACP1,-0.277218933971992,Not Significant,3.75178143880993
ACP2,-0.307388314304204,Not Significant,5.84163750790475
ACP7,0.339850382749577,Not Significant,4.02738066094038
ACSL1,0.237634792261332,Not Significant,3.17463880404737
ACSL6,-0.243285097532876,Not Significant,2.61654370347525
ACTA1,-0.300403599113854,Not Significant,4.46813805090419
ACTB,-0.209821269844985,Not Significant,3.99567862621736
ACTG1,-0.336041308300903,Not Significant,4.86838133565087
ACTG1P17,-0.37991171203212,Not Significant,5.5499049241284
ACTL6B,-0.38806816180502,Not Significant,5.53061986415007
ACTN2,-0.39601057267132,Not Significant,3.80799040734633
ACTR10,-0.260627713411028,Not Significant,3.91793306571489
ACTR3B,-0.428396630969186,Not Significant,3.30320691491826
ACTR3C,-0.369423727464862,Not Significant,2.34198860334289
ADA,0.26815465608396,Not Significant,4.24328783983523
ADAM11,-0.355055513748792,Not Significant,4.46079840070587
ADAM20,-0.227782298918641,Not Significant,3.33818731446274
ADAM23,-0.378782574334231,Not Significant,3.12673754056127
ADAM33,0.403107461730186,Not Significant,3.87811201489632
ADAM8,-0.268408062906357,Not Significant,4.2548471049231
ADAMTS3,-0.416703542125978,Not Significant,4.92848619490491
ADAMTS8,-0.29443361470102,Not Significant,3.8847224086041
ADAMTSL1,-0.440221722142246,Not Significant,2.77936898055191
ADAT2,-0.294481724940428,Not Significant,3.44964932769838
ADCY1,-0.364639587599775,Not Significant,2.49485002168009
ADCYAP1,-0.932857885622324,Not Significant,4.59465363982429
ADD2,-0.282222460671008,Not Significant,4.31238187042823
ADGRA1,-0.363625714843955,Not Significant,4.2548471049231
ADGRB2,-0.274346557118569,Not Significant,3.32275815405335
ADGRF3,-0.410416186208009,Not Significant,3.38478666519864
ADGRG1,0.226968892751493,Not Significant,4.04129280891271
ADGRL4,0.32234275440003,Not Significant,3.25204469309327
ADIPOR2,0.343007681190166,Not Significant,3.22170400891117
ADORA2A,0.432302289880131,Not Significant,4.40771218404787
ADPGK-AS1,-0.372491416180951,Not Significant,2.46954415641532
ADPRH,0.301965804775258,Not Significant,2.7667499904589
ADRA1B,-0.507230838106305,Not Significant,4.14002155835798
ADRA1D,-0.771951705908534,Not Significant,3.87811201489632
ADSL,-0.183912574583564,Not Significant,2.96738123914928
ADTRP,-0.628575793223227,Not Significant,3.23433144524099
AEN,0.214070878404697,Not Significant,3.48267211770563
AGAP2,-0.365423915564542,Not Significant,3.38541913300251
AGAP2-AS1,0.319270877083469,Not Significant,3.38541913300251
AGAP5,-0.211417621118588,Not Significant,2.99869906697958
AGAP6,-0.212179585563163,Not Significant,2.95860731484178
AGBL4,-0.523242176756245,Not Significant,3.34843126113421
AGBL5,-0.165467063175995,Not Significant,2.54898154784454
AGGF1P3,-0.50355053308459,Not Significant,2.73992861201493
AGK,-0.35436651236757,Not Significant,2.54015535761179
AGPAT1,-0.226967279674601,GWAS pval < 1.0E-6,8.05863766428824
AGTR1,0.308950283899644,Not Significant,3.57823159879308
AHNAK,0.330801875827705,Not Significant,3.15015080439474
AHNAK2,-0.290158417795454,Not Significant,3.42573717029297
AHRR,-0.500116084654054,Not Significant,3.60941812144956
AIF1L,0.324123040424384,Not Significant,2.82246350007014
AIFM3,0.194055633344925,Not Significant,4.05467915920773
AIG1,-0.182336902130585,Not Significant,3.44964932769838
AIMP2,-0.25053226080576,Not Significant,3.99567862621736
AK3P3,-0.495843955841049,Not Significant,3.01560772147573
AK4,0.265624321573339,Not Significant,2.46445272082333
AKAP5,-0.669095549565929,Not Significant,3.38038499425719
AKIRIN2,-0.30846282869004,Not Significant,3.62800908853509
AKR7A2,-0.166109893595443,Not Significant,3.21745571598999
ALDH1A1,-0.342966581870947,Not Significant,3.43628166003432
ALDH1B1,-0.240231579110753,Not Significant,3.22819212100089
ALDH1L2,-0.347142374387825,Not Significant,4.06078036414518
ALDH5A1,-0.234322768007901,Not Significant,3.36875921976449
ALDOA,-0.342996872271256,Not Significant,3.63432485954408
ALG14,-0.218876846204004,Not Significant,2.84284556009372
ALG1L9P,-0.444814403593353,Not Significant,3.49241396023699
ALG9,-0.191714900257585,Not Significant,3.93892467637021
ALKBH4,-0.220822995300485,Not Significant,3.29174911140862
ALKBH6,-0.307853668640413,Not Significant,3.31354248953089
ALKBH7,-0.401070933435238,Not Significant,2.77650405903761
ALOX12B,-0.734869680744684,Not Significant,2.88405682306094
ALOX12P2,-0.211614297112817,Not Significant,2.78093966755114
ALOX15B,0.395860553503739,Not Significant,2.88405682306094
ALS2CL,-0.326675491707471,Not Significant,2.84405698202816
ALYREF,-0.318009282476513,Not Significant,1.90031935889075
AMER3,-0.280964049218258,Not Significant,2.76522970483908
AMH,-0.452328316665493,Not Significant,3.14800825203784
AMMECR1LP1,-0.552706369828943,Not Significant,2.85761053388116
AMPH,-0.39695280802186,Not Significant,5.34132097141755
AMY2A,-0.608791171527894,Not Significant,3.11890078161098
ANAPC15,-0.148604372639651,Not Significant,3.49241396023699
ANAPC16,0.16073673006424,Not Significant,3.59636481020945
ANGPT1,0.431265691236782,Not Significant,3.59499533494963
ANGPT2,0.693724538635284,Not Significant,3.51004152057517
ANKEF1,-0.356583910134671,Not Significant,2.75473416054254
ANKMY1,-0.24996252274289,Not Significant,3.16424603248062
ANKMY2,-0.283403088222086,Not Significant,2.91470942176994
ANKRD16,-0.28857136149833,eQTL pval < 1.0E-6,3.34447740374658
ANKRD18DP,-0.544923176636482,Not Significant,2.02937422331171
ANKRD19P,-0.57806324314714,Not Significant,3.29998893767789
ANKRD20A19P,-0.432425387344503,Not Significant,4.09001630506016
ANKRD24,-0.417875215112685,Not Significant,3.84043280676638
ANKRD29,-0.255326668311982,Not Significant,3.39891827221598
ANKRD30A,0.234627690454194,Not Significant,2.90135627418294
ANKRD30B,-0.484859804957762,Not Significant,3.19736308191719
ANKRD33B,-0.606665717823729,Not Significant,4.24078556876576
ANKRD34C-AS1,-0.722942885848041,Not Significant,3.42515880493662
ANKRD36BP2,-0.277019900841708,Not Significant,2.35625131454047
ANKRD39,-0.337849700748617,Not Significant,3.02127182286151
ANKRD40,0.32116784154572,Not Significant,2.8353497840657
ANKRD42,-0.297140706840641,Not Significant,3.91470942176994
ANKRD53,0.360551255998729,Not Significant,4.31238187042823
ANKRD55,-0.365820305040244,Not Significant,2.83003182600311
ANKRD6,-0.263963777607673,Not Significant,3.11758931562603
ANKS1B,-0.237899797721002,Not Significant,3.85480359388582
ANLN,0.67035939346871,Not Significant,3.22614044762331
ANO1,-0.288349669051694,Not Significant,4.43368037847519
ANO3,-0.414252283092922,Not Significant,2.09140776115243
ANPEP,0.360526325787853,Not Significant,3.96257350205938
AP1B1,-0.160817187987886,Not Significant,3.36673358884458
AP1M1,-0.291192366911981,Not Significant,3.41816407594235
AP1S1,-0.377764066181713,Not Significant,4.40804544495326
AP1S3,-0.322159400178281,Not Significant,3.25142438306901
AP2A1,-0.327349750348062,Not Significant,3.07520400420209
AP2A2,-0.250701991647387,Not Significant,4.93218548883816
AP2M1,-0.29585994416907,Not Significant,2.65091683122041
AP2S1,-0.347881153112501,GWAS pval < 1.0E-6,7.10419084983087
AP3M2,-0.276080656493244,Not Significant,2.96537154337468
AP4B1,-0.320517300484558,Not Significant,2.82073553566097
AP4S1,-0.309067608747216,Not Significant,3.49308927444848
APBA2,-0.29634289342296,Not Significant,2.66594855965311
APBB3,-0.35553752838018,GWAS pval < 1.0E-6,7.03531618502396
APEH,-0.23794791683966,Not Significant,2.98800688534074
APLP2,-0.225516814982252,Not Significant,3.8847224086041
APMAP,-0.234088032970996,Not Significant,3.01723142274899
APOA1,-0.315019632327959,Not Significant,3.64435694977913
APOB,-0.117480686570916,Not Significant,2.5676722077384
APOBR,0.32136840576168,Not Significant,3.76145211231867
APOC3,0.556463634494769,Not Significant,3.64435694977913
APOD,0.263303184587922,Not Significant,3.5562677585984
APOH,0.260954766747089,Not Significant,3.10007011727214
APOL5,-0.356396080525236,Not Significant,3.51328622401751
APP,-0.315859099652185,Not Significant,3.04551628284445
APRT,-0.29030089514505,Not Significant,4.81987412483595
APTR,-0.208165255487825,Not Significant,3.63134128760777
AQP1,0.476545640524741,Not Significant,2.65423430688551
AQP11,-0.431891302510006,Not Significant,2.94769090035268
AQP5,0.288761160506286,eQTL pval < 1.0E-6,3.2894595520667
AQP6,0.677473522198176,Not Significant,3.2894595520667
ARAP1,0.248374510838563,Not Significant,3.49241396023699
ARF1,-0.25081266942424,Not Significant,4.46813805090419
ARF3,-0.3198061902634,Not Significant,3.2894595520667
ARF5,-0.304081004843733,Not Significant,3.92263209471584
ARHGAP11B,0.387656144711077,Not Significant,2.7912899800936
ARHGAP20,-0.396042700819463,Not Significant,3.08884239126002
ARHGAP31,0.23176926408143,Not Significant,2.7667499904589
ARHGAP32,-0.251694227332331,Not Significant,3.76649623965887
ARHGAP33,-0.253928140835219,Not Significant,2.48784946307797
ARHGAP5,0.190017555804228,Not Significant,3.51173138450454
ARHGDIA,-0.303716453673587,Not Significant,1.90031935889075
ARHGEF26,0.24486007276624,Not Significant,3.77134304189106
ARHGEF33,-0.259804466496096,Not Significant,2.68465952337271
ARHGEF34P,0.413496299165887,Not Significant,3.63227145391302
ARHGEF37,0.340109272286841,Not Significant,3.43004118190341
ARHGEF40,0.287020302705251,Not Significant,2.99439055463972
ARHGEF7-AS2,-0.43579427355806,Not Significant,3.02535016556128
ARL16,-0.219046355158894,Not Significant,4.86838133565087
ARL3,-0.203648231370312,Not Significant,2.65403845818686
ARL4C,-0.285630967517233,Not Significant,5.17940450345551
ARL4D,-0.572343115528815,Not Significant,4.46079840070587
ARL6IP6,0.281233929644238,Not Significant,2.44879405625209
ARL8A,-0.190114339468882,Not Significant,3.64955814346494
ARMC10,-0.202753782981022,Not Significant,2.88372441241946
ARMC2,-0.302168790281432,Not Significant,5.13519237097385
ARMC9,-0.256644200768279,Not Significant,3.51427857351842
ARNTL2,-0.389397281084805,Not Significant,2.65306053730101
ARPC5L,-0.297983793234062,Not Significant,2.71242219092129
ARPIN,-0.249498814800377,Not Significant,3.96257350205938
ARPP19,-0.296531070839717,Not Significant,3.37355697466871
ARPP21,-0.282887769806059,Not Significant,3.71331903064507
ARRDC2,0.444214204756752,Not Significant,4.6976690713156
ARSA,-0.253225679949886,Not Significant,3.48704892002751
ARSG,-0.604447833400642,Not Significant,3.39233056331176
ASB18,-0.402687757640025,Not Significant,2.63864997564773
ASB2,-0.548299937134807,GWAS pval < 1.0E-6,6.18990195931886
ASCL1,0.350564595666187,Not Significant,2.00104355952951
ASCL2,-0.418448200210912,Not Significant,3.19436323369407
ASIC2,-0.231070646752921,Not Significant,4.17999569319168
ASNS,-0.252505403321817,Not Significant,3.48293612651735
ASPDH,-0.291652722767647,Not Significant,2.89894064509188
ASPHD1,-0.254910175919229,Not Significant,3.63432485954408
ASS1,-0.271683748580235,Not Significant,2.92372374459578
ASTL,-0.466638812544845,Not Significant,3.02127182286151
ATAD3A,-0.212231325316911,Not Significant,3.71152719940022
ATAD3B,-0.247775338033728,Not Significant,3.71152719940022
ATCAY,-0.351673599726176,Not Significant,3.84043280676638
ATF7IP,-0.210377504088722,Not Significant,3.80771138743188
ATF7IP2,-0.333956948472152,Not Significant,5.24018112262517
ATG16L1,-0.265910001636593,eQTL pval < 1.0E-6,4.48664920119404
ATG7,-0.206007724975977,Not Significant,3.04939177521577
ATL1,-0.410645596611905,Not Significant,3.30688888453786
ATOH7,-0.450899764487967,Not Significant,2.68172791978837
ATOH8,0.454306594715979,Not Significant,2.6399749108106
ATOX1,-0.205374575564075,Not Significant,3.07530729697981
ATP12A,-0.258164605654956,Not Significant,4.09001630506016
ATP13A2,-0.317517836320861,Not Significant,3.06268275223751
ATP1A3,-0.487772818154022,Not Significant,3.44879405625209
ATP2A1-AS1,-0.311325902936291,Not Significant,3.76145211231867
ATP2A2,-0.349443684780987,Not Significant,3.18236853280948
ATP2B1,-0.263179937945163,Not Significant,4.4521022824369
ATP2B2,-0.365307044364215,Not Significant,3.1424262958525
ATP4B,0.0916227911551513,Not Significant,4.00239521253955
ATP5S,-0.276276499998084,Not Significant,3.30688888453786
ATP6V0A1,-0.236735516818824,Not Significant,3.17770112873763
ATP6V0C,-0.570268504010354,Not Significant,2.81644546638114
ATP6V0D1,-0.308252107011038,Not Significant,2.27327279097343
ATP6V0E1,0.224038462545846,Not Significant,3.9017024635053
ATP6V0E2,-0.29693199855759,Not Significant,2.39383368539238
ATP6V0E2-AS1,-0.326685601741786,Not Significant,2.39383368539238
ATP6V1A,-0.353223877358074,Not Significant,2.80354745829661
ATP6V1B2,-0.359409654793484,Not Significant,3.58569531187167
ATP6V1D,-0.294421420259058,Not Significant,2.92190584959359
ATP6V1E1,-0.373436063463064,Not Significant,4.80134291304558
ATP6V1G2,-0.399259033007485,GWAS pval < 1.0E-6,7.9613798380503
ATP6V1H,-0.293500252845097,Not Significant,3.1683861446909
ATP8A2,-0.390686730335168,Not Significant,2.95194682688439
ATPAF1,-0.187533249912086,Not Significant,3.34843126113421
ATRIP,-0.160972290522394,Not Significant,2.98800688534074
ATXN2,-0.14737103795914,Not Significant,3.2143143317191
ATXN7L3B,-0.225159106242028,Not Significant,3.84863014975254
