Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Striatum,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Cerebellum,,5,,
,Limbic system,,,Amygdala,,5,,
,Striatum,,,CN,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
,Limbic system,,,Hippocampus,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,Limbic system,,,NA,,5,,
,Cingulum,,,Posterior Cingulate Cortex,,5,,
,Frontal lobe,,,Precentral Gyrus,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Striatum,,,Putamen,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
,Temporal lobe,,,Temporal Cortex,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
MSBB,Amygdala,Microarray,AD-NCI,TF,-0.675268161,0.675268161,0.006782522,0.720298667
MSBB,Amygdala,Microarray,AD-NCI,TF,-1.0133465,1.0133465,0.00134891,0.999925029
MSBB,CN,Microarray,AD-NCI,IGLV3-25,0.153288077,0.153288077,0.005781467,0.218046694
MSBB,CN,Microarray,AD-NCI,IGLV3-25,0.18703655,0.18703655,0.005274882,0.276976235
MSBB,Prefrontal Cortex,Microarray,AD-NCI,C1R,-0.469823564,0.469823564,0.007772125,0.632596361
MSBB,Frontal Pole,Microarray,AD-NCI,C7,0.258083181,0.258083181,0.004960661,0.22394129
MSBB,Frontal Pole,RNA-Seq,AD-NCI,C3,0.280429316,0.280429316,0.006483454,0.073019011
MSBB,Frontal Pole,RNA-Seq,AD-NCI,FN1,0.305574194,0.305574194,0.003382693,0.049772052
MSBB,Frontal Pole,RNA-Seq,AD-NCI,APOE,-0.183313312,0.183313312,0.009384634,0.103341412
MSBB,Frontal Pole,RNA-Seq,AD-NCI,A2M,0.303912723,0.303912723,0.004934495,0.057444542
MSBB,Frontal Pole,RNA-Seq,AD-NCI,APOE,-0.218855187,0.218855187,0.004468066,0.0542134
MSBB,Frontal Pole,RNA-Seq,AD-NCI,C3,0.361471363,0.361471363,0.004542745,0.054729117
MSBB,Frontal Pole,RNA-Seq,AD-NCI,FN1,0.406779423,0.406779423,0.002972737,0.042245161
MSBB,Frontal Pole,RNA-Seq,AD-NCI,APOE,-0.237762389,0.237762389,0.009687331,0.099297772
MSBB,Hippocampus,Microarray,AD-NCI,IGHG1,0.180097129,0.180097129,0.006394502,0.800451138
MSBB,Hippocampus,Microarray,AD-NCI,IGHG1,0.211049999,0.211049999,0.005892989,0.980161611
MSBB,Hippocampus,Microarray,AD-NCI,IGHG1,0.262956206,0.262956206,0.004207219,0.624663193
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,A2M,0.21412702,0.21412702,0.003849511,0.012198801
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,C3,0.310997109,0.310997109,0.00213205,0.00798925
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,A2M,0.224416021,0.224416021,0.009060941,0.03966197
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,A2M,0.287200996,0.287200996,0.001251238,0.01389556
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,C7,0.360984019,0.360984019,0.00922548,0.042710903
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,C3,0.351746712,0.351746712,0.003952915,0.026231987
