Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Cingulum,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Striatum,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Occipital lobe,,5,,
,WB,,,Parietal lobe,,5,,
,WB,,,Cerebellum,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
,Cingulum,,,Anterior Cingulate,,5,,
,Limbic system,,,Amygdala,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
,Limbic system,,,Hippocampus,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Limbic system,,,Nucleus Accumbens,,5,,
,Occipital lobe,,,Occipital Visual Cortex,,5,,
,Cingulum,,,Posterior Cingulate Cortex,,5,,
,Frontal lobe,,,Precentral Gyrus,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Striatum,,,Putamen,,5,,
,Parietal lobe,,,Superior Parietal Lobule,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
MSBB,Anterior Cingulate,Microarray,AD-NCI,GPHN,-0.254763737,0.254763737,0.067850985,0.999998621
MSBB,Anterior Cingulate,Microarray,AD-NCI,PRELP,0.268463189,0.268463189,0.002256561,0.999998621
MSBB,Anterior Cingulate,Microarray,AD-NCI,GPHN,-0.218933046,0.218933046,0.179547277,0.999987117
MSBB,Anterior Cingulate,Microarray,AD-NCI,PRELP,0.29234885,0.29234885,0.004427042,0.999987117
MSBB,Anterior Cingulate,Microarray,AD-NCI,GPHN,-0.513428844,0.513428844,0.022626288,0.993758511
MSBB,Anterior Cingulate,Microarray,AD-NCI,PRELP,0.489818484,0.489818484,0.000602213,0.993758511
MSBB,Amygdala,Microarray,AD-NCI,GPHN,-0.153279647,0.153279647,0.120502377,0.84541256
MSBB,Amygdala,Microarray,AD-NCI,PRELP,1.010677405,1.010677405,2.88E-06,0.15735814
MSBB,Amygdala,Microarray,AD-NCI,GPHN,-0.173566801,0.173566801,0.172108198,0.999925029
MSBB,Amygdala,Microarray,AD-NCI,PRELP,0.932539809,0.932539809,0.000463937,0.999925029
MSBB,Amygdala,Microarray,AD-NCI,GPHN,-0.323547988,0.323547988,0.162799313,0.842942107
MSBB,Amygdala,Microarray,AD-NCI,PRELP,0.962438072,0.962438072,0.001106067,0.499628581
MSBB,Caudate Nucleus,Microarray,AD-NCI,GPHN,-0.181384884,0.181384884,0.116214081,0.431776605
MSBB,Caudate Nucleus,Microarray,AD-NCI,PRELP,0.264296777,0.264296777,0.025367139,0.281815928
MSBB,Caudate Nucleus,Microarray,AD-NCI,GPHN,-0.317705907,0.317705907,0.116223639,0.45509821
MSBB,Caudate Nucleus,Microarray,AD-NCI,PRELP,0.29801707,0.29801707,0.037008068,0.348153628
MSBB,Caudate Nucleus,Microarray,AD-NCI,GPHN,-0.321848048,0.321848048,0.150525029,0.590644159
MSBB,Caudate Nucleus,Microarray,AD-NCI,PRELP,0.397038745,0.397038745,0.012026784,0.472528831
MSBB,Prefrontal Cortex,Microarray,AD-NCI,GPHN,-0.302541741,0.302541741,0.024064906,0.846665299
MSBB,Prefrontal Cortex,Microarray,AD-NCI,PRELP,0.078262138,0.078262138,0.161182633,0.868108872
MSBB,Prefrontal Cortex,Microarray,AD-NCI,GPHN,-0.205421055,0.205421055,0.186249847,0.827980407
MSBB,Prefrontal Cortex,Microarray,AD-NCI,PRELP,0.067828533,0.067828533,0.316072506,0.884562544
MSBB,Prefrontal Cortex,Microarray,AD-NCI,GPHN,-0.382425222,0.382425222,0.059876549,0.988669476
MSBB,Prefrontal Cortex,Microarray,AD-NCI,PRELP,0.470635595,0.470635595,0.019178602,0.988669476
MSBB,Frontal Pole,Microarray,AD-NCI,GPHN,-0.260992157,0.260992157,0.079032715,0.673925878
MSBB,Frontal Pole,Microarray,AD-NCI,PRELP,0.128542719,0.128542719,0.007815087,0.575187936
MSBB,Frontal Pole,Microarray,AD-NCI,GPHN,-0.365591385,0.365591385,0.028422291,0.827484621
MSBB,Frontal Pole,Microarray,AD-NCI,PRELP,0.127808488,0.127808488,0.018117012,0.827484621
MSBB,Frontal Pole,Microarray,AD-NCI,GPHN,-0.611181912,0.611181912,0.000907477,0.1639963
MSBB,Frontal Pole,Microarray,AD-NCI,PRELP,0.711064238,0.711064238,0.001229603,0.173354613
MSBB,Frontal Pole,RNA-Seq,AD-NCI,GPHN,-0.040274233,0.040274233,0.231448853,0.495794253
MSBB,Frontal Pole,RNA-Seq,AD-NCI,PRELP,0.443293304,0.443293304,4.80E-06,0.023046518
MSBB,Frontal Pole,RNA-Seq,AD-NCI,GPHN,-0.028639647,0.028639647,0.467305327,0.789862526
MSBB,Frontal Pole,RNA-Seq,AD-NCI,PRELP,0.407410342,0.407410342,0.000259988,0.171781736
MSBB,Frontal Pole,RNA-Seq,AD-NCI,GPHN,-0.041085193,0.041085193,0.36349948,0.74096857
MSBB,Frontal Pole,RNA-Seq,AD-NCI,PRELP,0.488118924,0.488118924,2.92E-05,0.0699223
MSBB,Frontal Pole,RNA-Seq,AD-NCI,GPHN,-0.030303952,0.030303952,0.434202103,0.696045661
MSBB,Frontal Pole,RNA-Seq,AD-NCI,PRELP,0.515186698,0.515186698,0.000101521,0.048630269
MSBB,Frontal Pole,RNA-Seq,AD-NCI,GPHN,-0.148597518,0.148597518,0.000274886,0.01276804
MSBB,Frontal Pole,RNA-Seq,AD-NCI,PRELP,0.78061571,0.78061571,1.65E-06,0.001168749
MSBB,Frontal Pole,RNA-Seq,AD-NCI,GPHN,-0.195923212,0.195923212,5.42E-05,0.0083646
MSBB,Frontal Pole,RNA-Seq,AD-NCI,PRELP,0.898532286,0.898532286,1.71E-06,0.001902056
MSBB,Frontal Pole,RNA-Seq,AD-NCI,GPHN,-0.212120903,0.212120903,3.77E-05,0.004138191
MSBB,Frontal Pole,RNA-Seq,AD-NCI,PRELP,1.055592568,1.055592568,2.08E-07,0.000354467
MSBB,Frontal Pole,RNA-Seq,AD-NCI,GPHN,-0.228490799,0.228490799,6.73E-05,0.008994473
MSBB,Frontal Pole,RNA-Seq,AD-NCI,PRELP,1.055072076,1.055072076,7.19E-06,0.004327249
MSBB,Hippocampus,Microarray,AD-NCI,GPHN,-0.290100822,0.290100822,0.093012612,0.800451138
MSBB,Hippocampus,Microarray,AD-NCI,PRELP,0.166509625,0.166509625,0.006154248,0.800451138
