Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Frontal lobe,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,WB,,,Parahippocampal Gyrus,,5,,
,WB,,,Putamen,,5,,
,WB,,,Cerebellum,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
MSBB,Prefrontal Cortex,Microarray,AD-NCI,BRCA1,-0.122805067,0.122805067,0.048296427,0.710021022
MSBB,Frontal Pole,Microarray,AD-NCI,BRCA1,0.120127881,0.120127881,0.034561284,0.610156146
MSBB,Frontal Pole,Microarray,AD-NCI,BRCA1,0.202659288,0.202659288,0.00680958,0.244879499
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.131067191,0.131067191,0.007640228,0.020283374
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.121244541,0.121244541,0.041718868,0.110704643
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.149411334,0.149411334,0.032924795,0.097729506
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.107145392,0.107145392,0.030295058,0.050783478
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.125888471,0.125888471,0.030613921,0.055910157
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.176881518,0.176881518,0.006069136,0.015348656
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.210621142,0.210621142,0.005392782,0.020781925
MSBB,Parahippocampal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.192090198,0.192090198,0.000333176,0.008156577
MSBB,Parahippocampal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.216538765,0.216538765,0.000432549,0.012415884
MSBB,Parahippocampal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.240038222,0.240038222,0.000275506,0.005892602
MSBB,Parahippocampal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.264409992,0.264409992,0.000840602,0.011972115
MSBB,Parahippocampal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.293433844,0.293433844,7.05E-07,2.60E-05
MSBB,Parahippocampal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.343606396,0.343606396,4.78E-07,1.83E-05
MSBB,Parahippocampal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.369553713,0.369553713,9.95E-07,1.62E-05
MSBB,Parahippocampal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.422714944,0.422714944,2.91E-06,3.36E-05
MSBB,Putamen,Microarray,AD-NCI,BRCA1,0.185418283,0.185418283,0.008520175,0.285616276
MSBB,Putamen,Microarray,AD-NCI,BRCA1,0.179465126,0.179465126,0.036886207,0.228833753
MSBB,Putamen,Microarray,AD-NCI,BRCA1,0.217526213,0.217526213,0.018752032,0.145884651
MayoBB,Cerebellum,RNA-Seq,AD-NCI,BRCA1,0.207078393,0.207078393,0.00431646,0.005955966
