Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Striatum,,5,,
,WB,,,Cingulum,,5,,
,WB,,,Occipital Visual Cortex,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Limbic system,,,Amygdala,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Limbic system,,,Hippocampus,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,Cingulum,,,Posterior Cingulate Cortex,,5,,
,Frontal lobe,,,Precentral Gyrus,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Striatum,,,Putamen,,5,,
,WB,,,Superior Parietal Lobule,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
,Temporal lobe,,,Temporal Cortex,,5,,
,Cingulum,,,Anterior Cingulate,,5,,
,WB,,,Cerebellum,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
,Limbic system,,,Nucleus Accumbens,,5,,
MSBB,Anterior Cingulate,Microarray,B3-B2,BRCA1,0.160446557,0.160446557,0.018590734,0.420300222
MSBB,Anterior Cingulate,Microarray,C2-C0,BRCA1,0.107330044,0.107330044,0.04096589,0.71959902
MSBB,Caudate Nucleus,Microarray,C1-C0,BRCA1,-0.204432125,0.204432125,0.01165112,0.457560627
MSBB,Caudate Nucleus,Microarray,C2-C0,BRCA1,-0.162955255,0.162955255,0.046514658,0.397537538
MSBB,Prefrontal Cortex,Microarray,B2-B1,BRCA1,-0.119955868,0.119955868,0.039247605,0.302649016
MSBB,Prefrontal Cortex,Microarray,C1-C0,BRCA1,-0.280371289,0.280371289,8.58E-05,0.829682463
MSBB,Prefrontal Cortex,Microarray,C3-C0,BRCA1,-0.161853026,0.161853026,0.00830636,0.972541958
MSBB,Prefrontal Cortex,Microarray,AD-NCI,BRCA1,-0.122805067,0.122805067,0.048296427,0.710021022
MSBB,Frontal Pole,Microarray,B3-B1,BRCA1,0.161534768,0.161534768,0.019130565,0.497323643
MSBB,Frontal Pole,Microarray,B3-B2,BRCA1,0.165713865,0.165713865,0.008042343,0.177818592
MSBB,Frontal Pole,Microarray,AD-NCI,BRCA1,0.120127881,0.120127881,0.034561284,0.610156146
MSBB,Frontal Pole,Microarray,C1-C0,BRCA1,-0.099569353,0.099569353,0.03115184,0.999978725
MSBB,Frontal Pole,Microarray,AD-NCI,BRCA1,0.202659288,0.202659288,0.00680958,0.244879499
MSBB,Frontal Pole,RNA-Seq,AD-PC,BRCA1,0.186485123,0.186485123,0.035395465,0.461323671
MSBB,Frontal Pole,RNA-Seq,AD-PC,BRCA1,0.188200907,0.188200907,0.035068006,0.304189102
MSBB,Frontal Pole,RNA-Seq,AD-PC,BRCA1,0.473477463,0.473477463,0.045345795,0.423138399
MSBB,Hippocampus,Microarray,AD-DNAD,BRCA1,-0.182689921,0.182689921,0.005777838,0.45802273
MSBB,Hippocampus,Microarray,DNAD-NCI,BRCA1,0.203605908,0.203605908,0.005562607,0.27204311
MSBB,Hippocampus,Microarray,AD-DNAD,BRCA1,-0.21242855,0.21242855,0.008721498,0.979750667
MSBB,Hippocampus,Microarray,DNAD-NCI,BRCA1,0.203605908,0.203605908,0.013336157,0.478539033
MSBB,Inferior Frontal Gyrus,Microarray,B3-B1,BRCA1,0.097516748,0.097516748,0.019260232,0.673235506
MSBB,Inferior Frontal Gyrus,Microarray,B3-B2,BRCA1,0.092063734,0.092063734,0.01715851,0.540264202
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.131067191,0.131067191,0.007640228,0.020283374
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.121244541,0.121244541,0.041718868,0.110704643
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.149411334,0.149411334,0.032924795,0.097729506
MSBB,Inferior Frontal Gyrus,RNA-Seq,DNAD-NCI,BRCA1,0.239524921,0.239524921,0.03986736,0.657175534
MSBB,Inferior Frontal Gyrus,RNA-Seq,B3-B1,BRCA1,0.118442304,0.118442304,0.030701614,0.11930603
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.107145392,0.107145392,0.030295058,0.050783478
MSBB,Inferior Frontal Gyrus,RNA-Seq,C3-C0,BRCA1,0.135922313,0.135922313,0.010826858,0.02376277
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.125888471,0.125888471,0.030613921,0.055910157
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.176881518,0.176881518,0.006069136,0.015348656
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRCA1,0.210621142,0.210621142,0.005392782,0.020781925
MSBB,Middle Temporal Gyrus,Microarray,B2-B1,BRCA1,-0.141881481,0.141881481,0.044160297,0.978568648
MSBB,Middle Temporal Gyrus,Microarray,B3-B2,BRCA1,0.175864208,0.175864208,0.010596613,0.19869377
MSBB,Nucleus Accumbens,Microarray,B3-B2,BRCA1,0.132188147,0.132188147,0.028137011,0.815570649
MSBB,Nucleus Accumbens,Microarray,AD-PC,BRCA1,0.171556452,0.171556452,0.043240393,0.999615968
MSBB,Nucleus Accumbens,Microarray,DNAD-NCI,BRCA1,-0.335563763,0.335563763,0.030088272,0.999591154
MSBB,Nucleus Accumbens,Microarray,DNAD-NCI,BRCA1,-0.335563763,0.335563763,0.049626912,0.99995469
MSBB,Posterior Cingulate Cortex,Microarray,B2-B1,BRCA1,-0.134583692,0.134583692,0.024713664,0.406011855
MSBB,Posterior Cingulate Cortex,Microarray,PC-NCI,BRCA1,-0.191700124,0.191700124,0.037292763,0.574878971
MSBB,Precentral Gyrus,Microarray,B3-B2,BRCA1,0.123565238,0.123565238,0.038828004,0.253347194
MSBB,Dorsolateral Prefrontal Cortex,Microarray,AD-DNAD,BRCA1,0.340373695,0.340373695,0.035903872,0.750780024
MSBB,Dorsolateral Prefrontal Cortex,Microarray,AD-DNAD,BRCA1,0.3367642,0.3367642,0.045068967,0.848445383
MSBB,Parahippocampal Gyrus,Microarray,B3-B2,BRCA1,0.156884391,0.156884391,0.044280117,0.258292241
MSBB,Parahippocampal Gyrus,Microarray,AD-PC,BRCA1,0.127764673,0.127764673,0.0371158,0.688159808
MSBB,Parahippocampal Gyrus,RNA-Seq,B3-B1,BRCA1,0.183340415,0.183340415,0.002195234,0.021711366
