Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Striatum,,5,,
,WB,,,Cingulum,,5,,
,WB,,,Occipital Visual Cortex,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Limbic system,,,Hippocampus,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,Cingulum,,,Posterior Cingulate Cortex,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Striatum,,,Putamen,,5,,
,WB,,,Superior Parietal Lobule,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
,Temporal lobe,,,Temporal Cortex,,5,,
,WB,,,Cerebellum,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
MSBB,Caudate Nucleus,Microarray,AD-NCI,SOCS1,0.210886597,0.210886597,0.005243249,0.276976235
MSBB,Prefrontal Cortex,Microarray,AD-NCI,SOCS3,-0.9350008,0.9350008,0.002533851,0.632596361
MSBB,Prefrontal Cortex,Microarray,AD-NCI,BRAF,-0.161023948,0.161023948,0.007955625,0.632596361
MSBB,Prefrontal Cortex,Microarray,AD-NCI,BRAF,-0.198599351,0.198599351,0.009559622,0.988669476
MSBB,Frontal Pole,Microarray,AD-NCI,FOXO1,0.196255288,0.196255288,0.006253187,0.575187936
MSBB,Frontal Pole,Microarray,AD-NCI,KRAS,-0.429436736,0.429436736,0.004156888,0.575187936
MSBB,Frontal Pole,Microarray,AD-NCI,KRAS,-0.634907494,0.634907494,0.000732806,0.159393471
MSBB,Frontal Pole,RNA-Seq,AD-NCI,FOXO1,0.277609294,0.277609294,0.000228812,0.011490272
MSBB,Frontal Pole,RNA-Seq,AD-NCI,FOXO1,0.3016561,0.3016561,0.000351823,0.018644496
MSBB,Frontal Pole,RNA-Seq,AD-NCI,FOXO1,0.363139867,0.363139867,9.58E-05,0.006390495
MSBB,Frontal Pole,RNA-Seq,AD-NCI,FOXO1,0.330963201,0.330963201,0.001453533,0.035558319
MSBB,Hippocampus,Microarray,AD-NCI,SOCS1,0.300691683,0.300691683,0.003760681,0.624663193
MSBB,Inferior Frontal Gyrus,Microarray,AD-NCI,JAK2,0.139691581,0.139691581,0.009223377,0.521260549
MSBB,Inferior Frontal Gyrus,Microarray,AD-NCI,SOCS3,-0.612158388,0.612158388,0.006000554,0.671191276
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,JAK2,0.176393854,0.176393854,1.74E-06,0.000133719
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,STAT6,0.087677008,0.087677008,0.008664054,0.02227512
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,FOXO1,0.226515404,0.226515404,2.15E-05,0.000429694
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MAP2K7,0.119775752,0.119775752,0.000134824,0.001271737
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,JAK2,0.153510297,0.153510297,0.00034682,0.007540055
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,FOXO1,0.197200179,0.197200179,0.001210322,0.013472444
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MAP2K7,0.106437202,0.106437202,0.003633485,0.023763134
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,JAK2,0.168151317,0.168151317,5.76E-05,0.00310744
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,FOXO1,0.203081386,0.203081386,0.001048017,0.012730789
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MAP2K7,0.122401813,0.122401813,0.000947314,0.012099774
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,JAK2,0.14616227,0.14616227,0.001454933,0.018356854
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,FOXO1,0.216817323,0.216817323,0.002424008,0.023171081
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MAP2K7,0.160341081,0.160341081,0.000196923,0.008153909
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,PIK3CB,-0.22276455,0.22276455,0.000838062,0.002325515
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MTOR,-0.140791173,0.140791173,0.000323688,0.001056022
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,FOXO1,0.2171981,0.2171981,4.07E-05,0.000215284
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRAF,-0.229709294,0.229709294,7.21E-06,0.000104302
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,KRAS,-0.242261557,0.242261557,0.000155842,0.000587766
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MAPK1,-0.218197596,0.218197596,0.000695228,0.001989796
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,PIK3CB,-0.21812599,0.21812599,0.005302735,0.013007353
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MTOR,-0.128448095,0.128448095,0.005022022,0.012448368
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,FOXO1,0.221058498,0.221058498,0.000293781,0.001452255
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRAF,-0.249203346,0.249203346,3.01E-05,0.00081201
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,KRAS,-0.243107745,0.243107745,0.001201409,0.003966632
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MAPK1,-0.208675426,0.208675426,0.005790502,0.013975205
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,JAK2,0.117517265,0.117517265,0.002331652,0.007896109
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,PIK3CB,-0.249493022,0.249493022,0.001112622,0.005926029
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MTOR,-0.141845136,0.141845136,0.000970209,0.00541136
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,FOXO1,0.273037455,0.273037455,5.26E-05,0.000746616
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,BRAF,-0.286558683,0.286558683,4.05E-07,3.44E-05
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,KRAS,-0.279200994,0.279200994,0.00012095,0.001334028
