Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Striatum,,5,,
,WB,,,Parietal lobe,,5,,
,WB,,,Occipital Visual Cortex,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Limbic system,,,Amygdala,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Limbic system,,,Hippocampus,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,WB,,,Posterior Cingulate Cortex,,5,,
,Frontal lobe,,,Precentral Gyrus,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Striatum,,,Putamen,,5,,
,WB,,,Superior Parietal Lobule,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
,Temporal lobe,,,Temporal Cortex,,5,,
MSBB,Amygdala,Microarray,B3-B2,HIF3A,1.327349414,1.327349414,3.92E-05,0.296361971
MSBB,Amygdala,Microarray,AD-DNAD,VEGFA,-1.08267139,1.08267139,0.000945261,0.99559061
MSBB,Caudate Nucleus,Microarray,C1-C0,EGR1,1.102511517,1.102511517,0.000475677,0.330404277
MSBB,Caudate Nucleus,Microarray,C3-C0,ADM,-1.239498028,1.239498028,0.005859963,0.961596513
MSBB,Prefrontal Cortex,Microarray,B2-B1,ENO1,1.273837473,1.273837473,0.000508061,0.047206389
MSBB,Prefrontal Cortex,Microarray,DNAD-NCI,F3,-1.363243542,1.363243542,0.00260423,0.251004524
MSBB,Prefrontal Cortex,Microarray,DNAD-NCI,F3,-1.363243542,1.363243542,0.003660654,0.411101841
MSBB,Hippocampus,Microarray,B3-B1,FOS,1.162549551,1.162549551,0.002497801,0.3342749
MSBB,Hippocampus,Microarray,AD-PC,FOS,-1.401891893,1.401891893,0.007422811,0.833402858
MSBB,Hippocampus,Microarray,PC-NCI,FOS,1.753382143,1.753382143,0.002747856,0.681862292
MSBB,Hippocampus,Microarray,PC-NCI,HK2,1.046891,1.046891,0.002927667,0.319589042
MSBB,Inferior Frontal Gyrus,Microarray,AD-DNAD,PFKP,1.129756452,1.129756452,0.000478078,0.148070806
MSBB,Inferior Frontal Gyrus,Microarray,DNAD-NCI,TXNIP,1.789092781,1.789092781,0.004230569,0.097821937
MSBB,Inferior Frontal Gyrus,Microarray,DNAD-NCI,PFKP,-1.033178576,1.033178576,0.003175981,0.091930655
MSBB,Inferior Frontal Gyrus,Microarray,AD-DNAD,PFKP,1.166298474,1.166298474,0.004120146,0.228175404
MSBB,Inferior Frontal Gyrus,Microarray,DNAD-NCI,TXNIP,1.789092781,1.789092781,0.005994564,0.161353638
MSBB,Inferior Frontal Gyrus,Microarray,DNAD-NCI,PFKP,-1.033178576,1.033178576,0.00830994,0.169556912
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-PC,HIF3A,1.69921869,1.69921869,0.004164915,0.166374169
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-PC,HIF3A,1.676224141,1.676224141,0.004115828,0.156323816
MSBB,Inferior Temporal Gyrus,Microarray,C1-C0,TXNIP,1.608452621,1.608452621,0.005739837,0.137620594
MSBB,Inferior Temporal Gyrus,Microarray,AD-PC,FOS,-1.247349289,1.247349289,0.004496488,0.999977729
MSBB,Inferior Temporal Gyrus,Microarray,DNAD-NCI,TXNIP,1.630119517,1.630119517,0.001036377,0.654369963
MSBB,Inferior Temporal Gyrus,Microarray,PC-NCI,FOS,1.47996104,1.47996104,0.001897131,0.184720204
MSBB,Inferior Temporal Gyrus,Microarray,PC-NCI,TXNIP,1.217920367,1.217920367,0.006736132,0.290184072
MSBB,Inferior Temporal Gyrus,Microarray,AD-NCI,TXNIP,1.293166994,1.293166994,0.000470796,0.080442561
MSBB,Inferior Temporal Gyrus,Microarray,DNAD-NCI,TXNIP,1.630119517,1.630119517,0.0015538,0.736242521
MSBB,Middle Temporal Gyrus,Microarray,C2-C0,TXNIP,1.405516432,1.405516432,0.005616255,0.309093003
MSBB,Middle Temporal Gyrus,Microarray,AD-DNAD,ANXA2,-1.534331097,1.534331097,0.000224937,0.386650103
MSBB,Middle Temporal Gyrus,Microarray,DNAD-NCI,ANXA2,1.524494177,1.524494177,0.000414471,0.211388722
MSBB,Middle Temporal Gyrus,Microarray,DNAD-NCI,TXNIP,1.722405831,1.722405831,0.002154793,0.349876789
MSBB,Middle Temporal Gyrus,Microarray,PC-NCI,FOS,1.290995123,1.290995123,0.004121357,0.999973128
MSBB,Middle Temporal Gyrus,Microarray,AD-DNAD,ANXA2,-1.379225348,1.379225348,0.00385037,0.999956518
MSBB,Middle Temporal Gyrus,Microarray,AD-NCI,TXNIP,1.120437038,1.120437038,0.000452905,0.347763448
MSBB,Middle Temporal Gyrus,Microarray,AD-PC,TXNIP,2.325642407,2.325642407,0.007539806,0.697288156
MSBB,Middle Temporal Gyrus,Microarray,DNAD-NCI,ANXA2,1.524494177,1.524494177,0.00143126,0.387298232
MSBB,Middle Temporal Gyrus,Microarray,DNAD-NCI,TXNIP,1.722405831,1.722405831,0.001443772,0.387298232
MSBB,Occipital Visual Cortex,Microarray,B2-B1,VDAC1,1.00272417,1.00272417,0.001331359,0.254858222
MSBB,Occipital Visual Cortex,Microarray,B2-B1,DDIT4,-1.06288645,1.06288645,0.003477317,0.262513925
MSBB,Occipital Visual Cortex,Microarray,AD-PC,B2M,1.834170308,1.834170308,0.007746054,0.30126157
MSBB,Occipital Visual Cortex,Microarray,AD-PC,EGLN1,1.637593792,1.637593792,0.00214594,0.198153634
MSBB,Occipital Visual Cortex,Microarray,AD-PC,BNIP3L,2.366266208,2.366266208,0.007439793,0.297702459
MSBB,Occipital Visual Cortex,Microarray,PC-NCI,B2M,-1.897289171,1.897289171,0.00581174,0.303187275
MSBB,Occipital Visual Cortex,Microarray,PC-NCI,EGLN1,-1.4784683,1.4784683,0.004801107,0.283424337
MSBB,Posterior Cingulate Cortex,Microarray,B2-B1,ADM,-1.042232557,1.042232557,0.005948193,0.297585429
MSBB,Posterior Cingulate Cortex,Microarray,B2-B1,VEGFA,-1.117037213,1.117037213,0.002286222,0.254420986
MSBB,Posterior Cingulate Cortex,Microarray,B2-B1,DDIT4,-1.188592918,1.188592918,0.000298757,0.173744053
MSBB,Posterior Cingulate Cortex,Microarray,AD-DNAD,ANKRD37,-1.03657128,1.03657128,0.000149435,0.586081602
MSBB,Posterior Cingulate Cortex,Microarray,AD-DNAD,VEGFA,-1.430046437,1.430046437,0.00456983,0.922469554
