Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Cingulum,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Striatum,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Occipital lobe,,5,,
,WB,,,Parietal lobe,,5,,
,Cingulum,,,Anterior Cingulate,,5,,
,Limbic system,,,Amygdala,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
,Limbic system,,,Hippocampus,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Limbic system,,,Nucleus Accumbens,,5,,
,Occipital lobe,,,Occipital Visual Cortex,,5,,
,Cingulum,,,Posterior Cingulate Cortex,,5,,
,Frontal lobe,,,Precentral Gyrus,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Striatum,,,Putamen,,5,,
,Parietal lobe,,,Superior Parietal Lobule,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
MSBB,Anterior Cingulate,Microarray,B3-B1,HLA-DPA1,0.750125222,0.750125222,0.018796636,0.999786844
MSBB,Anterior Cingulate,Microarray,B3-B1,CXCR4,0.743027144,0.743027144,0.001035176,0.999786844
MSBB,Amygdala,Microarray,B3-B1,SOCS1,-0.111652087,0.111652087,0.024268432,0.998670739
MSBB,Amygdala,Microarray,B3-B1,CXCR4,0.978840225,0.978840225,0.021116818,0.998670739
MSBB,Prefrontal Cortex,Microarray,B3-B1,STAT1,-0.332769437,0.332769437,0.049658125,0.999797536
MSBB,Prefrontal Cortex,Microarray,B3-B1,CXCR4,0.262595507,0.262595507,0.009879105,0.999797536
MSBB,Frontal Pole,Microarray,B3-B1,STAT1,-0.592737663,0.592737663,0.026823376,0.513692194
