Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Cin,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Striatum,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,PL,,5,,
,WB,,,Cerebellum,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
,Cin,,,Ant. Cin,,5,,
,Limbic system,,,Amygdala,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
,Limbic system,,,Hippocampus,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Temporal lobe,,,Itg,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Cin,,,PC,,5,,
,Frontal lobe,,,Pre. Gy.,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Striatum,,,Putamen,,5,,
,PL,,,SPL,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Temporal lobe,,,Temporal Cortex,,5,,
MSBB,Ant. Cin,Microarray,AD-NCI,MET,-0.405232458,0.405232458,0.000228199,0.999998621
MSBB,Ant. Cin,Microarray,AD-NCI,MET,-0.447112546,0.447112546,0.000461829,0.999987117
MSBB,Ant. Cin,Microarray,AD-NCI,MET,-0.520650439,0.520650439,0.000593906,0.993758511
MSBB,Amygdala,Microarray,AD-NCI,ATR,-0.120553066,0.120553066,0.001694095,0.651960705
MSBB,Amygdala,Microarray,AD-NCI,ATR,-0.137393284,0.137393284,0.004521849,0.999925029
MSBB,Caudate Nucleus,Microarray,AD-NCI,VEGFA,-0.371734132,0.371734132,0.009423308,0.230038665
MSBB,Caudate Nucleus,Microarray,AD-NCI,ATR,-0.215116567,0.215116567,0.00966874,0.290400098
MSBB,Caudate Nucleus,Microarray,AD-NCI,ATR,-0.43106892,0.43106892,0.007454887,0.472528831
MSBB,Prefrontal Cortex,Microarray,AD-NCI,EGR1,-0.693940624,0.693940624,0.005160982,0.632596361
MSBB,Prefrontal Cortex,Microarray,AD-NCI,EGR1,-0.909285003,0.909285003,0.003920552,0.988669476
MSBB,Frontal Pole,Microarray,AD-NCI,MMP9,-0.190938062,0.190938062,0.003491436,0.575187936
MSBB,Frontal Pole,Microarray,AD-NCI,MMP9,-0.217292866,0.217292866,0.003203058,0.827484621
MSBB,Frontal Pole,Microarray,AD-NCI,PLAU,0.152977525,0.152977525,0.002917148,0.19965268
MSBB,Frontal Pole,RNA-Seq,AD-NCI,ATR,-0.160818727,0.160818727,0.00209026,0.037698786
MSBB,Frontal Pole,RNA-Seq,AD-NCI,ATR,-0.224910974,0.224910974,0.000253146,0.016115765
MSBB,Frontal Pole,RNA-Seq,AD-NCI,EGR1,-0.397391183,0.397391183,0.004978322,0.057691093
MSBB,Frontal Pole,RNA-Seq,AD-NCI,ATR,-0.24420787,0.24420787,7.46E-05,0.005727728
MSBB,Frontal Pole,RNA-Seq,AD-NCI,EGR1,-0.37934994,0.37934994,0.008396697,0.091996908
MSBB,Frontal Pole,RNA-Seq,AD-NCI,ATR,-0.244291424,0.244291424,0.000432655,0.019241968
MSBB,Hippocampus,Microarray,AD-NCI,VEGFA,-0.361044746,0.361044746,0.004343955,0.800451138
MSBB,Hippocampus,Microarray,AD-NCI,PLAU,0.164306535,0.164306535,0.004186037,0.624663193
MSBB,Inferior Frontal Gyrus,Microarray,AD-NCI,ATR,-0.392979977,0.392979977,0.005264284,0.521260549
MSBB,Inferior Frontal Gyrus,Microarray,AD-NCI,ATR,-0.445281054,0.445281054,0.004626858,0.660086951
MSBB,Inferior Frontal Gyrus,Microarray,AD-NCI,ATR,-0.669305027,0.669305027,0.001524267,0.52873798
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,PGF,0.267554002,0.267554002,0.000238135,0.001795917
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,HIF1AN,0.105408343,0.105408343,7.53E-05,0.000885577
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,PGF,0.239410024,0.239410024,0.004484306,0.026646294
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,HIF1AN,0.097486079,0.097486079,0.001740897,0.016124753
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,EGR1,-0.367347674,0.367347674,0.004374727,0.027823417
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,PGF,0.30009157,0.30009157,0.001186003,0.013541936
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,HIF1AN,0.094032834,0.094032834,0.003778396,0.025497741
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,EGR1,-0.31192167,0.31192167,0.006548421,0.03860645
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,PGF,0.279533164,0.279533164,0.00824615,0.043802787
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,PLAU,0.241328974,0.241328974,0.009150473,0.046277273
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,HIF1AN,0.106352495,0.106352495,0.004874511,0.032948803
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,EGR1,-0.534840675,0.534840675,3.72E-05,0.000202655
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,PGF,0.312093498,0.312093498,0.002654112,0.006171912
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MET,-0.389453602,0.389453602,0.000640566,0.001858762
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,ATR,-0.138647122,0.138647122,0.001006679,0.002708979
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,EGR1,-0.697506574,0.697506574,4.02E-06,0.000371048
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,PGF,0.313759013,0.313759013,0.009474532,0.020937365
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MET,-0.369897721,0.369897721,0.006002586,0.014394518
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,ATR,-0.149873101,0.149873101,0.002509661,0.007124406
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,EGR1,-0.851671858,0.851671858,1.96E-08,5.88E-06
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,PGF,0.472374619,0.472374619,0.000504998,0.003598316
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,MET,-0.428371647,0.428371647,0.001106612,0.005907618
MSBB,Inferior Frontal Gyrus,RNA-Seq,AD-NCI,ATR,-0.164877366,0.164877366,0.000564202,0.003879491
