Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Cingulum,,5,,
,WB,,,Striatum,,5,,
,WB,,,Occipital lobe,,5,,
,WB,,,Parietal lobe,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,Cingulum,,,Posterior Cingulate Cortex,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Striatum,,,Putamen,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Occipital lobe,,,Occipital Visual Cortex,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Limbic system,,,Nucleus Accumbens,,5,,
,Limbic system,,,Hippocampus,,5,,
,Cingulum,,,Anterior Cingulate,,5,,
,Parietal lobe,,,Superior Parietal Lobule,,5,,
,Frontal lobe,,,Precentral Gyrus,,5,,
,Limbic system,,,Amygdala,,5,,
MSBB,Parahippocampal Gyrus,Microarray,B3-B1,ATR,0.147593747,2.850848352,0.001409781,0.02819562
MSBB,Frontal Pole,Microarray,B3-B1,ATR,-0.523096179,1.931458917,0.011709574,0.117095737
MSBB,Inferior Frontal Gyrus,Microarray,B3-B1,ATR,0.105706383,1.694903239,0.020188161,0.134587741
ROSMAP,Dorsolateral Prefrontal Cortex,Microarray,B3-B1,ATR,0.015131329,1.45636657,0.034964992,0.349649917
MSBB,Middle Temporal Gyrus,Microarray,B3-B1,ATR,-0.442636219,1.382428551,0.041454478,0.165817911
MSBB,Inferior Temporal Gyrus,Microarray,B3-B1,ATR,-0.161752375,1.156366548,0.069764334,0.23254778
MSBB,Posterior Cingulate Cortex,Microarray,B3-B1,ATR,-0.366570904,1.109231554,0.077762183,0.222177667
MSBB,Prefrontal Cortex,Microarray,B3-B1,ATR,-0.156848527,1.085446642,0.082139746,0.205349366
MSBB,Putamen,Microarray,B3-B1,ATR,0.089276981,1.049414412,0.089245348,0.198322996
MSBB,Superior Temporal Gyrus,Microarray,B3-B1,ATR,-0.332638913,0.980689999,0.104546621,0.209093242
MSBB,Occipital Visual Cortex,Microarray,B3-B1,ATR,-0.149202393,0.960035017,0.109638979,0.199343598
MSBB,Temporal Pole,Microarray,B3-B1,ATR,0.063438975,0.935069553,0.116126262,0.19354377
MSBB,Caudate Nucleus,Microarray,B3-B1,ATR,-0.202089541,0.848496331,0.141743669,0.218067182
MSBB,Nucleus Accumbens,Microarray,B3-B1,ATR,-0.134160122,0.785076164,0.164030208,0.234328869
MSBB,Hippocampus,Microarray,B3-B1,ATR,-0.233832969,0.771444851,0.169260317,0.225680422
MSBB,Anterior Cingulate,Microarray,B3-B1,ATR,-0.133857433,0.737804655,0.182892268,0.228615335
ROSMAP,Dorsolateral Prefrontal Cortex,Microarray,B3-B1,EGR1,-0.313416789,3.038304285,0.000915579,0.036623151
MSBB,Prefrontal Cortex,Microarray,B3-B1,EGR1,-0.239911978,2.007421579,0.009830564,0.098305637
MSBB,Frontal Pole,Microarray,B3-B1,EGR1,-0.512539476,1.938860048,0.011511713,0.076744753
MSBB,Middle Temporal Gyrus,Microarray,B3-B1,EGR1,-0.720772678,1.802222488,0.015768033,0.078840163
