Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Cingulum,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Striatum,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Occipital lobe,,5,,
,WB,,,Parietal lobe,,5,,
,WB,,,Cerebellum,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
,Cingulum,,,Anterior Cingulate,,5,,
,Limbic system,,,Amygdala,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
,Limbic system,,,Hippocampus,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Limbic system,,,Nucleus Accumbens,,5,,
,Occipital lobe,,,Occipital Visual Cortex,,5,,
,Cingulum,,,Posterior Cingulate Cortex,,5,,
,Frontal lobe,,,Precentral Gyrus,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Striatum,,,Putamen,,5,,
,Parietal lobe,,,Superior Parietal Lobule,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
,Temporal lobe,,,Temporal Cortex,,5,,
MSBB,Anterior Cingulate,Microarray,B3-B2,ATR,-0.52685177,0.52685177,0.008473025,0.407231665
MSBB,Anterior Cingulate,Microarray,AD-NCI,MET,-0.405232458,0.405232458,0.000228199,0.999998621
MSBB,Anterior Cingulate,Microarray,C3-C0,MET,-0.130072976,0.130072976,0.00675648,0.376200883
MSBB,Anterior Cingulate,Microarray,C3-C0,PLAU,-0.146531397,0.146531397,0.000405583,0.365177689
MSBB,Anterior Cingulate,Microarray,C3-C0,SLC16A3,-0.31158062,0.31158062,0.008980786,0.383728362
MSBB,Anterior Cingulate,Microarray,AD-NCI,MET,-0.447112546,0.447112546,0.000461829,0.999987117
MSBB,Anterior Cingulate,Microarray,DNAD-NCI,MET,-0.533086029,0.533086029,0.005891517,0.239507686
MSBB,Anterior Cingulate,Microarray,AD-NCI,MET,-0.520650439,0.520650439,0.000593906,0.993758511
MSBB,Anterior Cingulate,Microarray,DNAD-NCI,MET,-0.533086029,0.533086029,0.004861193,0.252719382
MSBB,Amygdala,Microarray,B3-B2,PLAU,-0.224764474,0.224764474,0.002021593,0.307999594
MSBB,Amygdala,Microarray,AD-NCI,ATR,-0.120553066,0.120553066,0.001694095,0.651960705
MSBB,Amygdala,Microarray,C2-C0,VEGFA,-0.561249495,0.561249495,0.003411377,0.99991716
MSBB,Amygdala,Microarray,C3-C0,VEGFA,-0.527781701,0.527781701,0.001838383,0.999929815
MSBB,Amygdala,Microarray,AD-DNAD,MET,-0.190722103,0.190722103,0.009183096,0.999872468
MSBB,Amygdala,Microarray,AD-DNAD,VEGFA,-0.980717677,0.980717677,0.000643452,0.999872468
MSBB,Amygdala,Microarray,AD-NCI,ATR,-0.137393284,0.137393284,0.004521849,0.999925029
MSBB,Amygdala,Microarray,DNAD-NCI,ATR,-0.168704714,0.168704714,0.004524406,0.851178993
MSBB,Amygdala,Microarray,AD-DNAD,VEGFA,-1.08267139,1.08267139,0.000945261,0.99559061
MSBB,Amygdala,Microarray,DNAD-NCI,PGF,0.392312686,0.392312686,0.004234544,0.862192875
MSBB,Amygdala,Microarray,DNAD-NCI,ATR,-0.168704714,0.168704714,0.004882979,0.862192875
MSBB,Caudate Nucleus,Microarray,AD-NCI,VEGFA,-0.371734132,0.371734132,0.009423308,0.230038665
MSBB,Caudate Nucleus,Microarray,C1-C0,EGR1,1.102511517,1.102511517,0.000475677,0.330404277
MSBB,Caudate Nucleus,Microarray,AD-NCI,ATR,-0.215116567,0.215116567,0.00966874,0.290400098
MSBB,Caudate Nucleus,Microarray,AD-PC,VEGFA,-0.764562733,0.764562733,0.002961227,0.981987974
MSBB,Caudate Nucleus,Microarray,DNAD-NCI,ATR,-0.502167649,0.502167649,0.006390586,0.243177472
MSBB,Caudate Nucleus,Microarray,AD-NCI,ATR,-0.43106892,0.43106892,0.007454887,0.472528831
MSBB,Caudate Nucleus,Microarray,DNAD-NCI,ATR,-0.502167649,0.502167649,0.007765751,0.287415628
MSBB,Prefrontal Cortex,Microarray,B3-B2,EGR1,-0.769545556,0.769545556,0.003946606,0.122860074
MSBB,Prefrontal Cortex,Microarray,AD-NCI,EGR1,-0.693940624,0.693940624,0.005160982,0.632596361
MSBB,Prefrontal Cortex,Microarray,AD-NCI,EGR1,-0.909285003,0.909285003,0.003920552,0.988669476
MSBB,Frontal Pole,Microarray,B2-B1,LGALS3,-0.614308376,0.614308376,0.006506798,0.999313302
MSBB,Frontal Pole,Microarray,B3-B2,PGF,0.191122323,0.191122323,0.004581887,0.144716384
MSBB,Frontal Pole,Microarray,B3-B2,SLC16A3,0.303016647,0.303016647,0.00128826,0.101931432
MSBB,Frontal Pole,Microarray,AD-NCI,MMP9,-0.190938062,0.190938062,0.003491436,0.575187936
MSBB,Frontal Pole,Microarray,AD-DNAD,LGALS3,-1.071860895,1.071860895,0.004469391,0.518060903
MSBB,Frontal Pole,Microarray,AD-NCI,MMP9,-0.217292866,0.217292866,0.003203058,0.827484621
MSBB,Frontal Pole,Microarray,AD-NCI,PLAU,0.152977525,0.152977525,0.002917148,0.19965268
MSBB,Frontal Pole,RNA-Seq,B3-B2,ATR,-0.15064964,0.15064964,0.009393239,0.296272464
MSBB,Frontal Pole,RNA-Seq,AD-NCI,ATR,-0.160818727,0.160818727,0.00209026,0.037698786
MSBB,Frontal Pole,RNA-Seq,C3-C0,ATR,-0.164727847,0.164727847,0.003198222,0.085307207
MSBB,Frontal Pole,RNA-Seq,AD-DNAD,ATR,-0.248084273,0.248084273,0.000420858,0.072722077
MSBB,Frontal Pole,RNA-Seq,AD-NCI,ATR,-0.224910974,0.224910974,0.000253146,0.016115765
MSBB,Frontal Pole,RNA-Seq,AD-DNAD,ATR,-0.264108388,0.264108388,0.000146519,0.03196776
MSBB,Frontal Pole,RNA-Seq,AD-NCI,EGR1,-0.397391183,0.397391183,0.004978322,0.057691093
MSBB,Frontal Pole,RNA-Seq,AD-NCI,ATR,-0.24420787,0.24420787,7.46E-05,0.005727728
MSBB,Frontal Pole,RNA-Seq,AD-DNAD,ATR,-0.266860221,0.266860221,0.007439846,0.451409911
MSBB,Frontal Pole,RNA-Seq,AD-NCI,EGR1,-0.37934994,0.37934994,0.008396697,0.091996908
MSBB,Frontal Pole,RNA-Seq,AD-NCI,ATR,-0.244291424,0.244291424,0.000432655,0.019241968
