Study,parent,DataType,Contrast,name,LogFC,size,PValue,AdjPValue
,null,,,WB,,5,,
,WB,,,Cingulum,,5,,
,WB,,,Limbic system,,5,,
,WB,,,Striatum,,5,,
,WB,,,Frontal lobe,,5,,
,WB,,,Temporal lobe,,5,,
,WB,,,Occipital lobe,,5,,
,Cingulum,,,Anterior Cingulate,,5,,
,Limbic system,,,Amygdala,,5,,
,Striatum,,,Caudate Nucleus,,5,,
,Frontal lobe,,,Prefrontal Cortex,,5,,
,Frontal lobe,,,Frontal Pole,,5,,
,Limbic system,,,Hippocampus,,5,,
,Frontal lobe,,,Inferior Frontal Gyrus,,5,,
,Temporal lobe,,,Inferior Temporal Gyrus,,5,,
,Temporal lobe,,,Middle Temporal Gyrus,,5,,
,Limbic system,,,Nucleus Accumbens,,5,,
,Occipital lobe,,,Occipital Visual Cortex,,5,,
,Cingulum,,,Posterior Cingulate Cortex,,5,,
,Frontal lobe,,,Precentral Gyrus,,5,,
,Frontal lobe,,,Dorsolateral Prefrontal Cortex,,5,,
,Limbic system,,,Parahippocampal Gyrus,,5,,
,Striatum,,,Putamen,,5,,
,Parietal lobe,,,Superior Parietal Lobule,,5,,
,Temporal lobe,,,Superior Temporal Gyrus,,5,,
,Temporal lobe,,,Temporal Pole,,5,,
MSBB,Anterior Cingulate,Microarray,B2-B1,KLF12,-0.112963359,0.112963359,0.035630341,0.999758325
MSBB,Amygdala,Microarray,B2-B1,P2RY13,0.62774089,0.62774089,0.021683787,0.999786946
MSBB,Caudate Nucleus,Microarray,B2-B1,NPNT,0.107988353,0.107988353,0.023207317,0.848074202
MSBB,Caudate Nucleus,Microarray,B2-B1,ADAMTS16,0.092901751,0.092901751,0.008578789,0.848074202
MSBB,Caudate Nucleus,Microarray,B2-B1,GPR34,-0.472785525,0.472785525,0.04048202,0.848074202
MSBB,Prefrontal Cortex,Microarray,B2-B1,MEF2C,0.483663222,0.483663222,0.00186786,0.084119743
MSBB,Prefrontal Cortex,Microarray,B2-B1,SV2A,0.550422559,0.550422559,0.015875098,0.213906863
MSBB,Prefrontal Cortex,Microarray,B2-B1,CHN2,0.481462793,0.481462793,2.19E-05,0.016357722
