Study,BrainRegion,Technology,logFC,CI.L,CI.R,P.Value,median,min,max,Rank,row
MSBB,AC,Microarray,-0.00676282375000126,-0.123120868298217,0.109595220798215,0.907870966039727,0.995323337585464,0.918199232787305,1.07892547822652,1,1
MSBB,PCC,Microarray,-0.00286556072260957,-0.104666999258363,0.0989358778131438,0.955293282482895,0.998015715964145,0.930019583589334,1.0709832210923,2,2
MSBB,PFC,Microarray,0.0698806686379903,-0.0358341293184016,0.175595466594382,0.191110674465141,1.04962986074116,0.975467607318186,1.12943047651621,3,3
ROSMAP,PFC,Microarray,0.00193698978717283,-0.0227078051671581,0.0265817847415037,0.877326361166562,1.00134352072616,0.984383372971681,1.01859587842623,3,4
MSBB,FP,Microarray,0.0678103240131582,-0.0511507464579382,0.186771394484255,0.259171312733385,1.0481246659702,0.965166169889282,1.13821365655737,4,5
MSBB,IFG,Microarray,0.0337571156498666,-0.0774956602674192,0.145009891567152,0.545735874534352,1.02367454559927,0.947701311699205,1.10573823458048,5,6
MSBB,FC,Microarray,-0.0100409151515155,-0.114923057614955,0.0948412273119245,0.848733991098604,0.993064331512852,0.923431558234845,1.06794787088299,6,7
MSBB,PCG,Microarray,0.0437378359605907,-0.111091856124867,0.198567528046049,0.573336811342252,1.03078099004192,0.925887069593106,1.14755836248878,7,8
MSBB,SPL,Microarray,0.00539022692307789,-0.138826961616709,0.149607415462865,0.940524218849595,1.00374320896713,0.908257348544695,1.10926757835977,8,9
MSBB,CD,Microarray,0.137212986666667,0.0241480886391723,0.250277884694162,0.0183042934020904,1.09977849884812,1.01687904774508,1.18943619618352,9,10
MSBB,PT,Microarray,0.141114151515151,-0.0142040469290703,0.296432349959373,0.0740790320290252,1.10275641389598,0.990202813135845,1.22810366952763,10,11
MSBB,AMYG,Microarray,-0.0542372284000003,-0.219999119549785,0.111524662749785,0.514300533935297,0.963103513846396,0.858565960404588,1.08036938471934,11,12
MSBB,HIPP,Microarray,0.068307813636364,-0.0539200015184709,0.190535628791199,0.267832864284219,1.04848615682182,0.963315309068508,1.14118732537324,12,13
MSBB,NAc,Microarray,0.0605311139743603,-0.107272996861396,0.228335224810116,0.472426581937028,1.04284960499662,0.928341168466468,1.17148235539109,13,14
MSBB,PHG,Microarray,-0.0110273455172414,-0.119615645456019,0.0975609544215365,0.839829918675352,0.99238556436695,0.920432834403474,1.06996303429589,14,15
MSBB,OVC,Microarray,-0.00407928054187368,-0.142413673656378,0.134255112572631,0.953094190266719,0.997176451924986,0.906002116935849,1.09752599655803,15,16
MSBB,ITG,Microarray,-0.128654377647059,-0.266519241045428,0.00921048575131031,0.0668483932350168,0.914684191547616,0.831322842733237,1.00640464481449,16,17
MSBB,MTG,Microarray,-0.0795985721590911,-0.20284058535809,0.0436434410399079,0.201371567922306,0.946320922545091,0.868838184562937,1.0307135486881,17,18
MSBB,STG,Microarray,0.137580976008065,0.0119768626782661,0.263185089337864,0.0323169592314414,1.10005905598101,1.00833628350187,1.20012534156079,18,19
MSBB,TP,Microarray,-0.0231107084871796,-0.139382782022335,0.0931613650479761,0.692464102685908,0.984108501330774,0.907907495859476,1.06670508483322,19,20
