GeneSymbol	ROSMAP_PFC_FPKM_CpDxLow_AD_NCI_ProbeID	ROSMAP_PFC_FPKM_CpDxLow_AD_NCI_logFC	ROSMAP_PFC_FPKM_CpDxLow_AD_NCI_adj.P.Val	MayoEGWAS_eQTL_TCX_AD_SNP	MayoEGWAS_eQTL_TCX_AD_Probe	MayoEGWAS_eQTL_TCX_AD_Beta	MayoEGWAS_eQTL_TCX_AD_Pvalue	IGAP_1_SNP	IGAP_1_Beta	IGAP_1_Pvalue
A2ML1	ENSG00000166535	0.764603233362819	2.67490710594852e-08	rs7307991	ILMN_2136495	0.2183	0.003622	rs17789655	0.0798	0.0001171
AARS2	ENSG00000124608	-0.348733767958973	0.000333036844169882	rs1057985	ILMN_1674698	-0.03529	0.06249	rs6938623	-0.0812	0.001354
ABCA17P	ENSG00000238098	-0.226852946964891	0.000889807993540898	NA	NA	NA	NA	rs171090	-0.1511	0.001526
ABCB8	ENSG00000197150	-0.295694895250933	3.84367262167522e-05	rs10244332	ILMN_2102422	-0.1315	0.004712	rs35503973	-0.0564	0.0007991
ABCC11	ENSG00000121270	-0.340097303902479	0.0025072568475454	rs7194667	ILMN_1732140	-0.2494	0.007815	16:48807521	0.3767	0.0001546
ABCC12	ENSG00000140798	-0.567193107382321	0.000280600094272388	rs8046826	ILMN_1762093	0.1528	0.01294	16:48807521	0.3767	0.0001546
ABCF3	ENSG00000161204	-0.200461222083845	0.00620086738243507	rs902415	ILMN_1810085	0.06143	0.02193	rs77349313	0.1517	0.002234
ABCG8	ENSG00000143921	-0.390228587239308	0.000359495008771046	NA	NA	NA	NA	rs140537553	-0.3012	8.083e-05
ABHD11	ENSG00000106077	-0.218730295305866	0.00733851890092885	rs6951030	ILMN_1753912	-0.1311	0.02258	rs13234979	0.1495	0.001435
ABHD14A-ACY1	ENSG00000114786	-0.37122462006476	0.00649632090192704	NA	NA	NA	NA	rs144915585	0.1408	0.001568
ABHD15	ENSG00000168792	0.229880876564134	0.00178179937412029	NA	NA	NA	NA	rs8081598	0.126	0.001079
ABI2	ENSG00000138443	-0.200577547135735	0.00147206474342398	NA	NA	NA	NA	rs79092501	0.2741	0.0009502
ABL1	ENSG00000097007	0.108755291729596	0.00803465948447683	rs10793963	ILMN_2268241	-0.1769	0.0004322	rs62584843	-0.1882	0.001505
ABRACL	ENSG00000146386	-0.310539503717052	0.00323114977916042	NA	NA	NA	NA	rs9385845	0.0767	0.000327
AC000068.5	ENSG00000185065	-0.30291291306606	0.00270439310573755	NA	NA	NA	NA	NA	NA	NA
AC003986.5	ENSG00000229533	-0.273871136786433	0.00773273170994962	NA	NA	NA	NA	NA	NA	NA
AC004870.4	ENSG00000223829	0.160011755011126	0.009796925846135	NA	NA	NA	NA	NA	NA	NA
AC004893.11	ENSG00000242687	0.279211584377508	0.00199859413763937	NA	NA	NA	NA	NA	NA	NA
AC004980.7	ENSG00000205485	-0.31827308332571	0.00117991970354712	NA	NA	NA	NA	NA	NA	NA
AC005077.14	ENSG00000230882	-0.766001995199625	8.17444740729623e-07	NA	NA	NA	NA	NA	NA	NA
AC005077.7	ENSG00000224273	-0.395708552159896	0.000747394281419661	NA	NA	NA	NA	NA	NA	NA
AC005154.6	ENSG00000196295	-0.244358353113117	0.00160479992557581	NA	NA	NA	NA	NA	NA	NA
AC005154.7	ENSG00000244480	-0.299687135456679	0.000475563787633781	NA	NA	NA	NA	NA	NA	NA
AC005498.3	ENSG00000267421	-0.614935353592486	2.52879335313279e-06	NA	NA	NA	NA	NA	NA	NA
AC005592.1	ENSG00000236714	-0.53874916200858	2.97201272030477e-05	NA	NA	NA	NA	NA	NA	NA
AC006014.7	ENSG00000242073	-0.623558163761919	0.00648318181580171	NA	NA	NA	NA	NA	NA	NA
AC006116.20	ENSG00000267710	-0.561852804677099	0.00190196324697562	NA	NA	NA	NA	NA	NA	NA
AC006116.22	ENSG00000266907	-0.338940867541991	0.00147783719910556	NA	NA	NA	NA	NA	NA	NA
AC006946.15	ENSG00000235478	-0.352994290719668	0.000592462957622745	NA	NA	NA	NA	NA	NA	NA
AC007009.1	ENSG00000244239	-0.432830823088162	0.000750309559056235	NA	NA	NA	NA	NA	NA	NA
AC007246.3	ENSG00000231312	-0.556847669470312	4.19518695656166e-08	NA	NA	NA	NA	NA	NA	NA
AC007283.5	ENSG00000234431	0.378034889364162	0.00103343950158463	NA	NA	NA	NA	NA	NA	NA
AC007405.8	ENSG00000235934	-0.671824361806796	0.000726954227555295	NA	NA	NA	NA	NA	NA	NA
AC008132.13	ENSG00000161103	-0.705617455957559	6.94095725794158e-08	NA	NA	NA	NA	NA	NA	NA
AC009237.8	ENSG00000229689	-0.386689848135262	0.00515557910831684	NA	NA	NA	NA	NA	NA	NA
AC009403.2	ENSG00000216895	-0.260720249210313	0.0011889606737632	NA	NA	NA	NA	NA	NA	NA
AC009948.5	ENSG00000223960	-0.302842653742929	0.00116781382523413	NA	NA	NA	NA	NA	NA	NA
AC010226.4	ENSG00000249249	-0.404724103219704	0.00429000771934645	NA	NA	NA	NA	NA	NA	NA
